"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,24.8,-0.74,NA,0.0022,134.3,139.8,1,76.3,0.3819,17.3409,0.5458,2.11,NA,NA,0.3,0,0,0,-0.3,0,0,123.5,2.12,88.21,NA,28.07,-3.11,199.8,0.0136,NA,0.57,0.5147,NA,0.2929,0,58.3,199.5,0.0015,0.0015,-33.7,-7.6591,-3.1,-0.7045,NA,1.49,-0.0682,45.34,2.81,NA,4.4,-0.0051,-0.2509,12.2,6.69,0.3,112307,1.4,-34.1,NA,1.4,0.6,1.48
"2",2010-12-31,15.7,-1.59,4,0.0010362694300518,192.8,196.3,0,108,1.3722998729352,15.652173913043,0.55017829852267,0.942,0.034375,NA,0.1,0,0,-5.0992,-5.0992,-4.9992,0,-29.3,-0.34470588235294,-6.8139534883721,NA,-4.2463768115942,-5.9412,78.7,0.0056036678553235,NA,-0.4456,0.6728624535316,NA,0.2131,0.42893530310749,85,78.5,0.0025477707006369,0.0025412960609911,-6.4,-0.92753623188406,-2.5,-0.36231884057971,NA,0.40715767634855,-0.7390115942029,11.376811594203,0.842,NA,6.9,-0.059990352941177,-0.033195020746888,10.3,3.05,0.2,204289,4.3,-31.3,NA,4.3,0.55,0.40777202072539
"3",2009-12-31,130.2,NA,1.0366,0.0016116035455278,123.9,126.7,0,122.2,1.4848116646416,11.75,0.96448303078137,0,0.096469226316805,2.312676056338,0.7,0,0,-8.6882,-8.6882,-7.9882,0,-39.9,-21,-3.8365384615385,NA,-3.8365384615385,-7.9882,82.3,0,NA,-0.1702,0.3968253968254,NA,0.1036,0,1.9,82.1,0.002436053593179,0.0024301336573512,35.5,3.4134615384615,-0.2,-0.019230769230769,0,0.66263115415658,-0.83540769230769,7.8942307692308,-0.7,NA,10.4,-4.5727578947368,0.2865213882163,9.8,0.63,0.2,442376,10.4,35.5,2.312676056338,10.4,0.4,0.66317485898469
"4",2008-12-31,122.5,-0.51,1.1315,NA,-2.8,4.8,0,2.4,0.023143683702989,0.20512820512821,0.5,-0.106,0.03535130357932,NA,1,0,0,-14.3696,-14.3696,-13.3696,0,101.3,NA,8.3719008264463,NA,8.6581196581197,-13.2636,103.7,0,NA,4.3059,0.73063973063973,NA,0.1977,0,-3.1,101.6,0.020669291338583,0.020250723240116,-15.2,-1.2991452991453,-3.1,-0.26495726495727,NA,NA,-1.2281700854701,8.6837606837607,-1.106,NA,11.7,NA,NA,5.1,0.77,2.1,1148302,12.1,27.6,3.6811594202899,12.1,0.25,NA
"5",2007-12-31,121.9,0.21,0.9563,0.22818791946309,11.5,19.5,0,16.5,0.24626865671642,7.5,0.84615384615385,5.9591,0.1673115131235,NA,0.4,0,0,-26.3899,-26.3899,-25.9899,0,50.5,NA,5.5494505494506,NA,22.954545454545,-31.949,67,0,NA,0.7645,0.50387596899225,NA,0.0464,0,-1.6,63.6,0.053459119496855,0.050746268656716,-20,-9.0909090909091,-1.9,-0.86363636363636,NA,5.5304347826087,-11.995418181818,28.909090909091,5.5591,NA,2.2,NA,-1.7391304347826,8.5,0.5,3.4,118993,9.1,-15.1,NA,9.1,1,NA
"6",2006-12-31,101.3,0.48,0.8772,0.18713450292398,13.9,28.3,5,24.1,0.21614349775785,24.1,0.85159010600707,31.08,0.26447788417693,NA,3.4,0,0,-47.6997,-47.6997,-44.2997,0,87.4,NA,18.595744680851,NA,87.4,-80.3797,111.5,0,-0.03,3.8901,0.49321266968326,NA,0.0898,0,-7,108.3,0.02954755309326,0.028699551569507,-49,-49,-8.4,-8.4,NA,7.7913669064748,-47.6997,108.3,32.68,NA,1,NA,-3.5251798561151,25.7,0.82,3.2,907406,4.7,-30.9,NA,4.7,1.45,NA
"7",2005-12-31,66.5,2.14,0.7597,0.37869822485207,10.5,22.9,0,18.8,0.19665271966527,188,0.82096069868996,9,0.2632618138739,NA,12.9,0,0,-12.9,-12.9,0,0,76.8,NA,256,NA,768,-9,95.6,0,-0.13,-0.3436,0.59904534606205,NA,0.1669,0,-1.9,89.2,0.071748878923767,0.066945606694561,-40.9,-409,-4.5,-45,NA,8.4952380952381,-129,892,-3.9,NA,0.1,NA,-3.8952380952381,5.7,0.88,6.4,1559825,0.3,-48.9,NA,0.3,1.25,NA
"8",2004-12-31,44.9,5.47,1.1217,0,NA,13,0,9.2,0.090462143559489,92,0.70769230769231,0,0.97530534010876,NA,0,0,0,0,0,0,0,92.5,NA,925,NA,925,0,101.7,0,NA,-0.2371,0.49358974358974,NA,0.131,0,-2,101.7,0,0,-27.2,-272,-4.5,-45,NA,14.125,0,1017,0,NA,0.1,0,-3.7777777777778,4.2,1.97,0,1394464,0.1,-28.2,NA,0.1,1.2,14.125
"9",2003-12-31,38.4,4.21,1.0723,0,NA,29.8,0,29.5,0.3641975308642,295,NA,1.4,0.78522801454817,NA,0.1,0,0,-13.828,-13.828,-13.728,0,51.5,NA,515,NA,257.5,-15.128,81,0.0033557046979866,NA,0,0.62121212121212,NA,0.177,0,-3.3,81,0,0,-10.3,-51.5,-2.8,-14,NA,3.0916030534351,-69.14,405,1.3,-0.094012149262366,0.2,4.190303030303,-0.39312977099237,3.5,2.25,0,236884,0.1,-23.9,NA,0.1,1.3,3.0916030534351
"10",2002-12-31,33.2,3.26,1.2615,0,NA,28.3,0,27.3,0.24266666666667,13.65,NA,5,0.5692,NA,0.3,0,0,-19.4918,-19.4918,-19.1918,0,85.2,NA,NA,NA,42.6,-19.1918,112.5,0.0070671378091873,NA,0,0.81113801452784,NA,0.1773,0,-3.9,112.5,0,0,-36.4,-18.2,-3.1,-1.55,NA,4.8076923076923,-9.7459,56.25,-0.3,NA,2,NA,-1.5555555555556,3,2.94,0,321164,0.1,-26.3,NA,0.1,1.25,NA
