"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,139.5,2.95,0.9035,0.1682,45.5,183.6,3.3,63.4,0.338,0.5171,0.3453,0.64,0.8,6.4,0,0,-126,-125.78,-119,0,124.2,NA,1.03,NA,1.01,0.135,-123.33,187.6,0.1302,NA,NA,0.06,0.4029,0.029,0.2622,0,-8.7,178.4,0.0516,0.049,-37.4,-0.3051,-39.5,-0.3222,3.92,-1.026,1.46,-2.46,NA,122.6,NA,-0.822,33.1,0.92,9.2,1675660,120.6,-35.8,120.6,1.4,NA
"2",2010-10-31,113,2.39,0.8897,0.070247933884297,67.5,150.5,2.5,45.5,0.36516853932584,0.65186246418338,0.30232558139535,2.8745,0.4074407103518,7.4,0,0,-89.8485,-89.8485,-82.4485,0,79.1,2.9188191881919,0.64518760195759,NA,1.1332378223496,0.195,-87.823,124.6,0.17740863787375,NA,NA,-0.4078,0.50155763239875,0.052,0.3388,0,27.1,119.5,0.042677824267782,0.040930979133226,-58.9,-0.84383954154728,3.8,0.054441260744986,1.7703703703704,-1.2872277936963,1.7120343839542,-2.0255,NA,69.8,-3.315442804428,-0.87259259259259,35.7,0.87,5.1,1945007,122.6,-39.1,122.6,1.45,1.7162534435262
"3",2009-10-31,84.4,1.65,0.6203,0.14713896457766,31.3,162.7,2.6,64.8,0.27739726027397,0.73636363636364,0.39827904118009,-2.8748,0.58439464775109,8.6,0,0,-66.3632,-66.3632,-57.7632,0,168.8,NA,2.4183381088825,NA,1.9181818181818,0.29,-57.4884,233.6,0.19913952059004,NA,NA,-0.2879,0.608,0.058,0.4656,0,-28.1,228.2,0.023663453111306,0.023116438356164,-71.9,-0.81704545454545,13.9,0.15795454545454,7.2907348242811,-0.75412727272727,2.5931818181818,-8.8748,NA,88,NA,-2.297124600639,36.4,2.31,5.4,1788645,69.8,-57.7,69.8,1.45,NA
"4",2008-10-31,68.8,1.4,0.5717,0.094230769230769,47.1,185.5,7.4,68.4,0.29193341869398,0.67924528301887,0.36873315363881,1.0089,0.40580724156026,8.8,0,0,-92.7737,-92.7737,-83.9737,0,165.9,NA,1.8852272727273,NA,1.6474677259186,0.36,-92.3827,234.3,0.20646900269542,NA,NA,1.0686,0.46845637583893,0.065,0.5718,0,-16.4,229.4,0.021360069747167,0.020913358941528,-96.6,-0.95928500496524,-8,-0.079443892750745,4.8704883227176,-0.92128828202582,2.2780536246276,-0.3911,NA,100.7,NA,-2.0509554140127,43.4,3.76,4.9,835610,88,-69.3,88,1.45,NA
"5",2007-10-31,68.1,1.69,0.528,0.011070110701107,134,253.2,4.4,153.6,0.60855784469097,3.1867219917012,0.60663507109005,-6.5353,0.45454545454545,9.2,0,0,-73.1132,-73.1132,-63.9132,0,98.8,NA,0.9811320754717,NA,2.0497925311203,0.475,-61.7779,252.4,0.1563981042654,-1.1,NA,0.1299,0.66542750929368,0.057,0.6683,0,-18.1,250.9,0.0059784774810681,0.0059429477020602,-71.9,-1.4917012448133,6,0.12448132780083,1.8723880597015,-1.5168713692946,5.2053941908714,-11.3353,NA,48.2,NA,-0.5365671641791,46.1,3.88,1.5,645383,100.7,-94.2,100.7,1.5,NA
"6",2006-10-31,53.1,1.04,0.4654,0.013698630136986,100.8,206.7,11.3,107.5,0.15808823529412,3.2282282282282,0.52007740686986,0.4474,0.55006446067899,9.6,0,0,-81.1084,-81.1084,-71.5084,0,572.5,NA,11.877593360996,NA,17.192192192192,0.455,-83.2559,680,0.23270440251572,-0.95,NA,8e-04,0.38461538461539,0.069,0.6615,0,-5.3,678.6,0.0020630710285883,0.0020588235294118,-84.2,-2.5285285285285,-1,-0.03003003003003,6.7321428571429,-2.4356882882883,20.378378378378,2.1474,NA,33.3,NA,-0.83531746031746,52.8,9.97,1.4,1866351,48.2,-30,48.2,1.6,NA
"7",2005-10-31,48.5,0.68,0.477,0.0060501296456353,241.5,265.5,14.1,136,0.38353073886069,4.4736842105263,0.51224105461394,-0.3148,0.55345911949686,8.1,0,0,-70.9125,-70.9125,-62.8125,0,218.6,2.044901777362,6.5645645645646,NA,7.1907894736842,0.49,-76.5977,354.6,0.1758945386064,-1.7,NA,-0.0395,0.43061516452074,0.106,0.5923,0,106.9,353.2,0.0039637599093998,0.0039481105470953,-73.8,-2.4276315789474,3.3,0.10855263157895,1.4625258799172,-2.332647368421,11.618421052632,5.6852,NA,30.4,-0.66335341440599,-0.3055900621118,36,6.46,1.4,947776,33.3,-76.2,33.3,1.65,1.4598600247015
"8",2004-10-31,48.1,2.08,0.6774,0.0093023255813954,NA,236.5,7.9,152.4,0.36062470421202,4.8690095846645,0.64439746300211,-0.0159,0.61411278417479,8.4,0,0,-89.6695,-89.6695,-81.2695,0,270.2,3.7064471879287,8.6325878594249,NA,8.6050955414013,0.445,-89.1536,422.6,0.17885835095137,-1.4,NA,-0.2391,0.26943005181347,0.112,0.4766,0,72.9,420.6,0.004755111745126,0.0047326076668244,-71.1,-2.2643312101911,5,0.15923566878981,2.0749876665022,-2.8557159235669,13.394904458599,-0.5159,0.0057536139038498,31.4,-1.2300340192044,-0.33380281690141,53.8,8.47,2,578546,31.3,-71.1,31.3,1.75,1.9655813953488
"9",2003-10-31,39.4,2.21,0.7052,0.0086998550024166,NA,223.4,6.6,134.8,0.27903125646864,3.8624641833811,NA,0.3059,0.62677254679523,5.8,0,0,-68.2016,-68.2016,-62.4016,0,348.3,4.8307905686546,9.9799426934097,NA,10.304733727811,0.53,-69.3076,483.1,0.1781557743957,-1.2,NA,-0.1845,0.47851420247633,0.115,0.4752,0,72.1,481.3,0.0037398711822148,0.0037259366590768,-67.4,-1.9940828402367,9.4,0.27810650887574,2.3466601657728,-2.0178,14.239644970414,1.1059,-0.016215404200886,33.8,-0.94593120665742,-0.32862018527547,21.1,10.11,1.8,706171,34.9,-67.4,34.9,1.6,2.334944417593
"10",2002-10-31,39.2,2.44,0.784,0.0073072707343807,NA,289.8,15.4,206,0.42518059855521,5,NA,-57.5,0.6847,3.4,0,0,-53.7629,-53.7629,-50.3629,0,278.5,NA,NA,NA,6.7597087378641,0.49,-65.7629,484.5,0.13354037267081,-1.3,NA,0.5664,0.56121105748135,0.136,0.3562,0,67.7,482.5,0.0041450777202073,0.0041279669762642,-48.8,-1.1844660194175,15.6,0.37864077669903,1.7758557232241,-1.3049242718447,11.711165048544,12,NA,41.2,-0.7941341211226,-0.17960986382039,10.5,12.36,2,467482,0,NA,0,1.5,4.1137370753323
