"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,54.6,NA,NA,0.5563,763.5,2648.2,91.7,231.4,0.0549,0.2284,0.0874,-5.42,NA,129.88,169,0.0603,196.56,154,73.07,323,0.5255,0.5255,3985.9,2.68,3.75,25.88,12.34,3.93,NA,155.79,4217.3,0.4878,1.81,33.81,-0.035,0.2326,0.022,0.9926,0.3862,1489.3,3260.1,0.2936,0.227,25.1,0.0248,-108.2,-0.1068,2.1412,4.27,0.152,3.22,-82.72,-1.1321,1013.2,0.0491,0.0329,215.1,61.2,957.2,818085,1064,91.8,35.51,1064,0.95,2.45
"2",2010-12-31,196.7,NA,NA,NA,-584.2,2907.7,100.9,164.8,0.038829461382593,0.18052360609048,0.056677098737834,-2.2585,NA,NA,145.9,0,0,67.8,67.8,213.7,0,NA,4079.4,3.244055666004,4.0900340886304,60.16814159292,19.089377632195,4.4686164968781,NA,115.0585,4244.2,0.50844309935688,NA,NA,-0.1116,0.25497287522604,NA,0.9485,0.36475564879458,1257.5,2237.7,0.89667962640211,0.47276282927289,-102.1,-0.11184138459853,-24.4,-0.02672800963961,NA,NA,0.07426881367072,2.4511994742031,-47.2585,-0.69702827160099,912.9,0.053916500994036,NA,196.9,41.24,2006.5,290239,997.4,5.1,438.76470588235,997.4,NA,2.984039935316
"3",2009-12-31,98.3,NA,NA,NA,-584.2,2907.7,100.9,164.8,0.046108220021264,0.18052360609048,0.056677098737834,-1.152,NA,NA,145.9,0,0,67.8,67.8,213.7,0,NA,3409.4,2.7112524850895,3.5663179916318,50.286135693215,15.954141319607,3.7346916420199,NA,113.952,3574.2,0.50844309935688,NA,NA,-0.1117,0.28306133933596,NA,0.5361,0.36475564879458,1257.5,1567.7,1.2799004911654,0.56138436573219,-102.1,-0.11184138459853,-24.4,-0.02672800963961,NA,NA,0.07426881367072,1.7172746193449,-46.152,-0.68070762854671,912.9,0.053916500994036,NA,196.9,54.4,2006.5,0,956,-65.1,NA,956,NA,2.5129719468467
"4",2007-12-31,95.2,2.97,0.6516,NA,-538.2,2945.3,115.6,28.4,0.012401746724891,0.029194078947368,0.0096424812412997,4.6353,NA,NA,138.8,0,0,76.4,76.4,215.2,0,NA,2261.6,1.337275307474,2.2279578366663,29.602094240838,10.509293680297,2.3248355263158,NA,94.9647,2290,0.55719281567243,-0.79,NA,0.0195,0.8796992481203,0.139,0.463,0.36135537975758,1691.2,32.2,70.11801242236,0.98593886462882,-244.1,-0.25092516447368,-106.6,-0.10958059210526,NA,NA,0.078536184210526,0.033100328947368,-18.5647,-0.24299399154381,972.8,0.045175023651845,NA,676.1,0.32,2257.8,355419,1015.1,-31.1,NA,1015.1,NA,1.3317050476855
"5",2006-12-31,94.4,2.9,0.5553,0.85629131481411,91.6,3187.6,122.6,24.3,0.0099366182784707,0.025695252194142,0.0076232902497177,1.4041,0.38897893030794,NA,131.4,0,0,78,78,209.4,0,NA,2421.2,1.0489104535806,2.5090155440414,31.041025641026,11.562559694365,2.5602199428994,0.035,85.3959,2445.5,0.52126992094366,-1.44,NA,-0.1431,0.56142365097589,0.139,0.8158,0.33078177939516,2308.3,204.5,10.958435207824,0.91637701901452,-187.3,-0.19805435127419,-68.8,-0.07275034366078,NA,2.2325327510917,0.082478587289838,0.21624193718938,-7.3959,-0.094819466248038,945.7,0.033791101676559,-2.0447598253275,656.3,1.9,2241,939885,965,-88.7,NA,965,1.35,1.0484009260053
"6",2005-12-31,93.2,2.9,0.5321,0.8464761617153,694.2,3493.1,171.2,81.5,0.029728250957505,0.074791226943195,0.023331711087573,-1.4307,0.28566059011464,NA,145.4,0,0,183.3,183.3,328.7,0,NA,2660,0.93166614129102,2.5302007038904,14.511729405346,8.092485549133,2.4410388180233,0.03,158.9307,2741.5,0.55183075205405,-0.64,NA,0.0483,0.44957472660996,NA,NA,0.34565285849246,2855.1,499.1,4.4928871969545,0.81794637971913,-41.1,-0.037716802789759,-40.6,-0.037257960906672,NA,0.71895707288966,0.16821143433973,0.45801596769753,24.3693,0.13294759575114,1089.7,0.064200903646107,-0.059204840103717,666,5.24,2242.4,1602000,1051.3,133.1,3.7498121712998,1051.3,0.95,0.93356262344208
