"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,45,1.9,0.3909,0.8892,279.1,2810.3,33.3,47.3,0.0143,0.0377,0.0168,-6.64,0.8,129.9,0,0,72,71.5,201,0,3257.8,1.32,2.32,45.56,16.18,2.6,0.125,174.74,3305.1,0.8381,NA,-0.005,0.2711,NA,0.5438,0.0781,2470.8,1066.1,2.1002,0.6774,-92.4,-0.0736,-56.2,-0.0448,3.82,0.057,0.85,-103.24,-1.4439,1254.8,0.0289,-0.3311,213.7,24.72,2239,224086,1403.1,-73.5,NA,1403.1,1.5,1.31
"2",2010-12-31,44.2,2.07,0.7186,0.85456619075779,344.3,2613.8,23.6,113,0.040792751164218,0.11220335617119,0.043232075904813,-8.8922,0.52184803785138,95.3,0,0,61.5,61.5,156.8,0,2657.1,1.1786284599006,2.1879940711462,43.204878048781,16.945790816327,2.6383675901102,0.15,142.0922,2770.1,0.82776034891729,NA,-0.0042,0.32712163183077,NA,0.5925,0.067373173157855,2254.4,747,2.7082998661312,0.73033464495867,-55.6,-0.055208023036441,-43.2,-0.042895442359249,2.1696195178623,0.061066428358654,0.74173369079535,-80.5922,-1.3104426861963,1007.1,0.027279985805536,-0.16148707522509,196.8,17.51,2023.1,164147,1214.4,-83.6,NA,1214.4,1.5,1.1701022218468
"3",2009-12-31,39.3,2.36,0.849,0.83443849132672,312.1,2089.9,30.5,48.3,0.02052437003357,0.053744297318349,0.023111153643715,-1.3992,0.42697290930506,86.8,0,0,55.7,55.7,142.5,0,2305,1.254899825784,2.4189316822332,41.382405745063,16.175438596491,2.5648158451096,0.15,113.3992,2353.3,0.82133116417053,NA,0.1626,0.24100156494523,NA,0.5036,0.091487630987129,1836.8,780.3,2.0158913238498,0.66842306548251,-53.5,-0.059530432847446,-23.2,-0.025815066206743,2.5001602050625,0.061978413263603,0.86825414487593,-57.6992,-1.0358918597559,898.7,0.030324477351916,-0.17141941685357,180.1,19.71,1573,144695,952.9,-56.9,NA,952.9,1.45,1.2483687868018
"4",2008-12-31,39.1,2.62,0.8653,0.81306564027879,359.4,2079.6,723.7,29.1,0.01282164258019,0.037821679230569,0.01399307559146,-3.9584,0.268115104588,129,0,0,12.9,12.9,141.9,0,2240.5,1.1832585159757,2.5949733611304,173.68217054264,15.789288231149,2.9120093579412,0.15,-577.8416,2269.6,0.82977495672245,NA,0.4079,0.67149108044429,NA,0.4531,0.098913252548567,1893.5,706.4,2.2129105322763,0.68875572788157,-97.8,-0.12711203535222,-32.4,-0.04211073563816,1.9654980523094,0.01676631141149,0.91811801403691,590.7416,45.793921771319,769.4,0.0068127805650911,-0.27212020033389,150.2,18.75,1563.2,199633,863.4,-66.8,NA,863.4,1.45,1.1804847602205
"5",2007-12-31,39,2.77,0.6096,0.73404872389791,458.5,1885.5,802.9,70.2,0.041679035801223,0.12866568914956,0.037231503579952,16.9755,0.31496062992126,84,0,0,17.8,17.8,101.8,0,1614.1,0.97599467892127,2.14412858661,90.679775280899,15.855599214145,2.9583944281525,0.15,-718.0755,1684.3,0.75884380800849,-2.47,-0.398,NA,NA,0.5132,0.11317952797666,1653.8,418.8,3.0217287488061,0.75135070949356,-48.7,-0.089259530791789,-44.7,-0.081928152492669,0.913413304253,0.032624633431085,0.76759530791789,735.8755,41.341320966094,545.6,0.010763091063006,-0.1062159214831,101.2,10.03,1265.5,320496,752.8,-94.4,NA,752.8,1.2,0.97697215777262
"6",2006-12-31,18.2,2.8,0.4124,NA,-119,703.1,27.5,15.9,0.0094609068189932,0.037686655605594,0.022614137391552,3.6583,0.17458777885548,50.5,0,0,15.9,15.9,66.4,0,1664.7,2.839331400307,3.5487102963121,104.69811320755,25.07078313253,3.9457217350083,NA,35.2417,1680.6,0.85435926610724,-1.85,-0.0125,0.32682269742381,NA,0.407,0,586.3,959.4,0.75171982489056,0.42913245269547,-22.5,-0.053330173026784,-32.7,-0.077506518132259,NA,0.037686655605594,2.273998577862,-19.3417,-1.2164586379973,421.9,0.027119222241173,NA,38.1,24.28,721.2,22100,469.1,-28.2,NA,469.1,0.45,2.7907671869811
"7",2005-12-31,16.5,3.02,0.4322,NA,-113.1,747.8,11.7,58.3,0.048958683238159,0.15037400051586,0.077962021930998,3.6308,0.24062933826932,46.3,0,0,12,12,58.3,0,1132.5,1.9945403311025,2.7541342412451,94.375,19.42538593482,2.9210729945834,NA,42.9692,1190.8,0.82789515913346,NA,-0.2003,0.21026132821865,NA,0.1597,0,567.8,451.6,1.6368467670505,0.62075915351025,-21.5,-0.055455248903792,-59.9,-0.15450090275987,NA,0.030951766830023,1.1648181583699,-30.9692,-2.5807690654286,387.7,0.021134202183868,NA,30.8,24.85,739.2,14300,411.2,-22.4,NA,411.2,0.65,1.9019325986264
"8",2004-12-31,10.8,-0.38,0.831,NA,NA,716.5,6.6,12.1,0.011340206185567,0.031535053427157,0.0168876482903,-13.309,-0.091456077015644,32.9,0,0,-0.0291,-0.0291,32.8709,0,1054.9,1.8320597429663,2.7492832942403,NA,32.092254355377,3.318339100346,NA,39.5799,1067,0.87508722958828,NA,0.4653,0.36842105263158,NA,0.1037,0,575.8,350.8,2.0416191562144,0.67122774133083,-41.5,-0.13054419628814,-64.3,-0.20226486316452,NA,-9.166404529728e-05,1.1034916640453,-39.609,1359.2665750246,317.9,-5.0607849947908e-05,NA,26.3,20.95,716.2,7700,383.7,-32.5,NA,383.7,0.8,NA
"9",2003-12-31,10.3,-0.6,0.9405,NA,NA,178.6,3.1,6.4,0.021171022163414,0.025068546807677,NA,-8.2293,-0.12759170653908,7.3,0,0,14.283,14.283,21.583,0,295.9,3.3740022805017,1.1590285938112,20.716979731807,13.70988330151,1.4315432994678,NA,26.7123,302.3,0.6578947368421,NA,0.343,0.35593220338983,NA,0.1118,0,87.7,129.1,1.3415956622773,0.57294078729739,-3.8,-0.018384131591679,-35,-0.16932752781809,NA,0.0691,0.62457668118045,-12.4293,-0.8702194187875,206.7,0.16286168757127,NA,24,12.75,173.2,5000,255.3,-7,NA,255.3,0.9,NA
"10",2002-12-31,10.2,0.23,0.9849,NA,NA,162.8,15.1,9.7,0.041382252559727,0.063357282821685,NA,-5,0.0523,7.2,0,0,1,1,8.2,0,224.7,NA,NA,224.7,27.40243902439,1.467668190725,NA,-6.9,234.4,0.73464373464374,NA,0.0839,0.44879267277269,NA,0.1192,0,85.7,78.9,1.9708491761724,0.66339590443686,-6.2,-0.040496407576747,-32.5,-0.21227955584585,NA,0.0065316786414108,0.51534944480732,7.9,7.9,153.1,0.011668611435239,NA,21.1,7.52,155.5,13541,193.7,3.6,21.916666666667,193.7,0.85,2.6219369894982
