"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,52.8,2.83,0.7012,0.4063,58.6,110.2,18.5,50.9,0.1976,1.4379,0.4619,-0.01,0.8,3.5,0,0,-1,-1.3,2,0,206.7,4.32,5.77,NA,93.95,5.84,-16.29,257.6,0.4347,NA,0.25,0.3881,NA,0.4112,0,47.8,217.5,0.1844,0.1557,-28.5,-0.8051,-1,-0.0282,3.71,-0.0367,6.14,14.99,NA,35.4,-0.0272,-0.4863,8.4,4.11,40.1,346663,35.8,-6.9,NA,35.8,1.45,2.61
"2",2010-12-31,45.3,1.6,0.6866,0.59592529711375,23.8,66.6,7.8,19.7,0.068048359240069,0.788,0.2957957957958,-0.42,0.50975822895427,2.7,0,0,6.4,6.4,9.1,0,269.8,6.8826530612245,8.3015384615385,42.15625,29.648351648352,10.792,1.72,289.5,0.57657657657658,NA,0.6198,0.53749212350347,NA,0.3868,0,39.2,254.4,0.13797169811321,0.12124352331606,-0.8,-0.032,-1.4,-0.056,10.689075630252,0.256,10.176,4.68,0.73125,25,0.16326530612245,-0.033613445378151,8,4.8,35.1,511536,32.5,-3.7,NA,32.5,1.4,4.9151103565365
"3",2009-12-31,43,1.26,0.5947,0.70111731843575,10.7,42.1,8.6,4.2,0.014189189189189,0.28571428571429,0.099762470308789,-0.5143,0.54649403060367,1.6,0,0,-3.877,-3.877,-2.277,0,291.8,9.2341772151899,11.443137254902,NA,NA,19.850340136054,-10.3627,296,0.76722090261283,NA,-0.2076,0.43884892086331,NA,0.243,0,31.6,270.9,0.09265411590993,0.084797297297297,-0.5,-0.034013605442177,-0.7,-0.047619047619048,25.317757009346,-0.26374353741497,18.428571428571,6.4857,NA,14.7,-0.12269082278481,-0.046728971962617,7.3,6.15,25.1,160213,25.5,5.1,53.117647058824,25.5,1.3,8.268156424581
"4",2008-12-31,41.5,1.19,0.575,0.64651162790698,15.2,54.8,22.9,20.7,0.13627386438446,1.1629213483146,0.37773722627737,1.4022,0.33391304347826,1.8,0,0,-12.9197,-12.9197,-11.1197,0,131.2,5.8834080717489,11.508771929825,NA,NA,7.3707865168539,-35.4219,151.9,0.49087591240876,NA,-0.087,0.40197461212976,NA,0.2329,0,22.3,124.1,0.22401289282836,0.18301514154049,-54.7,-3.0730337078652,-3.9,-0.21910112359551,8.1644736842105,-0.72582359550562,6.9719101123596,22.5022,NA,17.8,-0.57935695067265,-3.5986842105263,7.5,2.85,27.8,138981,11.4,-49.1,NA,11.4,1.2,3.5325581395349
"5",2007-12-31,38.2,1.91,0.5836,0,37.5,46.4,8.5,19.5,0.17727272727273,1.0833333333333,0.42025862068966,0.1367,0.23303632625086,2.1,0,0,-7.1022,-7.1022,-5.0022,0,90.5,5.0277777777778,4.8655913978495,NA,NA,5.0277777777778,-13.6389,110,0.47198275862069,-0.28,1.0396,0.63311382878645,NA,0.254,0,18,110,0,0,-11.7,-0.65,-4.1,-0.22777777777778,2.9333333333333,-0.39456666666667,6.1111111111111,6.5367,NA,18,-0.39456666666667,-0.312,6.9,2.79,0,227134,18.6,-16.2,NA,18.6,0.85,2.9333333333333
"6",2006-12-31,35.6,1.7,0.4927,0,32,39.2,7.9,15.1,0.068574023614895,1.8414634146341,0.38520408163265,3.3646,0.24355591637914,1.3,0,0,-8.1003,-8.1003,-6.8003,0,205.1,12.136094674556,11.994152046784,NA,NA,25.012195121951,-18.0649,220.2,0.50255102040816,NA,0.3693,0.39107611548556,NA,0.2724,0,16.9,220.2,0,0,-13.8,-1.6829268292683,-3.1,-0.3780487804878,6.88125,-0.98783658536585,26.853658536585,9.9646,NA,8.2,-0.47930532544379,-0.43125,5.6,5.1,0,230925,17.1,-10.9,NA,17.1,0.75,6.88125
"7",2005-12-31,35.1,2.09,0.6617,0,42.3,48.3,3.4,28.9,0.13047404063205,4.8983050847458,0.59834368530021,0.1424,0.14508085235001,0.9,0,0,-13.9927,-13.9927,-13.0927,0,192.6,14.373134328358,29.181818181818,NA,NA,32.64406779661,-16.6351,221.5,0.30227743271222,-0.01,0.524,0.40694980694981,NA,0.1764,0,13.4,221.5,0,0,-11.4,-1.9322033898305,-1.2,-0.20338983050847,5.2364066193853,-2.3716423728814,37.542372881356,2.6424,NA,5.9,-1.0442305970149,-0.26950354609929,6.6,6.17,0,142517,6.6,-14.6,NA,6.6,0.6,5.2364066193853
"8",2004-12-31,34.4,1.14,0.6483,0,NA,53,8.8,36.1,0.12697854379177,6.4464285714286,0.6811320754717,-1.1368,0.35168903285516,0.6,0,0,-7.2025,-7.2025,-6.6025,0,248.2,19.856,44.321428571429,NA,NA,65.315789473684,-14.2657,284.3,0.27924528301887,NA,0.3017,0.34701116530291,NA,0.1876,0,12.5,284.3,0,0,-12.6,-3.3157894736842,-2.4,-0.63157894736842,5.8497942386831,-1.8953947368421,74.815789473684,7.0632,-0.98065364730813,3.8,-0.5762,-0.25925925925926,4.9,7.98,0,506208,5.6,-7.4,NA,5.6,0.55,5.8497942386831
"9",2003-12-31,27.3,1.5,0.734,0,NA,23.8,1.1,17.4,0.046925566343042,5.2727272727273,NA,-0.5652,0.40871934604905,0.6,0,0,-3.1457,-3.1457,-2.5457,0,353.4,86.19512195122,107.09090909091,NA,NA,153.65217391304,-3.0805,370.8,0.21428571428571,NA,-0.4498,0.46470588235294,NA,0.1676,0,4.1,370.8,0,0,-4.7,-2.0434782608696,-1.3,-0.56521739130435,17.246511627907,-1.3677,161.21739130435,-0.0652,0.02073216898708,2.3,-0.76724634146341,-0.21860465116279,3.3,12.47,0,384067,3.3,-12.1,NA,3.3,0.45,17.246511627907
"10",2002-12-31,17.7,1.07,0.7201,NA,NA,5.4,0.3,0.7,0.0065298507462687,0.25925925925926,NA,11.7,0.326,0.6,0,0,-3.1947,-3.1947,-2.5947,0,106.5,NA,NA,NA,NA,39.444444444444,-2.8947,107.2,0.72222222222222,NA,-0.2808,0.47422680412371,NA,0.0438,0,-0.6,102.2,0.048923679060665,0.046641791044776,-5.9,-2.1851851851852,-4.8,-1.7777777777778,NA,-1.1832222222222,37.851851851852,-0.3,NA,2.7,NA,NA,2.4,4.94,5,81802,2.4,-6.3,NA,2.4,0.65,NA
