"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,126.5,1.33,0.4394,NA,-227.1,329,3.8,277.6,0.1145,2.9376,0.8438,-127.43,0.76,27,0,0,2,1.57,29,0,2146.9,NA,10.12,1367.57,75.15,22.72,NA,0.35,152.2,2424.5,0.0195,NA,NA,0.3,0.2864,0.24,NA,0.0249,-188.5,2108.3,0.15,0.1304,-186.5,-1.9735,-102.4,-1.0836,NA,0.0166,22.31,-150.63,-95.9513,94.5,NA,NA,210.6,16.61,316.2,1735364,212.1,-108.9,212.1,1.25,NA
"2",2010-12-31,123.3,2,0.6333,NA,-88.6,489.6,4.1,424.2,0.19639798138803,2.496762801648,0.86642156862745,8.913,0.51318490446866,24.5,0,0,14,14,38.5,0,1735.7,NA,11.456765676568,123.97857142857,45.083116883117,10.216009417304,NA,0.45,25.487,2159.9,0.0098039215686275,NA,NA,NA,0.28532360984503,0.244,NA,0.021241830065359,-219.5,1866.6,0.15713061180756,0.13579332376499,-31.8,-0.18716892289582,-82.3,-0.48440258975868,NA,0.082401412595644,10.986462625074,-11.487,-0.82049945346002,169.9,NA,NA,131.3,15.01,293.3,1655681,151.5,-113.2,151.5,1.3,NA
"3",2009-12-31,118.9,2.46,0.7474,NA,-102.4,712.4,0.4,470.4,0.18619379354022,50.58064516129,0.66030320044919,463.2774,0.43484078137544,16.7,0,0,-140.2431,-140.2431,-123.5431,0,2056,NA,22.618261826183,NA,NA,221.0752688172,NA,0.645,-587.2205,2526.4,0.0025266704098821,NA,NA,0.9482,0.34565050038491,0.247,NA,0.019511510387423,-129.7,2083.3,0.21269140306245,0.17538790373654,-211.9,-22.784946236559,52.8,5.6774193548387,NA,-15.079898924731,224.01075268817,446.9774,NA,9.3,NA,NA,132.3,16.56,443.1,1615279,90.9,-152.9,90.9,1.3,NA
"4",2008-12-31,97.3,2.69,0.7482,NA,-220.8,232.4,0.7,198,0.13296622120744,50.769230769231,0.85197934595525,6.6154,0.27800053461641,13.1,0,0,-158.609,-158.609,-145.509,0,1291.1,NA,391.24242424242,NA,NA,331.05128205128,NA,0.28,-152.8244,1489.1,0.012048192771084,NA,NA,NA,0.65972222222222,0.243,0.9274,0.018502581755594,-22.6,1092.9,0.36252173117394,0.26606675172923,-178.9,-45.871794871795,-43,-11.025641025641,NA,-40.668974358974,280.23076923077,-5.7846,NA,3.9,NA,NA,150.1,9.11,396.2,1873620,3.3,-171.8,3.3,1.3,NA
"5",2007-12-31,84.5,2.34,0.5986,NA,-159.5,275.7,1.2,257.3,0.35548494059132,7.4796511627907,0.93326079071455,-18.609,0.38757099899766,13,0,0,-85.2331,-85.2331,-72.2331,0,466.5,NA,36.732283464567,NA,NA,13.561046511628,NA,0.165,-54.8241,723.8,0.014145810663765,-1.94,NA,0.2383,0.74795640326975,0.197,0.9805,0.023213638012332,-30.2,337.2,1.1465005931198,0.53412544901907,-86.9,-2.5261627906977,-29.5,-0.85755813953488,NA,-2.4777069767442,9.8023255813953,-30.409,NA,34.4,NA,NA,106.8,3.79,386.6,662970,12.7,-152.4,12.7,1.45,NA
"6",2006-12-31,84,2.65,0.5154,NA,-84.9,353.6,1.6,318.6,0.25898227930418,11.54347826087,0.90101809954751,6.1022,0.51222351571595,7.4,0,0,-76.745,-76.745,-69.345,0,911.6,NA,28.666666666667,NA,NA,33.028985507246,NA,0.07,-77.0472,1230.2,0.016685520361991,-1.13,NA,2.502,0.39413265306122,0.11,0.8343,0.02460407239819,-32.4,859.1,0.43196368292399,0.30165826694846,-74.2,-2.6884057971015,-40.1,-1.4528985507246,NA,-2.780615942029,31.126811594203,0.3022,NA,27.6,NA,NA,14,9.38,371.1,1612540,31.8,-85.6,31.8,1.65,NA
"7",2005-12-31,83.6,2.51,0.5383,NA,-19.4,374.1,1.6,345,0.41611385840067,44.230769230769,0.92221331194868,33.6808,0.54987924948913,8.2,0,0,-98.9007,-98.9007,-90.7007,0,484.1,NA,22.308755760369,NA,NA,62.064102564103,NA,-0.03,-125.9815,829.1,0.020582731889869,-0.92,NA,-0.4479,0.28073770491803,0.103,0.7364,0,-22.5,487.2,0.70176518883415,0.4123748643107,-103.4,-13.25641025641,-18.9,-2.4230769230769,NA,-12.679582051282,62.461538461539,27.0808,NA,7.8,NA,NA,11.7,5.84,341.9,511755,21.7,-81.3,21.7,1.85,NA
"8",2004-12-31,83,2.47,0.5811,0.8283402580363,NA,516.9,1.4,469.8,0.56766553890769,NA,0.90887986070807,20,0.85011185682327,13.9,0,0,-94.3997,-94.3997,-80.4997,0,357.8,NA,NA,NA,NA,25.375886524823,NA,0.235,-101.8997,827.6,0.019346101760495,-1.36,NA,-0.7375,0.45003543586109,0.096,0.6945,0,-12.5,448.8,0.84402852049911,0.4577090381827,-110.6,-7.8439716312057,-20,-1.4184397163121,5.7171974522293,-6.6950156028369,31.829787234043,7.5,-0.079449388197338,14.1,7.5519776,-1.4089171974522,20.6,5.34,378.8,589798,NA,-110.6,0,2,1.8097528974415
"9",2003-12-31,72.5,2.43,0.6267,0.52095622477491,NA,379.5,9.7,293.8,0.31844786473011,11.566929133858,NA,18.5671,0.77549066539014,17.7,0,0,-66.2414,-66.2414,-48.5414,0,628.8,22.219081272085,24.755905511811,NA,NA,13.350318471338,NA,-0.08,-76.8085,922.6,0.071936758893281,-1.59,NA,-0.571,0.34782608695652,0.098,0.7369,0,28.3,754.8,0.22231054583996,0.18187730327336,-101.3,-2.1507430997877,-40.3,-0.85562632696391,4.8917692806222,-1.4064,16.025477707006,10.5671,-0.15952387652075,47.1,-2.3406869257951,-0.65651328580687,30.3,9.75,167.8,333332,25.4,0,25.4,1.75,2.8643278484943
"10",2002-12-31,67.2,2.38,0.6618,0.36256323777403,NA,552.1,11.9,429,0.65616396451514,4.2224409448819,NA,-96.8,0.7902,23.2,0,0,-97.8963,-97.8963,-74.6963,0,224.8,NA,NA,NA,NA,2.2125984251969,NA,-0.225,-86.5963,653.8,0.057598261184568,-1.9,NA,-0.5396,0.46572580645161,NA,0.6678,0,45.4,481.8,0.35699460356995,0.26307739369838,-91.7,-0.90255905511811,-47.9,-0.47145669291339,1.593253968254,-0.96354645669291,4.742125984252,-11.3,NA,101.6,-2.1563066079295,-0.30324074074074,47.1,6.65,172,442873,0,-91.7,0,1.5,4.9515418502203
"11",2001-12-31,NA,1,1.2864,0.2894,NA,705.6,12.9,507.9,0.93951165371809,2.3160054719562,NA,1.0684,0.1359,46.4,0,0,-18.2887,-18.2887,28.1113,0,32.7,NA,NA,NA,1.1632332905273,0.14911080711354,NA,NA,14.1429,540.6,0.067885487528345,-1.59,-3.1132075471698,0.1113,0.71929824561403,0,0.6384,0.004109977324263,111.548,361.4,0.49584947426674,0.33148353681095,-52.9,-0.24122207022344,-2.79,-0.012722298221614,0.82099045888233,-0.083395804833561,1.6479708162335,-32.4316,NA,NA,-0.16395363430989,-0.120172648796,70.6,4.95,179.2,97500,219.3,0,135.3,1.5,4.8463441747051
"12",2000-12-31,NA,1.3,1.4483,0.18811980366623,NA,886.8,59.5,582.2,0.38074684454908,2.9979402677652,NA,-6.4353,0.26928122626528,34.8,0,0,-27.75118,-27.7512,7.0488,0,946.9,NA,NA,NA,134.3345411005,4.8759011328527,NA,NA,-51.5194,1529.1,0.11152458276951,NA,NA,0.0879,0.4975845410628,NA,0.62,NA,228.3,1341.3,0.1400134198166,0.12281734353541,-32.9,-0.16941297631308,-10.6,-0.054582904222451,2.1540067448209,-0.1429,6.9067971163749,23.7683,NA,NA,-0.12155575996496,-0.052834430704994,64.2025,19.7,187.8,NA,194.2,-51.6,219.9,NA,1.8866132017273
"13",1999-12-31,NA,0.95,1.4456,0.0011730205278592,NA,221.9,34.8,66.9,0.044354571371743,0.36181719848567,NA,NA,0.098574986164914,24.7,0,0,-2.4,-2.4,22.3,0,1441.4,NA,NA,NA,64.636771300448,7.7955651703624,0.2,NA,-10.9006,1508.3,0.30328977016674,NA,NA,0.1216,0.76762815612942,NA,0.6014,NA,103.6,1508.1,0.0001326172004509,0.00013259961546111,NA,-0.16008653326122,NA,-0.048674959437534,8.8555490311215,-0.012979989183342,8.1563007030827,NA,NA,NA,-0.023166023166023,-0.17381092190253,37.2,NA,NA,NA,NA,-29.6,184.9,NA,8.8463343108504
