"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,137.7,1.37,0.2709,0.2901,3268.9,21160.3,77.5,5329.2,0.8087,1.3672,0.2518,0,0.8,17.76,51.4,0.0147,77.11,559,349.34,611,0.3754,0.3676,1260.6,0.32,2.25,2.06,0.32,0.13,0.075,323.24,6589.8,0.0109,2.9,13.29,0.035,0.03,0.1313,0.193,0.6345,0.0171,-724.7,5254.2,0.2542,0.2027,295.9,0.0759,-338.5,-0.0868,0.2606,1.61,1.37,0.1435,1.35,26.1,0.0747,3897.9,NA,0.0905,0,38.53,1335.6,567456,3897.9,295.9,17.76,3897.9,1.45,NA
"2",2011-09-30,124.7,1.29,0.4425,0.55849534107903,2302.8,17883.1,22.3,6718.6,0.98746307264951,2.2549421043799,0.37569548903714,-270.9838,0.8,17.042925974595,39.5,0.0169,65.7562,419,261.7912,458.5,0.3752,0.35888795282224,85.3,0.02508971115948,0.2035799522673,0.18604143947655,0.028628964591374,0.115,0.065,549.975,6803.9,0.0095509167873579,2.65,11.683018867925,0.095,0.1298,0.26288987905792,0.197,0.5953,0.0035005116562565,-1502.8,3890.9,0.74866997352798,0.42813680389189,228.3,0.076623594562846,-1921,-0.6447390501762,0.28802544897065,1.6896387007122,1.4819935630082,0.14062762208424,1.305890250042,-288.1838,-1.1008155460881,2979.5,NA,0.099140177175612,0,30.96,2913,769086,3399.8,306.1,12.711205488403,3399.8,1.45,NA
"3",2010-09-30,123.1,1.31,0.5,0.4127080443828,2032.5,18226.7,35.5,6922.5,1.2443377911993,2.6599423631124,0.37979996378939,-572.1708,0.75,27.060863874346,34.6,0.0157,64.9179,293.3,174.1645,327.9,0.40619,0.35363790186125,-1359.3,-0.45621748615539,NA,NA,-0.52230547550432,0.08,0.05,745.4353,5563.2,0.010215782341291,2.1,15.571428571429,0.155,-0.2065,0.18945692552627,0.201,0.6429,0.0034345218827325,-3461.7,4134.9,0.34542552419647,0.25674072476273,152.8,0.058712776176753,-3949.8,-1.5176945244957,0.42485556282722,2.0343911439114,3.3826079842932,0.11269932756964,1.588818443804,-571.2708,-3.2800652503618,2602.5,NA,0.075178351783518,0,32.7,1428.3,619679,2979.5,208.3,19.850696111378,2979.5,1.5,NA
"4",2009-09-30,120.3,1.36,0.4876,0.54007470520739,1883.9,20731.9,51,8470,1.6348826436072,2.6428281693657,0.40854914407266,1057.913,0.50861361771944,12.62696724798,28,0.0182,54.0285,774.8,470.8227,802.8,0.39233,NA,-3289.2,-1.2691283713393,NA,NA,-1.0263034728073,0.055,0.05,-610.0903,5180.8,0.0092803843352515,1.8,13.205555555556,0.21,0.0276,0.42437199358632,0.142,0.7027,0.0030195013481639,-4373.9,2968.6,0.74519975746143,0.42699969116739,235.1,0.073356422977316,-5529.2,-1.7252332366065,0.22981080391323,1.5757736610224,2.2958122269054,0.24175481294268,0.92626915036351,1080.913,2.2957962391243,3204.9,NA,0.12479430967673,0,23.77,2212.2,1589118,2591.7,152.8,19.428010471204,2591.7,1.55,NA
"5",2008-09-30,119.9,1.59,0.3426,0.13031862260044,1757.8,16254.2,46.1,6067.6,2.5954316023612,1.9512477489066,0.37329428701505,45.2076,0.67717454757735,8.2843450479233,22.6,0.025431932124952,52.756,882.2,563.2759,904.8,0.36151,NA,-3729.8,-1.1885157096425,-4.2278394921786,-4.1222369584439,-1.199446874196,0.085,0.075,494.5683,2337.8,0.010274267573919,2.35,7.2893617021277,0.135,0.1465,0.50620200826934,0.14,0.8147,0.0038513122762117,-4046.4,2074.4,0.12697647512534,0.11267003165369,250.4,0.080524826344224,-4915.3,-1.5806856187291,0.21068690095847,1.1801115030151,0.97462882916745,0.28370208386931,0.66709544635966,68.7076,0.12197861008998,3109.6,NA,0.14245079076118,NA,17.13,263.4,1789284,3138.2,235,8.8272340425532,3138.2,1.45,NA
"6",2007-09-30,116.4,1.46,0.2037,0.088253612356751,1463.9,11516.7,27.3,4608.5,1.1171579559779,1.750417806138,0.40015803138052,431.8098,0.8,18.588427438171,19.2,0.012857035270491,51.216,630.6,395.1403,649.8,0.37339,NA,-483.3,-0.16328254332917,-0.76641294005709,-0.74376731301939,-0.18356882406563,0.095,0.095,-44.7695,4125.2,0.012399385240564,2.24,13.285714285714,0.085,0.18,0.15727916281933,0.145,0.6577,0.0054355848463536,-3002.9,3983.5,0.035571733400276,0.034349849704257,214.3,0.081396232148283,-3475.6,-1.3201154664236,0.23899206719552,2.7211558166541,1.956676572439,0.23951686417502,1.5130279550289,439.9098,1.1133002807341,2632.8,NA,0.14638978072273,NA,29.76,141.7,1459923,2959.9,238.4,16.709312080537,2959.9,1.45,NA
"7",2006-09-30,112.5,1.36,0.1835,0.10546030831292,1241.8,8358.8,30.2,3350.6,0.90876050989965,1.553361149745,0.40084701153276,421.0148,0.8,23.447682119205,17.8,0.012709710218607,45,363.2,219.7796,381,0.39488,NA,336.4,0.13257665326712,0.92621145374449,0.88293963254593,0.15595734816875,0.115,0.1,-213.6352,3687,0.01646169306599,1.9,15.952631578947,0.025,0.16,0.15759943548526,0.151,0.6557,0.0074891132698473,-1962.4,3540.6,0.041348923911201,0.039707078925956,151,0.070004636068614,-2387.3,-1.1067686601762,0.29801324503311,2.8511837655017,2.0389288799309,0.16838201205378,1.6414464534075,433.4148,1.9720430371322,2157,NA,0.12159768078596,NA,30.31,146.4,210300,2537.4,173.1,20.454072790295,2537.4,1.4,NA
"8",2005-09-30,73.8,1.2,0.231,0.11351531291611,NA,7621.8,22,2851.2,0.94774631033107,1.4077914383054,0.37408486184366,-234.4974,1.038961038961,22.507836990596,16.8,0.0085197018104366,23.616,252.7295,157.956,269.5295,0.375,NA,157.2,0.077618130647312,0.62200880830947,0.5832384828765,0.085911028527708,0.13,0.1,387.2534,3008.4,0.016111679655724,2,18.78,0.01,0.2067,0.1970214086255,0.157,0.6195,0.0082132829515338,-1649.6,2872,0.047493036211699,0.045339715463369,127.6,0.06973439720188,-2194.8,-1.1994753524975,0.18507836990596,2.6962072850169,1.7313720761997,0.13811866870696,1.5695704448574,-229.2974,-1.4516541685678,1829.8,-0.095754099478661,0.11978971085242,0,37.56,136.4,174200,2025.3,134.2,21.400894187779,2025.3,1.4,2.5036617842876
"9",2004-09-30,72.9,1.24,0.253,0.15312757578533,NA,6911.6,28.8,2971,1.2090013835761,1.6236747185485,NA,-529.1776,0.9802371541502,26.537659327926,18.3,0.0090909090909091,20.412,202.176,126.2063,220.476,0.37576,NA,-513.6,-0.28068641381572,-2.5403608736942,-2.3295052522724,-0.34294871794872,0.105,0.055,644.8839,2457.4,0.017116152555125,1.8,17.111111111111,-0.005,-0.0141,0.17802529733812,0.1639,0.6137,0.009057237108629,-1879.1,2290.2,0.073006724303554,0.0680393912265,86.3,0.057625534188034,-2385.6,-1.5929487179487,0.23652375434531,2.4766951443712,2.5273961264691,0.135,1.5292467948718,-518.6776,-4.1097581821775,1497.6,-0.067163187823958,0.093327565696983,0,30.8,167.2,71200,1829.8,130,17.616923076923,1829.8,1.4,2.2505723967396
"10",2003-09-30,48.5,1.27,0.3155,0.15114750783541,NA,6040.3,26.4,2555.4,1.3285157265402,1.6857312487631,NA,284.3,0.8828,22.370744010088,22.8,0.0098421645997745,17.46,207.9,125.3616,230.7,0.39701,NA,-631.9,NA,-3.039442039442,-2.7390550498483,-0.41684807704994,0.07,0.055,121.7616,1923.5,0.017515686306971,2.35,15.595744680851,NA,-0.0952,0.28932584269663,0.1939,0.6144,0.01036372365611,-1566.3,1774,0.084272829763247,0.077722900961788,79.3,0.05231215779405,-2263.2,-1.4929744706115,0.22017654476671,2.1129109099571,3.1958205728698,0.13714624975262,1.170261890626,3.6,0.028716922861104,1515.9,NA,0.094449737970462,0,36.65,149.5,206242,1497.6,75.2,23.590425531915,1497.6,1.4,NA
