"","Date","Number of Shares Outstanding","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,46.7,0.6135,1952.2,5785.3,685.7,914.5,0.0705,0.5691,0.1581,-8.45,106.66,328.6,0,0,307,216.27,636,0.296,0.2855,12060.9,2.92,6.56,39.26,18.97,7.51,0.34,0.125,-132.38,12975.4,0.5576,3.5,58.91,0.26,0.3633,0.012,NA,0.1755,4136.8,9876.3,0.3138,0.2388,92.6,0.0576,-58.6,-0.0365,0,5.06,3.14,0.1912,6.15,348.65,1.6121,1606.8,0.0523,0.0474,432,206.2,3099.1,800589,1838.5,118.1,83.63,1838.5,1.2,2.57
"2",2010-12-31,46.2,0.52139166730294,1880.5,4448,579.4,590,0.085814437188195,0.48348766696714,0.13264388489209,-25.1339,130.80487804878,246.5,0,0,194.8,144.0332,441.3,0.26061,0.26052104208417,6285.3,1.8823335629361,4.1331623594397,32.265400410678,14.242692046227,5.1506187003196,0.32,0.15,-163.733,6875.3,0.59599820143885,3.67,27.629427792916,0.1776,0.13969217659903,0.014,0.9966,0.20802607913669,3339.1,4826.7,0.42443077050573,0.29796517970125,36.9,0.030238465950996,-102.1,-0.083667950503974,0,2.566710981122,4.0876524390244,0.15963287716135,3.9553388511022,307.7661,2.1367726850354,1220.3,0.043135327483454,0.019622440840202,351,101.4,2048.6,735681,1520.7,89.9,53.689655172414,1520.7,1.2,1.749840930493
"3",2009-12-31,39.3,0.55670103092783,1182.5,3038.1,369.5,594.6,0.11446942861543,0.67376770538244,0.1957144267799,-31.0759,53.449567723343,168,0,0,181.1,115.3281,349.1,0.36318,0.36330275229358,4599.8,2.2190168363163,4.1161521252796,25.399226946438,13.17616728731,5.2122379603399,0.285,0.15,-55.096,5194.4,0.59514170040486,1.79,45.396648044693,0.2024,0.22862381243402,0.019,NA,0.14222704980086,2072.9,3709.4,0.40033428586833,0.28588479901432,69.4,0.078640226628895,-116.7,-0.13223796033994,0,3.1369133192389,1.8754234288892,0.20521246458924,4.2032861189802,170.4241,1.4777324551835,882.5,0.055636114622027,0.058689217758985,218,81.26,1485,1300506,1117.5,40.8,90.916666666667,1117.5,1.25,1.9472914714152
"4",2008-12-31,37.7,0.58165799709452,892.7,2448.3,471.1,262.3,0.048199191473723,0.3722151270044,0.10713556345219,-17.3614,157.33333333333,152.3,0,0,73.4,72.3159,225.7,0.01477,NA,5179.7,2.7675251122035,6.2353436860479,70.568119891008,22.949490474081,7.3502199517525,0.605,0.155,-229.1227,5442,0.6079320344729,1.76,60.3125,0.6274,0.45062097363353,0.022,NA,0.16080545684761,1871.6,4200.8,0.29546752999429,0.22807791253216,26.7,0.03788846317582,-97.1,-0.1377891301263,0,4.7057242074605,2.6005509641873,0.10415779764439,5.9611182063289,301.4386,4.1683591663044,704.7,0.038638534943364,0.029909264030469,216.6,106.15,1241.2,845466,830.7,63.4,66.258675078864,830.7,1.3,2.5502600871644
"5",2007-12-31,36.6,0.4557604918471,814.4,2181.9,416.8,353.9,0.1355938697318,0.84382451120649,0.16219808423851,63.8881,NA,97.9,0,0,9.2,9.2,107.1,0,NA,2256.1,1.974704595186,3.4570946981305,245.22826086957,21.065359477124,5.3793514544588,NA,0.205,-373.5881,2610,0.53288418350978,1.36,39.110294117647,0.1803,0.52964853015166,0.026,NA,0.23378706631835,1142.5,1928,0.35373443983403,0.26130268199234,-5.2,-0.01239866475918,-114.9,-0.27396280400572,NA,2.3673870333988,NA,0.021936099189318,4.5970433953267,382.7881,41.607404988493,419.4,0.0080525164113786,-0.006385068762279,146.5,53.19,682,625856,652.6,8.9,216.62921348315,652.6,1.3,1.7441860465116
"6",2006-12-31,29.5,0.44076874606175,355,771.8,162.3,131.4,0.032986067528555,0.45799930289299,0.17025136045608,10.1075,NA,71.7,0,0,-6.2,-6.2,65.5,0,NA,3852.1,7.6521652761224,10.685436893204,NA,58.810687022901,13.426629487626,NA,0.225,-106.9075,3983.5,0.70795542886758,0.14,676.21428571429,0.2067,0.25471307230164,NA,NA,0.021896864472661,503.4,3703.7,0.075546075546076,0.070239738923058,-6.4,-0.022307424189613,-39.4,-0.13733008016731,NA,10.432957746479,NA,-0.021610317183688,12.90937608923,100.7075,NA,286.9,-0.012316249503377,-0.018028169014085,104.7,94.67,279.8,497516,360.5,10,370.37,360.5,1.5,6.2752047889099
