"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,0,0.68,0.1869,NA,NA,NA,0,0,NA,NA,NA,0.8,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,1.92,23.52,NA,0.1162,0.011,0.8941,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,45.16,0,2013960,1860.5,658.6,NA,1860.5,1.05,NA
"2",2008-12-31,0,1.46,0.463,NA,NA,NA,0,0,NA,NA,NA,0.39740820734341,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0.94,32.489361702128,NA,0.38280281107896,0.019,0.8378,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30.54,0,5344613,1037.5,222.3,NA,1037.5,1.15,NA
"3",2007-12-31,0,1.34,0.3533,NA,0,0,0,0,NA,NA,NA,0.45287291253892,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.82,33.865853658537,NA,NA,0.025,0.7899,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.77,0,3611789,1046.6,193.1,0,1046.6,1,NA
"4",2006-12-31,0,1.38,0.2301,NA,0,0,0,0,NA,NA,NA,0.625814863103,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1.14,27.052631578947,NA,0.25290092234454,0.024,0.6363,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.84,0,2476300,1012.2,450.5,0,1012.2,0.9,NA
"5",2005-12-31,0,1.29,0.208,NA,0,0,0,0,NA,NA,NA,0.53846153846154,NA,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1.17,31.470085470086,NA,0.20203303684879,0.031,0.4733,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.82,0,735300,541.8,NA,NA,541.8,0.7,NA
"6",2004-12-31,59.5,0.7,0.2144,NA,NA,0,0,0,0,0,0,0.65298507462687,NA,0,0.065908199293841,99.96,NA,NA,NA,0,1545.6,3.4134275618375,NA,NA,NA,NA,NA,1545.6,NA,1.09,23.385321100917,0,0.11123919308357,0.032,0.5043,0,1545.6,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.49,0,290900,452.8,143.6,10.763231197772,452.8,0.6,NA
"7",2003-12-31,59.5,0.46,0.2012,NA,NA,0,0,0,0,0,0,0.4572564612326,NA,0,0.061397058823529,99.365,NA,NA,NA,0,1656.2,3.990843373494,NA,NA,NA,NA,NA,1656.2,NA,1.24,21.935483870968,0,0.19468492047514,0.026,0.4836,0,1656.2,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,27.2,0,128500,415,143.6,11.533426183844,415,0.55,NA
"8",2002-12-31,59.5,0.2,0.1781,NA,NA,0,0,0,0,NA,0,0.2496,NA,0,0.066460316926286,197.54,0,0,0,0,2972.3,NA,NA,NA,NA,NA,0,2972.3,NA,2.1,23.857142857143,0,0.20390220402264,0.05,0.4491,0,2972.3,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,50.1,0,218445,380.1,NA,NA,380.1,0.55,NA
"9",2001-12-31,NA,-0.04,0.1811,0,NA,0,0,0,NA,NA,0,-0.0348,NA,0,0.0865,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,2.3,16.1,NA,0.10381978452498,0.05,0.4204,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,37.03,0,180900,0,0,NA,0,0.55,NA
"10",2000-12-31,NA,0.55,0.1867,0.33471002772643,NA,2398.7,21.6,58.6,0.018006391347099,0.17768344451182,380.8547,0.6,16.721763085399,72.6,0.08936847885777,162.74,288.80586,288.8059,361.4059,0,3195.8,NA,11.065564943869,8.8426900438194,9.6901152213463,NA,270.8295,3254.4,0.87568266144161,NA,14.768,0.4648,0.13698929429758,0.05,0.4322,2244.9,1821,0.63640856672158,0.38890566797544,108.9,0.33020012128563,148.4,0.44996967859309,1.4943985307622,1.5909488030753,0.8757,5.5215281989084,17.9763,0.062243612369915,NA,0.12864976613658,0.095142407828062,13.258,36.92,1158.9,NA,329.8,97.6,18.657786885246,330.2,NA,1.4128065986542
