"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,20.1,0.31,0.5288,0.3521,32.2,63.1,0.4,35.5,0.1309,0.4303,0.5626,0.5,0.15,NA,0.9,0,0,-5,-4.52,-4,0,235.7,16.6,2.71,NA,NA,2.86,0.2,-4.53,271.2,0.0349,NA,NA,NA,0.2223,NA,0.4462,0.0412,14.2,253.7,0.069,0.0645,-16.8,-0.2036,9,0.1091,NA,7.88,NA,-0.0548,3.08,0,NA,82.5,-0.3185,-0.5217,77.7,12.55,17.5,81550,87.1,-18.1,NA,87.1,0.7,5.46
"2",2011-06-30,17,NA,4,0.36470588235294,21.6,46.8,1.1,21.2,0.11169652265543,0.26903553299492,0.45299145299145,0.0558,0.034375,NA,0.7,0,0,-8.8441,-8.8441,-8.1441,0,168.6,13.171875,2.1261034047919,NA,NA,2.1395939086294,0.225,-9.2999,189.8,0.051282051282051,NA,NA,0.0836,0.38297872340425,NA,0.4078,0.049145299145299,12.8,177.4,0.069898534385569,0.065331928345627,-11.1,-0.14086294416244,8.8,0.11167512690355,NA,8.212962962963,NA,-0.11223489847716,2.251269035533,0.4558,NA,78.8,-0.69094609375,-0.51388888888889,71.3,9.85,12.4,128305,79.3,-10.8,NA,79.3,0.55,5.5823529411765
"3",2010-06-30,15.1,-7.18,4,0.38111888111888,17.7,42.3,0.8,23.7,0.13397399660825,0.36574074074074,0.56028368794326,0.162,0.046875,NA,0.6,0,0,-22.8912,-22.8912,-22.2912,0,153.2,31.265306122449,2.259587020649,NA,NA,2.3641975308642,0.225,-23.2532,176.9,0.047281323877069,NA,NA,0.0134,0.52380952380952,NA,0.1967,0.040189125295508,4.9,166,0.06566265060241,0.061616732617298,-23.9,-0.36882716049383,3.5,0.054012345679012,NA,9.3785310734463,NA,-0.35325925925926,2.5617283950617,0.362,NA,64.8,-4.6716734693878,-1.3502824858757,72.7,11.66,10.9,67031,67.8,-22,NA,67.8,0.75,6.1853146853147
"4",2009-06-30,13.4,-8.73,6.1168,0.51129032258064,30.3,72.4,1,33.4,0.36264929424539,0.59115044247788,0.46132596685083,0.1425,0.018310227569971,NA,0.5,0,0,-34.287,-34.287,-33.787,0,58.7,2.0524475524475,0.97833333333333,NA,NA,1.0389380530973,NA,-34.9295,92.1,0.023480662983425,NA,NA,-0.4837,0.88823031329382,NA,0.3106,0.019337016574586,28.6,60.4,0.52483443708609,0.34419109663409,-30.2,-0.53451327433628,2.3,0.04070796460177,NA,1.993399339934,NA,-0.60684955752212,1.0690265486726,0.6425,NA,56.5,-1.1988461538461,-0.996699669967,74.5,4.59,31.7,49153,60,-22.1,NA,60,0.7,1.4854838709677
"5",2004-06-30,49.2,0,0,NA,NA,0.1,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,146.9,NA,NA,NA,NA,NA,NA,NA,146.9,0,NA,NA,0,0.48401826484018,NA,0,0,-4.9,146,0.0061643835616438,0.0061266167460858,-0.6,NA,-4.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,0.245,0.9,550175,NA,0,NA,0,0.1,NA
"6",2002-06-30,NA,0.97,0.4622,0.1179,NA,88,1,22.2,0.29210526315789,0.23343848580442,NA,3.2267,0.3661,95.714285714286,5,0.0049,0.3283,5.828,4.0015,10.828,0.3134,53.8,NA,NA,9.2312971859986,4.9685999261175,0.56572029442692,NA,4.7748,76,0.092045454545454,NA,-0.07,-0.1715,0.25827814569536,0,0.3123,0.052272727272727,54.068,67,0.13432835820896,0.11842105263158,0.7,0.0073606729758149,37.909,0.39862250262881,0.469,0.99554234769688,NA,0.042076811777077,0.70452155625657,-0.7733,-0.19325229848531,NA,0.074008744543908,0.010401188707281,24.7,8.14,9,3300,95.1,2.9,23.103448275862,103.2,0.6,1.4056373455648
"7",2001-06-30,NA,0.75,0.4814,0.10167597765363,NA,93.2,2.3,11.3,0.1527027027027,0.094402673350042,NA,0.378,0.46738678853344,9.6865671641791,5.1,0,0,13.03533,10.514,18.1353,0.19342,62.7,NA,NA,4.8100048100048,3.4573398995221,0.52380952380952,NA,12.6169,74,0.10836909871245,17.675,NA,0.0161,0.32867132867133,NA,0.2891,NA,69.1,64.9,0.1402157164869,0.12297297297297,6.7,0.055973266499582,43.3,0.36173767752715,0,0.91023842917251,NA,0.087836562,0.5421888053467,-2.1029,-0.20000596400062,NA,0.15215682303039,0.093969144460028,29.4223,7.07,9.1,NA,119.7,1.6,40.5625,99,NA,0.92039800995025
"8",2000-06-30,NA,0.7,0.4976,0.11936339522546,NA,91.5,2.2,14.8,0.16780045351474,NA,NA,NA,0.21101286173633,8.8,4.8,0.044444444444444,3.52,16.1,12.473,17.273,0.22528,73.4,NA,NA,4.5590062111801,4.2494085564331,0.59241323648103,0.14,13.3604,88.2,0.12021857923497,6.5789473684211,NA,0.6894,0.536,NA,0.2833,NA,60.6,79.2,0.11363636363636,0.10204081632653,NA,0.065375302663438,NA,0.23083131557708,0.39111111111111,1.1927710843374,0.62857142857143,0.12994350282486,0.63922518159806,NA,-0.20845038624253,NA,0.20582495049505,0.12198795180723,28.9,NA,NA,NA,NA,8.1,9.7777777777778,123.9,NA,1.1697612732095
