"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,28.3,0.69,0.1958,0.283,474.1,3604.1,0,57.3,0.0515,0.0159,0.8,16.93,0,0.0159,14.72,147,95.6,147,0.351,0.3511,1056.1,1.75,NA,7.17,7.17,0.05,95.6,1113.4,0,2.28,14.48,0.06,0.1844,0.5815,0.019,603.9,926.3,0.202,0.168,54.7,0,0.2401,1.95,3.39,0,0,0.1583,0.1154,23,33.02,187.1,102802,NA,61.3,15.11,NA,0.8,1.68
"2",2010-12-31,28.5,0.96,0.2739,0.31725125268432,476.9,3762.6,0,49.9,0.052565047930054,0.013262105990538,0.68455640744797,41.346590909091,0,0.0124,9.0235,121.6,90.592,121.6,0.255,0.25423728813559,899.4,1.3866790009251,NA,7.3963815789474,7.3963815789474,0.05,90.592,949.3,0,1.84,14.08152173913,NA,0.14500537056928,0.5597,0.018896507734014,648.6,727.7,0.30452109385736,0.2334351627515,17.6,0,0.51269772727273,1.5258964143426,8.2693181818182,0,0,0.13967314215233,0.036905011532816,24.3,25.91,221.6,88355,NA,23.9,30.44769874477,NA,0.75,1.3590551181102
"3",2009-12-31,28.3,0.55,0.2772,0.47388438133874,415,2684.9,0,40,0.039733783649548,0.014898134008715,0.72150072150072,23.615671641791,0,0.0097,6.1391,102.4,70.4983,102.4,0.31154,0.31105398457583,966.7,1.2909989316239,NA,9.4404296875,9.4404296875,0.05,70.4983,1006.7,0,1.36,16.198529411765,NA,0.14940068493151,0.5024,0.021490558307572,748.8,632.9,0.59061463106336,0.37131220820503,26.8,0,0.22907201492537,1.5250602409639,4.7231343283582,0,0,0.094148376068376,0.064578313253012,27.4,22.03,373.8,71160,NA,40.9,15.474327628362,NA,0.8,1.2762423935091
"4",2008-12-31,19.9,0.59,0.2833,0.61067547117898,283,2580.1,0,46.8,0.044656488549618,0.018138831828224,0.42357924461701,59.811881188119,0,0.0099,5.9806,91,91,91,0,NA,1001.2,1.472136450522,NA,11.002197802198,11.002197802198,NA,NA,1048,0,1.11,21.684684684685,NA,0.30860606060606,0.4902,0.021937134219604,680.1,604.1,0.73481211719914,0.42356870229008,10.1,0,0.59213762376238,2.134628975265,NA,NA,NA,0.13380385237465,0.035689045936396,45.6,24.07,443.9,102245,NA,9.4,64.265957446808,NA,0.75,1.4417388911817
"5",2007-12-31,18.6,NA,NA,0,253.1,2291.6,0,55,0.11279737489746,0.02400069820213,NA,23.901960784314,0,0.0099179655455291,4.836,80.8,57.0351,80.8,0.29412,NA,432.6,2.1837455830389,NA,5.3539603960396,5.3539603960396,NA,NA,487.6,0,NA,NA,NA,0.33105153070926,0.2507,0.019724210158841,198.1,487.6,0,0,20.4,0,0.23705882352941,1.9265112603714,NA,NA,NA,0.28791067137809,0.080600553141051,56.2,26.95,0,217738,NA,24.9,19.582329317269,NA,0.6,1.9265112603714
"6",2006-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,259.4,NA,0.044211889828197,NA,NA,NA,NA,259.4,NA,1.14,17.543859649123,NA,0.14176072234763,0.1736,NA,0,259.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0,55662,5867.2,19.6,13.234693877551,5867.2,NA,NA
"7",2005-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,305,NA,NA,NA,NA,0.16,NA,305,NA,1,24.04,NA,0.1140642303433,0.094,NA,0,305,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24.04,0,26330,NA,NA,NA,NA,NA,NA
