"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,480.2,2.13,0.5244,0.0772,297.6,430.5,1.2,281.7,0.2862,156.5,0.6544,5.3,0.8,4.9,0,0,-13,-13.09,-8,0,702.5,17.22,585.42,390.28,-14.69,984.2,0.1078,NA,NA,0.5011,0.8699,0.2279,40.8,959.3,0.026,0.0253,-109.4,-60.7778,-15.9,-8.8333,3.22,-7.2739,532.94,1.6,1.8,-0.3209,-0.3676,17.4,2.21,24.9,6774090,1.2,-112.4,1.2,1.45,3.05
"2",2010-12-31,337.4,2.11,0.6135,0.10312273057371,247,366.9,1.1,211.1,0.51064344460571,43.081632653061,0.57536113382393,2.4898,0.59087204563977,5.4,0,0,-57.1688,-57.1688,-51.7688,0,202.3,3.1461897356143,69.758620689655,41.285714285714,-55.3586,413.4,0.14554374488962,NA,NA,0.47909967845659,0.8557,0.26737530662306,64.3,385,0.073766233766234,0.068698597000484,-101.8,-20.775510204082,-6.1,-1.2448979591837,1.5587044534413,-11.667095918367,78.571428571429,-1.8102,4.9,-0.88909440124417,-0.41214574898785,19.4,1.29,28.4,992237,2.9,-105.3,2.9,1.45,1.5010893246187
"3",2009-12-31,175.7,1.41,0.6732,0.29067245119306,163.5,257.8,0.4,162.5,0.26926263463132,15.18691588785,0.63033359193173,2.8234,0.53847296494355,6.2,0,0,-89.997,-89.997,-83.797,0,441,6.4852941176471,88.2,41.214953271028,-87.0204,603.5,0.22808378588053,NA,-0.742,0.42079207920792,0.3403,0.10007757951901,68,536.5,0.12488350419385,0.11101905550953,-82.8,-7.7383177570093,-5.3,-0.49532710280374,3.2813455657492,-8.4109392523364,50.140186915888,-2.9766,10.7,-1.3234860294118,-0.50642201834862,19.4,1.44,67,790006,5,-100.8,5,1.45,2.6182212581345
"4",2008-12-31,136.8,1.4,0.6435,0.14113836186951,185.6,261.5,2.2,103.1,0.3569944598338,3.1919504643963,0.3942638623327,7.2901,0.37296037296037,7.9,0,0,-96.4472,-96.4472,-88.5472,0,185.7,1.6433628318584,11.903846153846,5.749226006192,-98.0373,288.8,0.24894837476099,NA,-0.3544,0.64705882352941,0.2584,0.098661567877629,113,258.3,0.11807975222609,0.10560941828255,-75.5,-2.3374613003096,-14.1,-0.43653250773994,1.3917025862069,-2.9859820433436,7.9969040247678,1.5901,32.3,-0.85351522123894,-0.40678879310345,20.3,1.7,30.5,453808,15.6,-84.7,15.6,1.5,1.3364183248496
"5",2007-12-31,136.8,0.79,0.5174,0.1091414668057,256.3,369.3,1.9,258.8,1.1975937066173,5.1656686626747,0.70078526942865,-5.8593,0.49478160030924,9.3,0,0,-74.9661,-74.9661,-65.6661,0,-42.7,-1.477508650519,-1.072864321608,-0.85229540918164,-61.7068,216.1,0.19171405361495,-0.18,-0.6086,0.62244897959184,0.3522,0.069861900893582,28.9,184.7,0.17000541418516,0.14530310041647,-58.8,-1.1736526946108,-28.5,-0.5688622754491,0.72063987514631,-1.496328742515,3.686626746507,-13.2593,50.1,-2.5939816608997,-0.22941865001951,20.7,1.4,31.4,248425,39.8,NA,39.8,1.6,0.75112964893987
"6",2006-12-31,77.8,1.34,0.369,0.27357689039932,85.5,190.3,3.6,80,0.17801513128616,1.0989010989011,0.42038885969522,-11.1229,0.56368563685637,11.2,0,0,-55.2294,-55.2294,-44.0294,0,369.4,9.7984084880637,7.0630975143403,5.0741758241758,-36.5065,449.4,0.41093011035208,-0.13,-0.2017,0.22222222222222,0.3444,0.13557540725171,37.7,417.2,0.077181208053691,0.071651090342679,-54.3,-0.74587912087912,-39.5,-0.54258241758242,4.8795321637427,-0.75864615384615,5.7307692307692,-18.7229,72.8,-1.4649718832891,-0.63508771929825,21.3,2.88,32.2,131627,52.3,-60.4,52.3,1.3,3.8181818181818
