"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,6.5,0.48,0.1998,0.1561,125.4,1085.3,0,30.6,0.1835,0.0282,NA,0.6,12.6,0,0.0272,3.9,33,23.51,33,0.2918,0.3174,136.2,1.15,4.1,4.1,NA,23.51,166.8,0,1.94,11.68,-0.03,NA,0.141,0.6161,0.0077,118,143.6,0.1616,0.1391,11.4,0,0.2889,1.15,NA,0,0,NA,0.1993,0.0909,3.5,22.65,23.2,17420,NA,13.5,10.64,NA,0.6,1.12
"2",2010-12-31,6.4,0.98,0.3219,0.16595441595442,117.1,1054.5,0,16,0.11721611721612,0.015173067804647,NA,0.46598322460391,12.43956043956,0,0,0,33.6,23.7633,33.6,0.29276,0.32089552238806,120.5,0.96864951768489,3.5863095238095,3.5863095238095,NA,23.7633,136.5,0,1.63,10.742331288344,-0.05,NA,0.09042125033539,0.5964,0.0082503556187767,124.4,113.2,0.20583038869258,0.17069597069597,9.1,0,0,0.9666951323655,NA,0,0,NA,0.19102302250804,0.077711357813834,5.5,17.51,23.3,7469,NA,10.1,11.207920792079,NA,0.6,0.97222222222222
"3",2009-12-31,6.4,1.1,0.3708,0.17472118959108,111,1003,0,19.4,0.13566433566434,0.019341974077767,NA,0.43824163969795,14.573170731707,0,0,0,35.5,25.8188,35.5,0.27271,0.30508474576271,123.6,1.0738488271069,3.4816901408451,3.4816901408451,NA,25.8188,143,0,1.44,13.416666666667,-0.015,NA,0.12471131639723,0.5471,0.0089730807577268,115.1,119.5,0.19665271966527,0.16433566433566,8.2,0,0,1.0765765765766,NA,0,0,NA,0.22431620330148,0.073873873873874,7.1,19.32,23.5,7571,NA,9.2,12.989130434783,NA,0.65,1.0631970260223
"4",2008-12-31,6.3,1.03,0.3776,0.24856321839081,104.6,1006.4,0,30.9,0.21699438202247,0.030703497615262,NA,0.27542372881356,17.672131147541,0,0,0,35.7,23.592,35.7,0.33916,NA,111.5,1.0295475530933,3.1232492997199,3.1232492997199,NA,NA,142.4,0,1.2,14.066666666667,0.045,NA,0.46169772256729,0.5343,0.0092408585055644,108.3,107.8,0.32096474953618,0.24297752808989,6.1,0,0,1.0305927342256,NA,NA,NA,NA,0.21783922437673,0.058317399617591,13.9,16.88,34.6,14176,NA,6.9,15.623188405797,NA,0.65,1.0229885057471
"5",2007-12-31,6.3,0.61,0.2652,0.16748768472906,101.4,1014.7,0,30.8,0.34222222222222,0.030353799152459,NA,0.42232277526395,5.9487179487179,0,0,0,38.6,23.7869,38.6,0.38376,NA,59.2,0.65054945054945,1.5336787564767,1.5336787564767,NA,NA,90,0,0.21,49.761904761905,0.11,NA,0.40298507462687,0.5413,0.0097565782990046,91,69.6,0.29310344827586,0.22666666666667,11.7,0,0,0.68639053254438,NA,NA,NA,NA,0.26139410989011,0.11538461538462,23.2,10.45,20.4,3738,NA,8.1,8.5925925925926,NA,0.7,0.73891625615764
"6",2006-12-31,6.4,0.08,0.2048,0.17829457364341,95.4,925.6,0,25.6,0.16580310880829,0.027657735522904,NA,0.46875,10.284615384615,0,0,0,35.5,21.9823,35.5,0.38078,NA,128.8,1.4232044198895,3.6281690140845,3.6281690140845,NA,NA,154.4,0,0.52,40.384615384615,0.11,NA,0.22793182396337,0.5457,0.0074546240276577,90.5,133.7,0.15482423335827,0.13406735751295,13,0,0,1.4014675052411,NA,NA,NA,NA,0.24289845303867,0.13626834381551,22,21,20.7,7033,NA,13.1,10.206106870229,NA,0.6,1.3298880275625
"7",2005-12-31,6.1,0.17,0.1722,0.19905213270142,84.5,895,0,28.9,0.15487674169346,0.032290502793296,NA,0.60394889663182,14.785714285714,0,0,0,31,19.1372,31,0.38267,NA,157.7,2.0587467362924,5.0870967741935,5.0870967741935,NA,NA,186.6,0,NA,NA,0.1,NA,0.1337647010947,0.4724,0.008268156424581,76.6,165.6,0.1268115942029,0.11254019292605,11.2,0,0,1.9597633136095,NA,NA,NA,NA,0.24983328981723,0.13254437869822,14.9,26.6,21,1521,NA,12.3,13.463414634146,NA,0.65,1.7687203791469
"8",2004-12-31,6.1,0.42,0.2021,0.12578616352201,NA,800.7,0,18.9,0.12684563758389,0.023604346197078,0,0.41563582384958,12.803738317757,0,0.018763326226013,2.684,NA,NA,NA,0.36787,NA,130.1,1.7006535947712,NA,NA,NA,NA,149,0,NA,NA,NA,0,0.079365079365079,0.4576,0.0082427875608842,76.5,137,0.087591240875912,0.080536912751678,10.7,0,0.25084112149533,1.6426858513189,NA,0,NA,NA,NA,0.12829736211031,7.3,23.45,12,702,NA,10.9,12.568807339449,0,0.75,1.5618448637317
"9",2003-12-31,6.1,0.61,0.2322,0.14819004524887,NA,738.6,0,31.3,0.19923615531509,NA,0,0.52540913006029,13.714285714286,0,0,0,NA,NA,NA,0.38192,NA,125.8,2.2031523642732,NA,NA,0.081,NA,157.1,0,1.71,13.976608187135,NA,0,0.16331601536029,0.4158,0.0094773896561061,57.1,144,0.090972222222222,0.083386378103119,10.5,0,0,1.9123505976096,1.6931216931217,0,NA,NA,NA,0.1394422310757,6.7,23.9,13.1,1109,NA,10.5,13.714285714286,0,0.75,1.777149321267
"10",2002-12-31,6.1,0.52,0.2305,0.065573770491803,NA,704.2,0,28.1,0.19733146067416,NA,0,0.5002,16.188235294118,0,0.016845930232558,2.318,24.9,15.5105,24.9,0.37709,NA,114.3,NA,4.5903614457831,4.5903614457831,NA,15.5105,142.4,0,1.67,13.712574850299,NA,0,0.3089719116444,0.3635,0.010508378301619,45.1,137.6,0.034883720930233,0.033707865168539,8.5,0,0.27270588235294,2.0116959064328,NA,0,0,0,0.34391261640798,0.12426900584795,10.2,22.9,4.8,11684,0,10.1,13.623762376238,0,0.75,2.5343680709534
