"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,308.7,1.37,0.3598,0.2564,2493.4,4095.3,34.9,485.3,0.0635,0.368,0.1185,-24.83,0.8,177.59,170.9,0,0,53,52.6,224,0,0,7158.5,2.5,4.33,136.09,32.03,5.43,0.12,213.43,7643.8,0.0191,0.45,49.6,0.18,0.2344,0.26,0.8849,0.752,2868,6783.9,0.1268,0.1125,38.2,0.029,-98.4,-0.0746,0,2.72,0.0399,5.14,-160.83,-3.0575,1318.7,0.0183,0.0153,678.1,22.32,859.9,1946571,1651.4,207.1,32.76,1651.4,1.2,2.28
"2",2010-12-31,298.2,1.33,0.3901,0.27211660329531,2297.2,3769.7,26,546.2,0.063348101412633,0.48815801233354,0.1448921664854,-14.1426,0.8,NA,157.2,0,0,32.9,32.9,190.1,0,NA,8076,3.0944899992337,6.1242132403124,245.47112462006,42.482903734876,7.217803199571,0.095,178.2426,8622.2,0.01647345942648,0.3,83.866666666667,0.1004,0.26828121326123,0.26,0.9107,0.73316179006287,2609.8,7763.4,0.11062163485071,0.099603349493169,-19.1,-0.017070336938064,-79.2,-0.070783805523282,NA,3.3795054849382,0.029403878809545,6.9384216641344,-145.3426,-4.4177083387098,1118.9,0.012606329986972,-0.0083144697893087,676.7,25.16,858.8,2844168,1318.7,38.2,203.23036649215,1318.7,1.25,2.7320025348542
"3",2009-12-31,278.7,1.55,0.4359,0.30940123691393,1998.8,3499.6,19.5,527,0.084247210410206,0.55450336700337,0.15058863870157,-25.4922,0.71690754760266,NA,134.1,0,0,57.5,23,191.6,0.6,1,5728.4,2.4198031512694,5.1192135835567,99.624347826087,29.89770354906,6.0273569023569,0.105,163.0922,6255.4,0.015287461424163,0.25,72.72,-0.0556,0.15220654458121,0.277,0.7087,0.74231340724654,2367.3,5359.9,0.16707401257486,0.14315631294562,-12.2,-0.0128367003367,-143.7,-0.1511994949495,NA,2.6815589353612,0.060500841750842,5.6396254208754,-140.0922,-6.0909667325428,950.4,0.0097157098804545,-0.0061036621973184,533.2,18.18,895.5,2384662,1119,-19.1,NA,1119,1.25,2.1612825208168
"4",2008-12-31,240.5,1.62,0.4411,0.38819728623735,1420.3,2846.2,17.7,261.6,0.051066820231518,0.30120898100173,0.091912023048275,-11.3825,0.45341192473362,NA,99,0,0,32.6,32.6,131.6,0,NA,4861.1,2.3598718384388,5.1158703430857,149.11349693252,36.938449848024,5.5971214738054,0.11,125.2825,5122.7,0.016337572904223,0.25,62.12,0.1588,0.36542486395982,0.245,0.6358,0.78729534115663,2059.9,4221.5,0.21347862134312,0.17592285318289,-30.1,-0.034657455382844,-121,-0.13932066781808,NA,2.9722593818207,0.037535981577432,4.8606793321819,-92.6825,-2.8430214282435,868.5,0.015826010971406,-0.021192705766387,520.2,15.53,901.2,2868996,950.2,-12.2,NA,950.2,1.25,2.2066336420418
"5",2007-12-31,193.2,2.01,0.5377,0.50812051971326,873.6,2172.8,12.7,187,0.06119910983113,0.31063122923588,0.086064064801178,6.5494,0.37195462153617,NA,49.8,0,0,39,19.5,88.8,0.6,NA,2868.6,1.7997364953887,3.303316444035,73.553846153846,32.304054054054,4.7651162790698,0.185,50.0506,3055.6,0.017304860088365,0.25,41.44,0.3716,0.55298372513562,0.231,0.787,0.75515463917526,1593.9,2148.3,0.42233393846297,0.29693022646943,-14,-0.023255813953488,-14.8,-0.024584717607973,NA,2.4591346153846,0.064784053156146,3.5686046511628,-30.5506,-1.5666990373967,602,0.012234142668925,-0.016025641025641,365.1,10.36,907.3,2543543,868.4,-30.1,NA,868.4,1.25,1.7157616935258
"6",2006-12-31,171,1.83,0.4747,0.38033315421816,572,1235.1,8.4,112.3,0.029612636131108,0.28906048906049,0.090923811837098,31.2323,0.52243522224563,NA,38.4,0,0,24.4,24.4,62.8,0,NA,3680,4.5231071779744,6.1231281198003,150.81967213115,58.59872611465,9.4723294723295,0.255,23.1677,3792.3,0.024856286940329,0.25,65.03,0.5312,0.34441861851123,NA,0.7761,0.74439316654522,813.6,3438.4,0.10292577943229,0.093320676106848,-22.9,-0.058944658944659,-57.1,-0.14697554697555,NA,6.0111888111888,0.062805662805663,8.8504504504505,1.2323,0.050504251323923,388.5,0.029990167158309,-0.040034965034965,243.2,16.2575,353.9,5416818,601,-17.9,NA,601,1.55,4.0957986823631
"7",2005-12-31,156.6,1.86,0.4948,0.05151571508276,514.7,757.2,4.6,95.8,0.048325262308313,0.41222030981067,0.12651875330164,37.6386,0.42037186742118,NA,18.2,0,0,12.2,6.1,30.4,0.6,NA,1886.6,4.2243618450515,4.8548636129696,154.63934426229,62.059210526316,8.117900172117,0.225,-17.9386,1982.4,0.018885367142103,-0.05,NA,0.1998,0.34196117471379,NA,0.6575,0.72728473322768,446.6,1954.7,0.014170972527754,0.013972962066182,-5.4,-0.023235800344234,-56,-0.24096385542169,NA,3.7977462599573,0.05249569707401,8.4109294320138,24.0386,3.9407465929291,232.4,0.013658755038065,-0.01049154847484,147.1,11.46,27.7,1561923,388.6,7.4,264.14864864865,388.6,1.3,3.6548672566372
"8",2003-12-31,35,4.04,0.764,0,NA,141.5,1.6,106.8,0.75211267605634,1.8319039451115,NA,-0.432,1.0575916230366,NA,3.8,0,0,2.453,2.453,6.253,0,NA,35.2,NA,0.60377358490566,14.349775784753,5.6292979369902,0.64,0.205,5.085,142,0.02756183745583,-0.01,NA,0.2192,0.43968253968254,0.05,0.359,0.0070671378091873,-34.2,142,0,0,-9.9,-0.18,-7.2,-0.13090909090909,NA,1.9559228650138,0.0446,2.5818181818182,-2.632,-1.0729718711781,55,-0.07172514619883,-0.13636363636364,43.5,4.12,0,55517,58.3,-9.9,NA,58.3,2.25,1.9559228650138
"9",2002-12-31,34.2,4.34,0.9709,0,NA,161.7,3.4,124.4,0.484046692607,2.8208616780045,NA,-8.4,0.9839,NA,4.3,0,0,-39.1655,-39.1655,-34.8655,0,NA,132.6,NA,NA,NA,NA,3.0068027210884,0.205,-38.2655,257,0.038961038961039,-0.08,NA,0.0911,0.63763066202091,NA,0.3523,0.0086580086580087,-35.1,257,0,0,-32.8,-0.7437641723356,-16.5,-0.37414965986395,NA,2.8779395296752,-0.88810566893424,5.827664399093,-0.9,NA,44.1,NA,-0.36730123180291,67.4,7.37,0,194348,47.8,-32.8,NA,47.8,2.35,NA
"10",2001-12-31,NA,NA,NA,0,NA,208.2,24.3,148.8,1.7302325581395,3.7959183673469,NA,-0.3472,NA,NA,4.4,0,0,-43.7002,-43.7002,-39.3002,0,NA,-62.8,NA,NA,NA,NA,-1.6020408163265,NA,-63.253,86,0.040826128722382,-0.84,-2.7976190476191,-0.2666,0.748046875,0,0.4334,0.0067243035542747,5.977,86,0,0,-40.7,-1.0382653061225,-20.176,-0.51469387755102,NA,0.55555555555556,-1.1148010204082,2.1938775510204,19.5528,NA,NA,-7.3113936757571,-0.26291989664083,71.1,2.35,0,47900,39.2,-47.8,NA,39.9,2.5,14.388489208633
