"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,52,1.45,0.5918,0,164.9,255.1,10.9,46.3,0.3218,0.6052,0.1815,2.85,0.61,NA,15.5,0,0,-2303,-2302.63,-2287,0,NA,97.6,0.82,1.01,NA,NA,1.28,-0.03,-2300.87,143.9,0.3559,NA,NA,0.24,0.432,0.03,0.266,0.0149,118.6,143.9,0,0,-136.8,-1.7882,11,0.1438,NA,0.87,-30.0997,1.88,-1.75,NA,76.5,-19.4151,-0.8296,72.1,2.62,0,859796,96.3,-72.9,NA,96.3,1.6,0.87
"2",2011-03-31,50.7,1.73,0.6544,0,292.9,441.2,40.9,123.8,0.58423784804153,0.43196092114445,0.28059836808703,-30.7352,0.64944987775061,NA,11.3,0,0,-43.9469,-43.9469,-32.6469,0,NA,88.1,0.52099349497339,0.77826855123675,NA,NA,0.30739706908583,0.065,-42.8116,211.9,0.2187216681777,NA,NA,-0.1978,0.80909901873327,0.026,0.324,0.016092475067996,169.1,211.9,0,0,-186.3,-0.65003489183531,50.8,0.17725052337753,NA,0.7234551041311,-0.15333872993719,0.73935799023029,-1.1352,NA,286.6,-0.25988693081017,-0.63605326049846,72.4,3.69,0,1444233,113.2,-292.7,NA,113.2,1.7,0.7234551041311
"3",2010-03-31,44.9,1.76,0.6652,0,281,400.2,16.5,142.1,0.10800334422741,0.4496835443038,0.35507246376812,2.6953,0.62011425135298,81.216049382716,9.8,0,0,40.9,18.0798,50.7,0.55795,0.55978260869565,1173.6,8.4492440604752,3.1978201634877,28.694376528117,23.147928994083,3.7139240506329,0.275,8.6846,1315.7,0.16066966516742,1.63,17.539877300614,0.6689,0.28696925329429,0.042,0.7881,0.1111944027986,138.9,1315.7,0,0,16.2,0.05126582278481,16.7,0.052848101265823,0,4.682206405694,0.12943037974683,4.1636075949367,9.3953,0.51965341320996,316,0.13016447084233,0.057651245551601,74,28.59,0,697214,367,29.3,44.904436860068,367,1.65,4.682206405694
"4",2009-03-31,43.3,1.98,0.6747,0,221.9,309.1,6.5,109.9,0.058622712967408,0.60120350109409,0.35554836622452,7.7798,0.40314213724618,NA,8.4,0,0,-6.3,-6.3,2.1,0,NA,1764.8,15.757142857143,7.0535571542766,NA,840.38095238095,9.6542669584245,0.37,-12.1798,1874.7,0.17728890326755,0.41,99.756097560976,0.5773,0.57653895042673,0.054,0.7422,0.11355548366224,112,1874.7,0,0,-16.6,-0.090809628008753,21.1,0.11542669584245,NA,8.4484001802614,-0.034463894967177,10.255470459519,5.8798,NA,182.8,-0.05625,-0.074808472284813,58.2,40.9,0,861689,250.2,-0.4,NA,250.2,1.7,8.4484001802614
"5",2008-03-31,42,1.96,0.6361,0,208.5,261.2,8.6,106.2,0.14774624373957,0.94483985765125,0.40658499234303,-6.248,0.52821883351674,NA,10.1,0,0,-19.8338,-19.8338,-9.7338,0,NA,612.6,5.9882697947214,4.0515873015873,NA,NA,5.4501779359431,0.35,-12.0858,718.8,0.20788667687596,-0.09,NA,0.796,0.70511210762332,0.056,0.8581,0.11523736600306,102.3,718.8,0,0,-23.9,-0.21263345195729,18.1,0.16103202846975,NA,3.4474820143885,-0.17645765124555,6.3950177935943,-7.748,NA,112.4,-0.19387917888563,-0.11462829736211,51.9,16.31,0,451339,151.2,-17.5,NA,151.2,2.1,3.4474820143885
"6",2007-03-31,35,2.82,0.5069,0,101.6,132.4,10,35.3,0.028125248984145,0.67624521072797,0.2666163141994,0.1017,0.53659498914973,NA,4.8,0,0,-36.4854,-36.4854,-31.6854,0,NA,1219.8,18.398190045249,17.450643776824,NA,NA,23.367816091954,0.38,-41.7871,1255.1,0.37688821752266,-0.51,NA,-0.0367,0.56127801621364,0.084,0.5071,0.096676737160121,66.3,1255.1,0,0,-34.7,-0.66475095785441,-0.3,-0.0057471264367816,NA,12.353346456693,-0.69895402298851,24.044061302682,5.3017,NA,52.2,-0.55030769230769,-0.34153543307087,35.2,26.2,0,824061,69.9,NA,NA,69.9,1.7,12.353346456693
"7",2006-03-31,32.9,4.79,0.509,0,115.1,133.5,3,65.7,0.20006090133983,1.2907662082515,0.49213483146067,-0.0059,0.34577603143419,NA,7.5,0,0,-28.5573,-28.5573,-21.0573,0,NA,262.7,5.3178137651822,5.1009708737864,NA,NA,5.1611001964637,0.385,-24.0514,328.4,0.33558052434457,-0.87,NA,-0.1364,0.27712137486574,0.0869,0.4073,0.0082397003745318,49.4,328.4,0,0,-30.9,-0.60707269155206,0.5,0.0098231827111984,NA,2.8531711555169,-0.56104774066798,6.4518664047151,-4.5059,NA,50.9,-0.57808360323887,-0.26846220677672,26,9.81,0,321934,51.5,-30.4,NA,51.5,1.1,2.8531711555169
"8",2005-03-31,32.5,2.6,0.7996,0,NA,158.9,1.5,79.2,0.2972972972973,1.3678756476684,0.49842668344871,0.013,0.65032516258129,NA,7.8,0,0,-20.3695,-20.3695,-12.5695,0,NA,187.2,2.9113530326594,3.2331606217617,NA,NA,3.2109777015437,0.41,-14.0825,266.4,0.32284455632473,-0.56,NA,0.1971,0.37295825771325,0.084,0.434,0.0069225928256765,64.3,266.4,0,0,-17.1,-0.29331046312178,-1.9,-0.032590051457976,NA,1.8564459930314,-0.34939073756432,4.5694682675815,-6.287,0.30864626781915,58.3,-0.31678818040436,-0.1191637630662,20.8,7.87,0,263047,57.9,-17.1,NA,57.9,1.3,1.8564459930314
"9",2004-03-31,27.6,2.6,0.8368,0,NA,129.9,2,46.3,0.11060678451983,1.1210653753027,NA,0,0.62141491395794,NA,7.3,0,0,-18.3909,-18.3909,-11.0909,0,NA,372.3,5.3800578034682,9.0145278450363,NA,NA,9.0145278450363,0.545,-13.0909,418.6,0.43571978444958,-0.72,NA,0.5156,0.37776243093923,0.084,0.4406,0.00846805234796,69.2,418.6,0,0,-26.7,-0.64648910411622,0,0,NA,3.6242424242424,-0.4453,10.135593220339,-5.3,0.28818616173551,41.3,-0.26576430635838,-0.23116883116883,22.7,14.67,0,64072,41.3,-26.7,NA,41.3,1.3,3.6242424242424
"10",2003-03-31,21.3,2.28,0.9625,0,NA,102,7.8,18.5,0.071844660194175,0.88095238095238,NA,-12,0.5218,NA,8.1,0,0,-49.2411,-49.2411,-41.1411,0,NA,239,NA,NA,NA,NA,11.380952380952,0.51,-48.9411,257.5,0.59803921568627,-1.26,NA,0.7379,0.64979154258487,0.093,0.2552,0.01078431372549,69.3,257.5,0,0,-42.4,-2.0190476190476,0.9,0.042857142857143,NA,2.9328018223235,-2.3448142857143,12.261904761905,-0.3,NA,21,-0.71054978354978,-0.48291571753986,38.1,11.85,0,259920,21,-42.4,NA,21,1.15,3.4487734487735
"11",2002-03-31,NA,2.01,1.3491,0,NA,197.8,63.1,37.2,0.45756457564576,3.2068965517241,NA,-0.0779,0.2602,NA,5.5,0,0,-50.38,-50.38,-44.88,0,NA,44.1,NA,NA,NA,NA,3.801724137931,NA,-107.9021,81.3,0.49393326592518,-2.02,-2.0544554455446,-0.3119,0.70045688178184,0.093,0.3711,0.0055611729019211,135,81.3,0,0,-43.1,-3.7155172413793,-0.33,-0.028448275862069,NA,0.47212543554007,-4.3431034482759,7.0086206896552,57.5221,NA,NA,-0.37318518518519,-0.25029036004646,44.1,4.15,0,68100,11.6,-44.9,NA,14.4,1.25,0.60222222222222
