"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,1.4,0.4,0.167,0,64.9,90.8,0.1,72.3,0.5793,2.0957,0.7963,0.77,0.6,16,0.5,0,0,11,7.06,11,0.3467,0.35,52.5,NA,1.61,4.86,4.65,1.52,6.69,124.8,0.1035,0.185,0.03,0.2519,0.084,0,-7.4,124.8,0,0,7.8,0.2261,-13.9,-0.4029,0,1.92,0.313,3.62,0.37,0.0518,34.5,NA,0.1202,8.3,92.55,0,1264,32.6,7.5,16.64,32.6,0.4,NA
"2",2011-09-30,1.4,0.32,0.2586,0,64.9,90.8,0.1,72.3,0.79625550660793,2.095652173913,0.79625550660793,-0.6849,0.38669760247487,11.641025641026,0.5,0,0,10.8,7.0556,11.3,0.3467,0.35,18.5,NA,0.51104972375691,1.712962962963,1.6371681415929,0.53623188405797,8.1406,90.8,0.10352422907489,0.185,-0.0816,0.12218401291319,0.0622,0,-7.4,90.8,0,0,7.8,0.22608695652174,-13.9,-0.40289855072464,0,1.3990755007704,0.31304347826087,2.631884057971,-1.0849,-0.1537674167378,34.5,NA,0.12018489984592,8.3,65.15,0,1160,36.2,8.1,11.20987654321,36.2,0.4,NA
"3",2010-09-30,1.4,0.26,0.2565,0,55.3,84.7,0.2,62.1,0.62474849094567,1.5371287128713,0.7331759149941,-0.2183,0.38986354775829,12.425,0.8,0,0,12.2,7.5599,13,0.38034,0.37984496124031,37.3,NA,0.90975609756098,3.0573770491803,2.8692307692308,0.92326732673267,8.3782,99.4,0.11924439197167,0.215,0.0476,0.14048606994665,0.0608,0,-6.8,99.4,0,0,8,0.1980198019802,-14.7,-0.36386138613861,0,1.7974683544304,0.3019801980198,2.460396039604,-0.8183,-0.10824508623756,40.4,NA,0.14466546112116,8.7,72,0,1237,41,7.6,13.078947368421,41,0.4,NA
"4",2009-09-30,1.5,0.27,0.2796,0,29.5,46.1,0.4,21.7,0.2675709001233,0.53448275862069,0.470715835141,0.0148,0.2002861230329,11.422535211268,1,0,0,10.9,6.6906,11.9,0.38618,NA,59.4,7.6153846153846,1.470297029703,5.4495412844037,4.9915966386555,1.4630541871921,7.2759,81.1,0.23210412147505,0.215,0.1564,0.2885794450795,0.1188,0,7.8,81.1,0,0,7.1,0.17487684729064,-3,-0.073891625615763,0,2.7491525423729,0.26847290640394,1.9975369458128,-0.5852,-0.087468739883528,40.6,0.8577741025641,0.2406779661017,8.8,62,0,1343,40.4,8,10.1375,40.4,0.35,2.7491525423729
"5",2008-09-30,1.5,0.19,0.1897,0.15209125475285,22.3,39.9,0.4,16.5,0.33604887983707,0.47008547008547,0.41353383458647,0.302,0.25303110173959,13.264705882353,1,0,0,6.1,3.1253,7.1,0.48765,NA,32.6,3.3265306122449,0.87870619946092,5.344262295082,4.5915492957746,0.92877492877493,3.4233,49.1,0.28320802005013,0.19,0.0849,0.23441550425873,0.15,0,9.8,45.1,0.088691796008869,0.081466395112016,3.4,0.096866096866097,-5.3,-0.15099715099715,0,2.0224215246637,0.17378917378917,1.2849002849003,-0.298,-0.095351601670124,35.1,0.31891173469388,0.152466367713,8.5,35,4,300,37.1,5.3,8.5094339622642,37.1,0.3,1.8669201520912
"6",2007-09-30,1.5,-0.33,0.2619,0.19811320754717,17,35.7,0.9,9.6,0.14976599063963,0.2962962962963,0.26890756302521,0.1778,0.24436807941963,24.958333333333,0.9,0,0,4,2.3011,4.9,0.42473,NA,54.5,4.698275862069,1.6415662650602,13.625,11.122448979592,1.6820987654321,2.1233,64.1,0.33333333333333,0.145,-0.0576,0.14529914529915,0.1593,0,11.6,59.9,0.070116861435726,0.065522620904836,2.4,0.074074074074074,-7.2,-0.22222222222222,0,3.5235294117647,0.12345679012346,1.8487654320988,0.1778,0.07725840812913,32.4,0.19836896551724,0.14117647058823,8.8,41.25,4.2,100,33.2,2.9,20.655172413793,33.2,0.4,3.0235849056604
"7",2006-09-30,1.5,-0.57,0.2484,0.23280423280423,14.5,33.8,0.6,11.8,0.18294573643411,0.34402332361516,0.3491124260355,-0.2047,0.28985507246377,13.976744186046,0.8,0,0,4.5,4.2899,5.3,0.0467,NA,52.7,7.4225352112676,1.5778443113773,11.711111111111,9.9433962264151,1.5364431486881,4.6945,64.5,0.35207100591716,0.095,-0.0127,0.13596024139155,0.1539,0,7.1,60.1,0.073211314475874,0.068217054263566,4.3,0.12536443148688,-7.8,-0.22740524781341,0,4.1448275862069,0.13119533527697,1.7521865889213,-0.4047,-0.094330739543823,34.3,0.60420422535211,0.29655172413793,9.7,42.484,4.4,100,33.4,2.5,24.04,33.4,0.45,3.4126984126984
"8",2005-09-30,1.5,0.23,0.2265,0.30872483221476,NA,29.3,2.8,11.3,0.16142857142857,0.33040935672515,0.38566552901024,0.1466,0.20309050772627,17.675675675676,1.3,0,0,3.9931,3.8787,5.2931,0.02864,NA,58.7,16.305555555556,1.7163742690059,14.700431746922,11.089951408254,1.6867816091954,2.2322,70,0.41296928327645,-0.02,0.0235,0.13446300134097,0.1445,0,3.6,65.4,0.070336391437309,0.065714285714286,3.7,0.10632183908046,-8.5,-0.24425287356322,0,6.3495145631068,0.11474367816092,1.8793103448276,1.6466,0.42450924351566,34.8,1.0774217191111,0.35922330097087,11.1,45.31,4.6,200,34.2,4.1,15.951219512195,34.2,0.5,4.6979865771812
"9",2004-09-30,1.5,0.62,0.2123,0.30872483221476,NA,29.3,2.8,11.3,0.19894366197183,0.32102272727273,NA,-0.0977,0.58407913330193,14.108108108108,1.3,0,0,5.2931,5.1415,6.5931,0.02864,NA,45.5,12.638888888889,1.2926136363636,8.5961292857845,6.9011751715435,1.3074712643678,3.7392,56.8,0.41296928327645,-0.02,0.0235,NA,0.1436,0,3.6,52.2,0.088122605363985,0.080985915492958,3.7,0.10632183908046,-8.5,-0.24425287356322,0,5.0679611650485,0.1521,1.5,1.4023,0.27274192696062,34.8,1.428190608,0.35922330097087,11.1,35.85,4.6,1700,35.2,4,13.05,35.2,0.5,3.8120805369128
"10",2003-09-30,1.5,0.44,0.2226,0.27941176470588,NA,21.4,1.4,4.8,0.1025641025641,0.14117647058823,NA,1.1,0.4377,44.9,2.5,0,0,0.9,0.9,3.4,0,NA,42,NA,NA,46.666666666667,12.352941176471,1.2352941176471,2,46.8,0.42056074766355,NA,-0.0267,0.20754716981132,0.1153,0,2,44.9,0.042316258351893,0.040598290598291,1,0.029411764705882,-7.7,-0.22647058823529,0,9.1632653061224,0.026470588235294,1.3205882352941,-1.1,-1.2222222222222,34,0.45,0.20408163265306,11.3,30.5,1.9,1300,34.4,1.8,24.944444444444,34.4,0.5,21
