"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,154.6,2.35,0.6388,0.1136,99.9,134.1,1.1,114,0.225,5.2778,0.8501,0.39,0.8,1.6,0,0,-2,-2.26,-1,0,392.6,NA,20.24,18.18,-2.15,506.6,0.0462,NA,-0.02,0.4127,0.8089,0.0172,-1.3,493.8,0.0259,0.0253,-48.6,-2.25,-3.8,-0.1759,4.94,-0.1048,22.86,-0.11,NA,21.6,NA,-0.4865,67.6,2.85,12.8,2817154,19.4,-49.7,NA,19.4,1.15,NA
"2",2010-12-31,115.6,2.49,1.6091,0.17301587301587,52.1,84.2,0.4,72.2,0.16873101191867,3.0083333333333,0.85748218527316,6.15,0.17867130694177,2.4,0,0,-25.044,-25.044,-22.644,0,355.7,NA,29.641666666667,14.820833333333,-29.194,427.9,0.076009501187649,NA,-0.7212,0.34456928838951,0.6944,0.030878859857482,-9.2,417,0.026139088729017,0.025473241411545,-57.3,-2.3875,-12.3,-0.5125,8.0038387715931,-1.0435,17.375,4.15,NA,24,NA,-1.0998080614204,69.1,3.32,10.9,1238089,12,-59.3,NA,12,1.15,NA
"3",2009-12-31,54.3,2.66,1.7134,0.65957446808511,6.4,50.5,0.4,36.7,0.12981959674567,0.9106699751861,0.72673267326733,4.8834,0.16049959145559,2.8,0,0,-15.0714,-15.0714,-12.2713,0,246,NA,10.123456790123,6.1042183622829,-17.5547,282.7,0.15841584158416,NA,-0.2022,0.4627539503386,0.3538,0.071287128712871,-17.9,270.3,0.045874953755087,0.043862752033958,-30.6,-0.75930521091811,-12.3,-0.30521091811414,42.234375,-0.37397890818859,6.7071960297767,2.4834,NA,40.3,NA,-4.78125,15.7,3.2,12.4,655345,24.3,-72.5,NA,24.3,1.1,NA
"4",2008-12-31,39.9,3.1,1.7252,0,13.5,90.6,4.1,68.5,1.1531986531987,1.8463611859838,0.7560706401766,-11.3701,0.10665430095061,2.8,0,0,-24.0954,-24.0954,-21.2954,0,-9.1,NA,-0.182,-0.24528301886793,-14.0253,59.4,0.10485651214128,-0.24,1.6292,0.74025974025974,0.2522,0.050772626931567,-55,59.4,0,0,-25.8,-0.69541778975741,-32.7,-0.88140161725067,4.4,-0.64947169811321,1.6010781671159,-10.0701,NA,37.1,NA,-1.9111111111111,15.5,1.42,0,705648,50,0.8,74.25,50,1.15,NA
"5",2007-12-31,39.8,2.89,0.8432,0,30.8,120.4,3.6,56.6,1.6125356125356,4.0141843971631,0.47009966777409,-36.7489,0.26565464895636,1.5,0,0,-70.1388,-70.1388,-68.6388,0,-21.5,NA,-0.6231884057971,-1.5248226950355,-35.4899,35.1,0.06063122923588,-0.06,1.905,0.95522388059702,0.5602,0.046511627906977,-25.8,35.1,0,0,-60,-4.2553191489362,25.4,1.8014184397163,1.1396103896104,-4.9743829787234,2.4893617021277,-34.6489,NA,14.1,NA,-1.948051948052,82.7,0.84,0,428286,34.5,-36,NA,34.5,1.4,NA
"6",2006-12-31,39.7,2.85,0.6442,0,77.1,102.9,1.1,72.8,0.35546875,15.166666666667,0.70748299319728,-1.6,0.22353306426576,1.1,0,0,-59.503,-59.503,-58.403,0,132,30.697674418605,18.333333333333,27.5,-57.903,204.8,0.050534499514091,-0.39,-0.7463,0.44272445820433,0.6739,0.06511175898931,4.3,204.8,0,0,-52.1,-10.854166666667,3.2,0.66666666666667,2.6562905317769,-12.396466666667,42.666666666667,-1.6,NA,4.8,-13.83791627907,-0.6757457846952,63.8,5.24,0,87781,7.2,-64.4,NA,7.2,0.9,2.6562905317769
"7",2005-12-31,30.5,NA,NA,0,74.4,80.1,0.6,75.1,0.26593484419264,5.108843537415,0.93757802746567,-2.5469,NA,0.8,0,0,-22.5972,-22.5972,-21.7972,0,207.3,NA,69.1,14.102040816327,-19.8502,282.4,0.027465667915106,-0.33,-0.2,0.49299719887955,0.5237,0,-0.7,282.4,0,0,-20.6,-1.4013605442177,-3.2,-0.21768707482993,3.7956989247312,-1.5372217687075,19.210884353741,-2.7469,NA,14.7,NA,-0.27688172043011,36.4,9.18,0,250550,3,-44.5,NA,3,0.7,NA
"8",2004-12-31,24.6,0,0,0,NA,73.6,1.9,65.8,0.65603190428714,3.29,0.89402173913044,-0.6676,NA,0.5,0,0,-16.8111,-16.8111,-16.3111,0,34.5,NA,1.725,2.3310810810811,-17.5435,100.3,0.033967391304348,NA,0.3732,0.43790849673203,0.3192,0,-5.9,100.3,0,0,-16,-1.0810810810811,-1.9,-0.12837837837838,1.6744574290484,-1.1358837837838,6.777027027027,0.7324,-0.043568434177485,14.8,2.8493355932203,-0.26711185308848,8.5,4.21,0,67153,20,-12.7,NA,20,0,1.6744574290484
"9",2003-12-31,1.9,0,0,0,NA,31.6,0.1,29.1,0.15486961149548,2.2213740458015,NA,-53.8125,NA,0.6,0,0,-16.647,-16.647,-16.047,0,158.8,2.2914862914863,12.12213740458,198.5,37.6655,187.9,0.025316455696203,-0.74,0,0.42571428571429,0.2739,0,69.3,187.9,0,0,-17.4,-21.75,-3.5,-4.375,NA,-20.8087,234.875,-54.3125,3.2626077073532,0.8,-0.24021587301587,-1.4871794871795,4.2,7.77,0,3101,13.1,-15.3,NA,13.1,0,16.059829059829
