"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,10.9,0.71,0.5567,0,144.8,1260.9,0,145.1,0.799,0.1151,NA,0.32,16.81,0,0.012,2.18,39,22.21,39,0.4231,0.4225,36.5,NA,0.95,0.95,NA,22.21,181.6,0.0052,2.18,8.03,-0.19,NA,0.3117,NA,0.5856,0,-0.3,181.6,0,0,10.8,0,0.1329,1.25,0,0,NA,NA,0.0746,8.4,17.5,0,107357,NA,16.4,11.07,NA,0.7,NA
"2",2011-06-30,0,0.89,0.6972,NA,NA,NA,0,0,0,NA,NA,0.25100401606426,NA,0,0,0,NA,NA,NA,0,NA,106.8,NA,NA,NA,NA,NA,106.8,NA,0.86,10.837209302326,NA,NA,0.15699450213806,NA,0.4698,NA,NA,106.8,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,0,9.32,0,14665,NA,11,9.7090909090909,NA,0.7,NA
"3",2010-06-30,7,1.05,0.8092,0,136.2,1622.5,0,16.4,0.21134020618557,0.010107858243451,NA,0.2317103311913,4.7317073170732,0,0,0,56.8,31.2122,56.8,0.45049,0.45150501672241,61.2,0.51085141903172,1.0774647887324,1.0774647887324,-0.13,31.2122,77.6,0.0042526964560863,0.8,9.05,NA,NA,0.50403225806452,NA,0.4211,0,119.8,77.6,0,0,16.4,0,0,0.56975036710719,0,0,NA,0.26053562604341,0.12041116005874,22.1,7.24,0,12163,NA,10.7,7.2523364485981,NA,0.75,0.56975036710719
"4",2009-06-30,7,0.9,0.6056,0,136.2,1622.5,0,16.4,1.0445859872612,0.010107858243451,NA,0.18494055482166,0.95731707317073,0,0,0,56.8,31.2122,56.8,0.45049,NA,-0.7,-0.0058430717863105,NA,NA,NA,NA,15.7,0.0042526964560863,NA,NA,NA,NA,0.62383900928793,NA,0.5199,0,119.8,15.7,0,0,16.4,0,0,0.11527165932452,NA,NA,NA,0.26053562604341,0.12041116005874,22.1,2.76,0,25801,NA,-12.8,NA,NA,0.7,0.11527165932452
"5",2008-06-30,7,0.68,0.4581,0,136.2,1622.5,0,16.4,0.58362989323843,0.010107858243451,NA,0.26195153896529,1.7134146341463,0,0,0,56.8,31.2122,56.8,0.45049,NA,11.7,0.097662771285476,0.20598591549296,0.20598591549296,NA,NA,28.1,0.0042526964560863,NA,NA,0.085,NA,0.64285714285714,NA,0.6672,0,119.8,28.1,0,0,16.4,0,0,0.20631424375918,NA,NA,NA,0.26053562604341,0.12041116005874,22.1,4.27,0,100,NA,1.4,20.071428571429,NA,0.75,0.20631424375918
"6",2007-06-30,7,1.01,0.2637,0,136.2,1622.5,0,16.4,0.15953307392996,0.010107858243451,NA,0.45506257110353,6.2682926829268,0,0.049027237354086,5.04,56.8,31.2122,56.8,0.45049,NA,86.4,0.7212020033389,1.5211267605634,1.5211267605634,NA,NA,102.8,0.0042526964560863,0.5,29.61,0.085,NA,0.31133671742809,NA,0.5574,0,119.8,102.8,0,0,16.4,0,0.30731707317073,0.75477239353891,NA,NA,NA,0.26053562604341,0.12041116005874,22.1,14.805,0,31000,NA,6.8,15.117647058824,NA,0.75,0.75477239353891
"7",2006-06-30,7,0.91,0.2218,0,123,1632.1,0,25.9,0.12228517469311,0.01586912566632,NA,0.50495942290352,11.326203208556,0,0.023796033994334,5.04,55.7,31.7774,55.7,0.42949,NA,185.9,1.9145211122554,3.3375224416517,3.3375224416517,NA,NA,211.8,0.0045340359046627,1.49,20.41610738255,0.295,NA,0.13236549957301,NA,0.5201,0,97.1,211.8,0,0,18.7,0,0.26951871657754,1.7219512195122,NA,NA,NA,0.3272647476828,0.1520325203252,16.2,30.42,0,5375,NA,20.9,10.133971291866,NA,0.7,1.7219512195122
"8",2005-06-30,7.1,0.4,0.1909,0,NA,1319,0,38.3,0.20986301369863,0.029037149355572,0,0.41906757464641,12.086092715232,0,0.021292775665399,3.976,NA,NA,NA,0.43743,NA,144.2,2.0111576011158,NA,NA,NA,NA,182.5,0.0059893858984079,NA,NA,0.34,0,0.10571428571429,NA,0.5404,0,71.7,182.5,0,0,15.1,0,0.26331125827815,1.6590909090909,0,NA,NA,NA,0.13727272727273,13.3,26.3,0,9681,NA,18.7,9.7593582887701,0,0.7,1.6590909090909
"9",2004-06-30,7.1,0.25,0.1763,0,NA,1319,0,38.3,0.18756121449559,NA,0,0.28360748723766,13.523178807947,0,0.019642230796212,3.976,NA,NA,NA,0.43743,NA,165.9,2.3138075313807,NA,NA,NA,NA,204.2,0.0059893858984079,2.55,11.180392156863,0.34,0,0.14695618456766,NA,0.5716,0,71.7,204.2,0,0,15.1,0,0.26331125827815,1.8563636363636,0,NA,NA,NA,0.13727272727273,13.3,28.51,0,500,NA,15.8,12.924050632911,0,0.7,1.8563636363636
"10",2003-06-30,5.5,0.18,0.1612,0,NA,1005.3,0,27.7,0.15694050991501,NA,0,0.2457,19.395604395604,0,0.012464589235128,2.2,35.2,20.5656,35.2,0.41575,NA,148.8,NA,4.2272727272727,4.2272727272727,NA,20.5656,176.5,0.0080572963294539,NA,NA,NA,0,0.16903633491311,NA,0.4961,0,75.3,176.5,0,0,9.1,0,0.24175824175824,1.7135922330097,0,0,0,0.27311553784861,0.088349514563107,24.1,37.12,0,7535,0,16.9,10.443786982249,0,0.7,1.9760956175299
