"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,52.9,3.05,1.1176,0,23.4,32.1,0,31,0.1207,14.7619,0.9657,-7.82,0.68,NA,0.3,0,0,0,-0.3,0,0,NA,225.9,NA,43.44,NA,NA,107.57,7.82,256.9,0.0062,NA,0.05,0.7233,0.5634,0,-7.6,256.9,0,0,-22.8,-10.8571,-5.3,-2.5238,NA,10.98,-0.1429,122.33,-8.12,NA,2.1,NA,-0.9744,7.6,4.65,0,1290767,5.2,-19.3,NA,5.2,1.8,NA
"2",2010-12-31,39.4,2.65,1.2139,0.0033557046979866,29.7,38.4,0,37.1,0.53151862464183,0.8812351543943,0.96614583333333,0.6299,0.3707059889612,4.6158940397351,0.6,0,0,15.1,15.1,15.7,0,0,32.7,NA,0.88617886178862,2.1655629139073,2.0828025477707,0.77672209026128,15.0701,69.8,0.010416666666667,NA,NA,0.57142857142857,0.593,0,-7.3,69.7,0.0014347202295552,0.001432664756447,15.1,0.35866983372922,-5.1,-0.12114014251782,0,2.3468013468013,0.35866983372922,1.6555819477435,0.0299,0.0019820358339495,42.1,NA,0.50841750841751,8.5,1.08,0.1,461979,36.9,11.6,6.0086206896552,36.9,1.8,NA
"3",2009-12-31,38.3,2.05,1.0883,0.03968253968254,12.1,49.7,0,47.1,1.0902777777778,7.359375,0.9476861167002,-4.2328,0.41348892768538,NA,1.1,0,0,-45.4642,-45.4642,-44.3642,0,NA,-3.9,NA,-0.45882352941177,NA,NA,-0.609375,-40.1313,43.2,0.022132796780684,NA,2.8822,0.50943396226415,0.3155,0,-34.5,42.7,0.011709601873536,0.011574074074074,-45.1,-7.046875,-12.9,-2.015625,NA,3.5289256198347,-7.103775,6.671875,-5.3328,NA,6.4,NA,-3.7272727272727,12.8,1.2,0.5,469244,8.5,-22.7,NA,8.5,1.8,NA
"4",2008-12-31,37.2,2.27,1.2748,0.022140221402214,53,64.7,0.2,60.1,1.1602316602317,37.5625,0.92890262751159,-40,0.23219328522121,NA,1,0,0,-67.3496,-67.3496,-66.3496,0,NA,-8.3,NA,-0.86458333333333,NA,NA,-5.1875,-26.5496,51.8,0.032457496136012,NA,NA,0.79591836734694,0.3498,0,-5.9,50.6,0.023715415019763,0.023166023166023,-64.2,-40.125,-8,-5,NA,0.95471698113208,-42.0935,31.625,-40.8,NA,1.6,NA,-1.211320754717,14.4,1.32,1.2,1004852,9.6,-41.6,NA,9.6,1.85,NA
"5",2007-12-31,37,2.09,0.9371,0.018949181739879,113.9,134.6,0.4,126.9,3.7544378698225,16.697368421053,0.94279346210996,-8.7789,0.28172020061893,NA,1.1,0,0,-63.056,-63.056,-61.956,0,NA,-93.1,NA,-33.25,NA,NA,-12.25,-53.577,33.8,0.022288261515602,-1.66,-0.25,0.8984485190409,0.7372,0,-10.8,31.6,0.069620253164557,0.06508875739645,-56.4,-7.4210526315789,-13.9,-1.828947368421,NA,0.2774363476734,-8.2968368421053,4.1578947368421,-9.4789,NA,7.6,NA,-0.49517120280948,12.3,0.9,2.2,97086,2.8,-67.3,NA,2.8,1.65,NA
"6",2006-12-31,29.9,1.69,0.8317,0.03448275862069,67.2,89.5,2,83.3,0.19641593963688,10.283950617284,0.93072625698324,-0.4198,0.29818444150535,NA,0.9,0,0,-52.4686,-52.4686,-51.5686,0,NA,340.8,NA,43.139240506329,NA,NA,42.074074074074,-53.1489,424.1,0.039106145251397,-1.56,-0.4173,0.4465776293823,0.7558,0,-13.7,421.7,0.0056912497035807,0.0056590426786135,-45,-5.5555555555556,-17,-2.0987654320988,NA,6.2752976190476,-6.4776111111111,52.061728395062,0.6802,NA,8.1,NA,-0.66964285714286,11.4,10.45,2.4,254219,7.9,-51.9,NA,7.9,1.55,NA
"7",2005-12-31,23.5,NA,NA,0.04368932038835,39.4,62.5,1,43,0.16135084427767,3.9090909090909,0.688,-0.7736,NA,NA,1,0,0,-28.3614,-28.3614,-27.3614,0,NA,223.5,NA,25.689655172414,NA,NA,20.318181818182,-27.5878,266.5,0.0368,-1.65,0.7127,0.55932203389831,0.4523,0,-1.8,264.7,0.0068001511144692,0.0067542213883677,-27.9,-2.5363636363636,-3.7,-0.33636363636364,NA,6.7182741116751,-2.5783090909091,24.063636363636,-0.7736,NA,11,NA,-0.70812182741117,8.4,8.79,1.8,156587,8.7,-42.6,NA,8.7,1.6,NA
"8",2004-12-31,16.9,0,0,0.075301204819277,NA,40.4,0.6,35.9,0.15166877904521,3.7395833333333,0.88861386138614,-5.7609,NA,NA,1.3,0,0,-23.7144,-23.7144,-22.4144,0,NA,200.8,NA,20.916666666667,NA,NA,43.652173913043,-17.2536,236.7,0.061881188118812,-1.26,-0.3789,0.35042735042735,0.338,0,-2.7,234.2,0.01067463706234,0.01056189269117,-25.9,-5.6304347826087,-5.3,-1.1521739130435,NA,7.628664495114,-5.1553086956522,50.913043478261,-6.4609,0.27244476420749,4.6,8.7831185185185,-0.84364820846905,4.9,9.85,2.5,43044,9.6,-31.2,NA,9.6,0,7.1295180722892
"9",2003-12-31,1.5,0,0,0.18045112781955,NA,31.7,1.8,27.2,0.2607861936721,NA,NA,3.9,NA,NA,1.3,0,0,-11.0371,-11.0371,-9.7371,0,NA,77.1,0.87813211845103,NA,NA,NA,10.418918918919,-15.4371,104.3,0.097791798107255,-1.56,0,0.23552123552124,0.2737,0,87.8,99.5,0.048241206030151,0.046021093000959,-14.1,-1.9054054054054,-3.9,-0.52702702702703,NA,NA,-1.4915,13.445945945946,4.4,-0.3986554439119,7.4,-0.12570728929385,-0.64678899082569,2.8,6.51,4.8,3508,NA,0,NA,0,0,3.921052631579
