"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.6,0.63,0.1575,0,2925.7,6478.1,6.4,1096.5,0.3888,NA,0.1693,NA,0.8,19.68,0,0,0,NA,NA,NA,0.2494,0.249,1724,0.94,NA,NA,NA,0.115,NA,2820.5,0.0028,17.44,19.23,NA,NA,0.129,0.0409,0.8211,0.0215,1829.2,2820.5,0,0,143.3,NA,0,NA,0,0.96,1.71,NA,NA,6.4,NA,NA,NA,0.049,747.6,335.42,0,67410,NA,305.5,9.23,NA,0.8,0.96
"2",2010-12-31,8.9,0.43,0.1657,0,2908.9,6431.7,6.6,264.8,0.097863848030157,NA,0.041171074521511,NA,0.8,20.013313609467,0,0,0,NA,NA,NA,0.29693,0.29693187727509,2441,0.92318747399871,NA,NA,NA,0.1,NA,2705.8,0.0030318578291898,13.21,21.596517789553,NA,NA,0.10337573227174,NA,0.6314,0.022124788158652,2644.1,2705.8,0,0,135.2,NA,0,NA,0,0.93017979304892,2.0013313609467,NA,NA,6.6,NA,NA,NA,0.046478050122039,768.1,285.29,0,17493,NA,94,28.785106382979,NA,0.8,0.93017979304892
"3",2009-12-31,9,0.51,0.2245,0,2717.5,6192.8,5.5,262.9,0.0911897329171,NA,0.042452525513499,NA,0.8,24.308600337268,0,0,0,NA,NA,NA,0.26293,0.26289620882536,2620.1,1.0674244276053,NA,NA,NA,0.08,NA,2883,0.0032457046893166,18.28,16.759846827134,NA,NA,0.10652529708959,0.3279,0.6149,0.023527322051415,2454.6,2883,0,0,118.6,NA,0,NA,0,1.0609015639374,3.0385750421585,NA,NA,5.5,NA,NA,NA,0.043643054277829,845,306.37,0,10895,NA,182.8,15.771334792123,NA,0.8,1.0609015639374
"4",2008-12-31,8.5,0.43,0.2351,0,2347.3,6181.8,9.8,636.2,0.27465031946123,NA,0.10291500857355,NA,0.57847724372607,19.714042553192,0,0,0,NA,NA,NA,0.23334,NA,1680.2,0.98194144117819,NA,NA,NA,0.025,NA,2316.4,0.0037691287327316,13.39,20.612397311426,NA,NA,0.15238623115002,0.123,0.6116,0.02445889546734,1711.1,2316.4,0,0,117.5,NA,0,NA,0,0.98683593916415,7.8856170212766,NA,NA,NA,NA,NA,NA,0.050057512887147,948.7,276,0,29703,NA,112.4,20.608540925267,NA,0.85,0.98683593916415
"5",2007-12-31,0,0.68,0.2319,NA,0,0,0,0,0,NA,NA,NA,0.62095730918499,NA,0,0,0,0,0,0,0,NA,2205.1,NA,NA,NA,NA,NA,NA,2205.1,NA,15.48,18.217054263566,NA,NA,NA,0.123,0.6909,NA,0,2205.1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,0,21882,NA,218.5,10.091990846682,NA,0.9,NA
"6",2006-12-31,0,-0.01,0.1429,NA,0,0,0,0,0,NA,NA,NA,0.72778166550035,NA,0,0,0,0,0,0,0,NA,3220.1,NA,NA,NA,NA,NA,NA,3220.1,NA,29.2,13.210616438356,NA,NA,0.1229256710573,0.123,0.7097,NA,0,3220.1,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385.75,0,7300,NA,226,14.248230088496,NA,0.65,NA
"7",2005-12-31,0,0.83,0.1437,NA,0,0,0,0,NA,NA,NA,NA,0.66805845511482,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,25.02,14.532374100719,NA,NA,0.17624435114259,0.029,0.6655,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.6,0,12000,NA,NA,NA,NA,0.6,NA
"8",2004-12-31,0,0.28,0.1447,NA,NA,0,0,0,NA,NA,NA,0,0.38700760193504,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,14.91,18.980549966465,0.105,0,0.10704791813011,0.038,0.5977,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,283,0,3500,NA,293.2,0,0,0.6,NA
"9",2003-12-31,0,0.15,0.1425,NA,NA,0,0,0,NA,NA,NA,0,0.21052631578947,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0.105,NA,0,NA,18.67,15.345474022496,0.105,0,0.18785877762353,0.038,0.6248,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,286.5,0,1000,NA,293.2,0,0,0.55,NA
"10",2002-12-31,7.3,0.12,0.1349,0.099556077816947,NA,2134.4,13.9,265.1,0.14910849879071,0.45952504766857,NA,-188.2,0.1973,29.660583941606,18.5,0,0,64,61.111,82.5,0.04514,NA,1512.8,NA,23.6375,18.33696969697,2.622291558329,NA,65.711,1777.9,0.08128748125937,NA,NA,NA,0.4216,0.17416088870621,NA,0.5651,0.052895427286357,1266.7,1625.4,0.093823058939338,0.085775352944485,54.8,0.094990466285318,326.5,0.5659559715722,0,1.1784238381788,NA,0.11093777084417,2.817472698908,-4.6,-0.075272814862912,576.9,0.048244288308202,0.039730297977235,155.3,217.22,152.5,9228,771.7,87,18.68275862069,771.7,0.5,1.1942843609379
