"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,48.3,0.85,0.2256,0.3964,197.2,343.2,0.6,162.5,0.4983,3.9731,0.4735,-0.15,0.8,NA,5.3,0,0,10,9.81,15,0,163.6,1,3.95,16.68,10.83,4,NA,-0.08,14.66,326.1,0.049,NA,NA,-0.135,0.2965,0.015,0.9114,0,164.2,196.6,0.6587,0.3971,-20.8,-0.5086,-12.6,-0.3081,NA,1,NA,0.2398,4.81,-4.85,-0.495,40.9,0.0597,-0.1055,52.2,4.43,129.5,231880,41.4,-2.6,NA,41.4,0.95,1
"2",2010-12-31,58.8,0.93,0.3829,0.28837907375643,331.9,488.9,2,428.7,0.90941875265168,9.5478841870824,0.87686643485375,0.9465,0.65291198746409,NA,5.8,0,0,-28.488,-28.488,-22.688,0,42.7,1.132625994695,1.0289156626506,NA,NA,0.95100222717149,NA,-0.07,-25.6346,471.4,0.044180814072407,NA,NA,NA,0.34578441835646,0.149,0.997,0,37.7,336.9,0.39922825764322,0.28532032244378,-34.5,-0.76837416481069,-12.5,-0.27839643652561,NA,1.0150647785478,NA,-0.63447772828508,7.5033407572383,-2.8535,NA,44.9,-0.75565119363395,-0.10394697197951,69.5,6.7,134.5,370046,41.5,-26.2,NA,41.5,1,1.0107204116638
"3",2009-12-31,45.3,1.21,0.448,0.82432432432432,53.3,332.7,3.3,104.1,0.10452856712521,0.56392199349946,0.31289449954914,-8.3901,0.55803571428571,NA,20,0,0,2.1,2.1,22.1,0,891.8,4.4746613146011,10.088235294118,424.66666666667,40.352941176471,4.830985915493,NA,-0.175,27.1901,995.9,0.11782386534415,NA,NA,-0.0671,0.17041198501873,0.162,0.9299,0,199.3,745.8,0.33534459640654,0.2511296314891,-3.2,-0.017334777898158,16.1,0.087215601300108,NA,13.992495309569,NA,0.011375947995666,4.0400866738895,-25.0901,-11.9476861167,184.6,0.010536879076769,-0.060037523452158,134.2,12.16,250.1,472181,88.4,-26.7,NA,88.4,1,3.2824653922215
"4",2008-12-31,45,1.4,0.4528,0.86643177450352,41.7,349.3,7.9,144.9,0.1912366371915,0.73590655154901,0.41482965931864,-0.0082,0.35335689045936,NA,20.8,0,0,5.2,5.2,26,0,612.8,3.6628810520024,3.2457627118644,117.84615384615,23.569230769231,3.1122397155917,0.765,0.015,18.1082,757.7,0.12768393930719,NA,NA,0.0415,0.39820742637644,0.131,NA,0,167.3,487.2,0.55521346469622,0.35700145176191,-4.6,-0.023362112747588,0.2,0.0010157440325038,NA,11.68345323741,NA,0.026409344845099,2.4743524631793,-12.9082,-2.4823514474353,196.9,0.031081888822475,-0.11031175059952,129.4,10.53,270.5,476859,188.8,6.3,77.333333333333,188.8,1,2.4269698910955
"5",2007-12-31,44.2,1.67,0.3529,0.9046875,36.6,420.4,17.6,237.6,0.39034006899951,1.2801724137931,0.5651760228354,-0.6339,0.49872485123264,NA,17.6,0,0,9.5,9.5,27.1,0,371.1,2.5348360655738,1.88662938485,39.063157894737,13.693726937269,1.9994612068966,NA,NA,10.1339,608.7,0.10775451950523,-0.02,NA,-0.0047,0.5390625,0.081,NA,0.16198858230257,146.4,261.3,1.3295063145809,0.57072449482504,-5.9,-0.031788793103448,10.6,0.057112068965517,NA,7.1393442622951,NA,0.051185344827586,1.4078663793103,-0.6339,-0.066730943738657,185.6,0.064890710382514,-0.16120218579235,120.3,5.83,347.4,202462,196.7,0.5,522.6,196.7,1.1,1.58515625
"6",2006-12-31,44,1.53,0.3413,NA,-56.4,403.8,9.7,173.5,0.21374892201552,0.93430263866451,0.42966815255077,-0.0795,0.51567535892177,35.393162393162,13.3,0,0,22.2,20.8538,35.5,0.06064,638.2,3.8056052474657,3.4497297297297,28.747747747748,17.977464788732,3.4367259019925,0.315,0.04,24.5333,811.7,0.097820703318475,-0.2,NA,0.1228,0.24295140971806,0.081,NA,0.19440316988608,167.7,414.1,0.96015455204057,0.48983614635949,11.7,0.063004846526656,-21.1,-0.11362412493269,0,NA,1.1235924569258,0.11954765751212,2.2299407646742,-3.6795,-0.17644449927634,185.7,0.12435177101968,NA,113.3,9.11,397.6,1575933,185,-12.5,NA,185,1.1,2.3789566236811
"7",2005-12-31,44.2,1.3,0.4052,0.66224066390042,203.5,650.9,3.1,158.7,0.20712607674236,0.95429945880938,0.24381625441696,-1.4446,0.53307008884502,NA,36.1,0,0,16.7,16.7,52.8,0,607.5,1.3688598467778,3.3397471137988,36.377245508982,11.505681818182,3.6530366806975,0.11,0.04,51.1446,766.2,0.051006298970656,0.4,21.275,-0.0304,0.17617237008872,0.064,NA,0.50253495160547,443.8,367.2,1.0866013071895,0.52075176194205,-2.6,-0.015634395670475,15.4,0.092603728202045,NA,1.8044226044226,NA,0.10042092603728,2.2080577269994,-34.4446,-2.0625519856259,166.3,0.037629562866156,-0.012776412776413,90.2,8.51,399,595585,181.9,32.3,11.368421052632,181.9,1.35,1.2717012448133
"8",2004-12-31,44.2,1.15,0.4558,0.66224066390042,NA,650.9,3.1,158.7,0.21850475010326,0.95429945880938,0.24381625441696,0,0.50460728389645,NA,36.1,0,0,16.667,16.667,52.767,0,567.6,1.2789544840018,3.4131088394468,34.055339326417,10.756724990377,3.4131088394468,-0.005,0.09,49.667,726.3,0.051006298970656,NA,NA,-0.0304,0.42857142857143,0.032,0.7574,0.50253495160547,443.8,327.3,1.2190650779102,0.54935976869062,-2.6,-0.015634395670475,15.4,0.092603728202045,NA,1.6083538083538,NA,0.10022242934456,1.9681298857486,-33,-1.9799615887452,166.3,0.037555182514646,-0.012776412776413,90.2,7.4,399,281671,166.3,-2.6,NA,166.3,1.65,1.2054771784232
"9",2003-12-31,43.8,1.19,0.4242,0.57845263919017,NA,724.9,6.4,118.7,0.11665847665848,0.6998820754717,NA,0,0.56105610561056,96.484375,22.1,0,0,68.247,44.1879,90.347,0.35253,898.8,1.5691340782123,5.2995283018868,13.169801943059,9.9483059987355,5.2995283018868,0.07,0.195,59.8879,1017.5,0.048144571665057,NA,NA,0.1522,0.27115716753022,0.038,0.7236,0.47606566422955,572.8,617.5,0.64777327935223,0.39312039312039,6.4,0.037735849056604,20,0.11792452830189,0,2.1183533447684,13.783482142857,0.4024,3.6409198113207,-15.7,-0.35530079717911,169.6,0.077143699351955,0.021955403087479,76.4,13.75,400,132501,169.6,6.4,96.484375,169.6,1.7,1.47143890094
"10",2002-12-31,43.5,1.24,0.4529,0.57836899942163,NA,728.6,11.2,91.8,0.099750081495165,0.62704918032787,NA,2.8,0.5999,11.485651214128,13.3,0,0,78.1,77.7204,91.4,0.00486,828.5,NA,NA,10.608194622279,9.0645514223195,5.6591530054645,0.1,0.265,79.8204,920.3,0.044743343398298,NA,NA,0.9082,0.30540540540541,0.0229,0.7251,0.49821575624485,599.8,520.3,0.76878723813185,0.43464087797457,45.3,0.3094262295082,24.6,0.16803278688525,0,1.7842935528121,1.1485651214128,0.53346994535519,3.5539617486339,-2.1,-0.027019921170281,146.4,0.12957724908303,0.15534979423868,30.6,11.97,400,403306,161.9,35.3,14.739376770538,161.9,1.75,1.3812937645882
"11",2001-12-31,NA,1.01,0.6011,0.6778,NA,610.7,7.5,189,0.15805318615153,2.4934036939314,NA,2.1838,0.2932,21.675749318801,1,0,0,35.5859,35.5859,36.5859,0,1006.8,NA,NA,28.292104457102,27.518798225546,13.282321899736,0.45,NA,26.9021,1195.8,0.016538398559031,NA,NA,1.3443,0.57376598377561,0.022,0.8486,0.0024561978057966,401.472,795.5,0.50282840980515,0.3345040976752,36.7,0.48416886543536,12.739,0.16806068601583,0,4.1846396633351,0.48168331819558,0.4694709762533,10.494722955145,8.6838,0.24402361609514,NA,0.088638560098836,0.19305628616518,35.1,18.75,400,457000,75.8,45.3,17.560706401766,88.8,1.75,2.9785389765662
"12",2000-12-31,NA,1.8,0.6656,0.42598509052183,NA,549.7,2.1,439.7,0.15796091392441,13.914556962025,NA,388.1346,0.81129807692308,207.26956521739,0.6,0,0,3.46652,3.4665,4.0665,0,2343.9,NA,NA,676.15360649874,576.38964028211,74.174050632911,NA,NA,-3.1791,2783.6,0.006185191922867,NA,NA,0.804,0.41124194623417,NA,0.7633,NA,99.3,2383.6,0.16781339150864,0.1436988072999,11.5,0.36392405063291,6.4,0.20253164556962,0,17.148201438849,NA,0.1097,75.430379746835,6.6456,1.9170811072776,NA,0.034909566968782,0.08273381294964,24.8566,54.63,400,NA,31.6,15.1,157.85430463576,38.5,NA,5.1643784786642
"13",1999-12-31,NA,1.5,0.9229,0,NA,130.3,0.8,48.9,0.023461114043084,2.5336787564767,NA,NA,0.24379672770614,NA,0.5,0,0,-8.7,-8.7,-8.2,0,2035.4,NA,NA,NA,NA,105.46113989637,NA,NA,-9.0541,2084.3,0.013814274750576,NA,54.701834862385,0.1545,0.57426900584795,NA,0.647,NA,72.1,2084.3,0,0,NA,-0.19170984455959,NA,0.020725388601036,NA,17.225619834711,NA,-0.45077720207254,107.99481865285,NA,NA,NA,-0.12066574202496,-0.030578512396694,21.3,NA,NA,NA,NA,-3.7,NA,19.3,NA,17.225619834711
