"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,157.6,1.65,0.4711,0.0546,220.1,320.7,1.5,306.3,0.0928,12.1067,0.9551,22.06,0.8,NA,4.6,0,0,-5,-5.42,-1,0,NA,2992.9,NA,4988.17,NA,NA,118.3,NA,-24.38,3299.2,0.0206,NA,NA,NA,0.373,NA,0.7965,0.0181,-73.5,3286.5,0.0039,0.0038,-123.6,-4.8854,-22.6,-0.8933,NA,14.93,-0.2141,129.9,18.96,NA,25.3,NA,-0.5616,24.4,19.18,12.7,4075443,0.6,-212.2,NA,0.6,1.3,NA
"2",2010-12-31,126.9,0.96,0.801,0.13261163734777,64.1,120,1.3,103.6,0.067102791631582,0.57877094972067,0.86333333333333,11.4611,0.42134831460674,18.005868544601,6.1,0,0,104.9,104.9,111,0,0,1440.3,NA,55.610038610039,13.730219256435,12.975675675676,8.0463687150838,NA,98.2389,1543.9,0.058333333333333,NA,NA,NA,0.45631067961165,NA,0.6886,0.058333333333333,-29.7,1534.1,0.0063881102926798,0.0063475613705551,85.2,0.47597765363129,-13.4,-0.074860335195531,0,23.932917316693,0.58603351955307,8.5703910614525,6.6611,0.063499688450293,179,NA,1.3291731669267,16.1,12.25,9.8,3085407,25.9,-102.1,NA,25.9,1.35,NA
"3",2009-12-31,109,1.1,0.8401,NA,-89,65,2.2,40.4,0.068555913796029,4.8674698795181,0.62153846153846,-423.2386,0.38685870729675,NA,4.2,0,0,-72.0201,-72.0201,-67.8201,0,NA,548.9,NA,3.0409972299169,NA,NA,66.132530120482,NA,353.2184,589.3,0.13384615384615,0.85,6,-0.2311,0.46630727762803,NA,0.4639,0.14769230769231,-117.6,577.5,0.0204329004329,0.02002375699983,-72.2,-8.6987951807229,-20.4,-2.4578313253012,NA,NA,-8.6771240963855,69.578313253012,-425.2386,NA,8.3,NA,NA,16.9,5.1,11.8,1342983,180.5,97.8,5.9049079754601,180.5,1.3,NA
"4",2008-12-31,71.4,1.07,0.8158,NA,-69.2,68.2,6.7,39.1,0.16318864774624,5.5070422535211,0.5733137829912,-5.6028,0.25496445207159,NA,3,0,0,-72.0099,-72.0099,-69.0099,0,NA,200.5,NA,22.784090909091,NA,NA,28.239436619718,NA,-70.1071,239.6,0.14076246334311,NA,NA,0.9084,0.61484918793503,NA,0.3178,0.14516129032258,-95.2,226.5,0.057836644591612,0.054674457429048,-71.1,-10.014084507042,-23.4,-3.2957746478873,NA,NA,-10.142235211268,31.901408450704,-1.9028,NA,7.1,NA,NA,28.1,2.28,13.1,1633777,8.8,-78.8,NA,8.8,1.3,NA
"5",2007-12-31,69.2,1.49,0.466,NA,-7.9,101.1,1.3,85.2,1.140562248996,23.666666666667,0.84272997032641,11.5972,0.48068669527897,NA,2.3,0,0,-60.9642,-60.9642,-58.6642,0,NA,-10.5,NA,-1.7213114754098,NA,NA,-2.9166666666667,NA,-71.5614,74.7,0.049455984174085,-1.06,NA,2.6962,0.72307692307692,NA,0.5575,0.038575667655786,-89.3,70.9,0.053596614950635,0.050870147255689,-58.5,-16.25,-16.7,-4.6388888888889,NA,NA,-16.934488888889,19.694444444444,10.5972,NA,3.6,NA,NA,62,0.88,3.8,211727,6.1,-70,NA,6.1,1.4,NA
"6",2006-12-31,65.4,1.84,0.4013,0.15833333333333,30.3,51,1.1,39.8,0.13302139037433,NA,0.78039215686274,3.8103,0.57812110640419,NA,4.6,0,0,-4.6,-4.6,0,0,NA,259.4,NA,117.90909090909,NA,NA,NA,0.1,-4.9103,299.2,0.1,-0.84,NA,-0.3149,0.25,NA,0.4898,0.084313725490196,-3.8,293.5,0.019420783645656,0.019050802139037,-61.9,NA,-12.1,NA,NA,9.6864686468647,NA,NA,0.3103,NA,NA,NA,-2.042904290429,59.9,4.25,5.7,814476,2.2,-57.3,NA,2.2,1.45,NA
"7",2005-12-31,61.7,1.13,0.5406,0.09620253164557,71.4,96.2,6.5,81.5,0.2482485531526,67.916666666667,0.84719334719335,-4.5667,0.45874953755087,NA,2,0,0,-56.2219,-56.2219,-54.2219,0,NA,246.8,NA,308.5,NA,NA,205.66666666667,0.1,-56.1552,328.3,0.08004158004158,-0.98,NA,0.4089,0.40814479638009,NA,0.4899,0.047817047817048,-2.5,320.7,0.0236981602744,0.023149558330795,-55.5,-46.25,-13.7,-11.416666666667,NA,4.4915966386555,-46.851566666667,267.25,-0.0667,NA,1.2,NA,-0.77731092436975,56.2,5.14,7.6,503996,0.8,-62.1,NA,0.8,1.55,NA
"8",2004-12-31,52.7,1.49,0.8623,0.12467532467532,NA,87.2,2.7,75.5,0.20605895196506,68.636363636364,0.86582568807339,-2.6286,0.34558738258147,NA,0.9,0,0,-34.3906,-34.3906,-33.4906,0,NA,290.9,193.93333333333,264.45454545454,NA,NA,415.57142857143,0.1,-33.562,366.4,0.036697247706422,-1.02,NA,0.0059,0.25178826895565,NA,0.516,0.053899082568807,1.5,356.8,0.026905829596413,0.026200873362445,-35.6,-50.857142857143,-4.6,-6.5714285714286,NA,5.2937685459941,-49.129414285714,509.71428571429,-0.8286,0.024092969285244,0.7,-22.92706,-0.52818991097923,36.2,5.85,9.6,512736,1.1,-51.7,NA,1.1,1.75,4.7584415584416
"9",2003-12-31,46.8,1.93,0.9215,0.12407680945347,NA,74.3,0.3,66.7,0.16658341658342,83.375,NA,-0.4857,0.41888225718937,NA,1.6,0,0,-19.2755,-19.2755,-17.6755,0,NA,333.7,333.7,417.125,NA,NA,476.71428571429,NA,-17.4898,400.4,0.012113055181696,-0.67,NA,0,0.5756880733945,NA,0.4248,0.082099596231494,1,392,0.021428571428571,0.020979020979021,-19.7,-28.142857142857,-3.4,-4.8571428571429,NA,6.610455311973,-27.5364,560,-1.7857,0.092641754483639,0.7,-19.27548,-0.33220910623946,18.8,7.24,8.4,166419,0.8,-30.5,NA,0.8,1.65,5.9143279172821
"10",2002-12-31,34.8,2.37,1.0198,0.23958333333333,NA,35.1,0.3,26.9,0.091746248294679,269,NA,-2.8,0.5115,NA,2.3,0,0,-2.3,-2.3,0,0,NA,266.3,NA,NA,NA,NA,2663,NA,-0.3,293.2,0.028490028490029,NA,NA,0,0.76,NA,0.2076,0.15954415954416,1.9,286.3,0.024100593782745,0.023533424283765,-28.4,-284,-4.2,-42,NA,13.073059360731,-23,2863,-2,NA,0.1,-1.2105263157895,-1.296803652968,26.5,7.35,6.9,350270,0,-21.4,NA,0,1.6,140.15789473684
