"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,52.2,1.86,0.4835,NA,-692.9,1157.1,13.9,101.7,0.0516,0.0736,0.0879,0.91,0.8,14.08,25.6,0,0,203,119.8,229,0.4107,0.4107,1869.5,4.32,1.34,9.2,8.17,1.35,NA,NA,130.59,1971.2,0.1317,NA,NA,-0.055,0.1762,NA,0.1743,0.1935,433.1,743.5,1.6512,0.6228,52.8,0.0382,95.5,0.0691,0,0.1472,0.54,-10.79,-0.09,1381.4,0.2766,685.5,14.5,1227.7,41307,1394.6,41,18.13,1394.6,1.35,3.69
"2",2010-12-31,51.9,2.65,1.1035,NA,-696.4,1086.7,15.2,76.7,0.038749115893705,0.058044498259422,0.07058065703506,4.8634,0.29451744449479,11.450301204819,57,0,0,199.5,166,256.5,0.16792,0.16791979949875,1902.7,4.2661434977578,1.3680615473109,9.537343358396,7.4179337231969,1.4399122143181,NA,NA,202.9366,1979.4,0.142541639827,NA,NA,0.0365,0.3409642733264,NA,0.1327,0.17520934940646,446,760.3,1.6034460081547,0.61589370516318,66.4,0.050249735129408,92.6,0.070077190858181,0,0.15097623732405,0.57537460269411,-36.9366,-0.22250995093277,1321.4,0.37219721973094,666.6,14.87,1219.1,110481,1390.8,52,14.621153846154,1390.8,1.3,3.7868758370002
"3",2009-12-31,52.8,2.84,1.2389,NA,-1033.6,794.2,15.2,54.5,0.031932970059179,0.042055714175477,0.068622513220851,0.0083,0.27241908144322,10.445360824742,60.1,0,0,186.3,159.076,246.4,0.14613,0.14612676056338,1652.2,14.751785714286,1.2747473188797,8.8684916800859,6.7053571428571,1.2749440543252,NA,NA,203.9677,1706.7,0.14064467388567,NA,NA,-0.0331,0.34166369153874,NA,0.1448,0.22991689750693,112,506.6,2.3689301223845,0.70316985996367,48.5,0.037425727293773,53.7,0.041438382591249,0,0.1437610926769,0.39092522571186,-44.8917,-0.28220295761358,1295.9,1.4203212589286,629.1,9.84,1200.1,108447,1296.1,43.6,11.619266055046,1296.1,1.35,10.25045045045
"4",2008-12-31,53,3.06,1.2286,NA,-1112.8,813.4,20.7,52.8,0.023284529899453,0.039204039204039,0.064912712072781,-3.2634,0.17580986488686,71.603053435115,91.9,0,0,146.6,65.7692,238.5,0.55137,NA,2214.8,13.50487804878,1.7229093737845,15.107776261937,9.2863731656184,1.6444906444906,NA,NA,140.2326,2267.6,0.13867715761003,NA,NA,-0.0513,0.79251240414975,NA,0.2907,0.22448979591837,164,938,1.4174840085288,0.58634679837714,13.1,0.0097267597267597,71.7,0.053237303237303,0,0.10885060885061,0.6964656964657,-74.4634,-1.132194009363,1346.8,0.40103145121951,709.3,17.01,1329.6,349590,1285.5,42.4,22.122641509434,1285.5,1.35,10.459409594096
"5",2007-12-31,52.3,2.5,0.8307,NA,-1082,889.3,20,46.8,0.02658033736582,0.033426183844011,0.052625660631958,-0.8249,0.2214999398098,NA,100.1,0,0,125,125,225.1,0,NA,1713.9,5.4897501601537,1.2122648182204,13.7112,7.6139493558419,1.2241268480823,0.05,NA,205.9249,1760.7,0.12785336781738,0.59,11.305084745763,-0.1536,0.98344846453731,NA,0.3307,0.2093781625998,312.2,319.7,4.5073506412262,0.81842449025956,-16.1,-0.011499178630098,84.3,0.060209985001071,NA,0.089279337190201,0.22834083279766,-80.9249,-0.64739901435612,1400.1,0.40038436899423,748.9,6.67,1441,104264,1413.8,43,7.4348837209302,1413.8,1.15,4.9044568245125
"6",2006-12-31,420.8,1.94,0.5873,NA,-1229.8,931.9,22.4,35.4,0.016746298311178,0.026588553402434,0.037986908466574,-4.1498,0.34054146092287,NA,122.8,0,0,-22.8,-22.8,100,0,NA,2078.5,8.4423233143786,1.4884703523346,NA,20.785,1.561138651044,0.05,NA,81.7498,2113.9,0.23521837106986,-0.05,NA,-0.1175,0.20318725099602,NA,0.2827,0.21010838072755,246.2,602.5,2.5085477178423,0.71498178721794,-236,-0.17725702268289,85,0.063842571729007,NA,-0.017124831004957,0.45253117019679,-104.5498,NA,1331.4,-0.092607636068237,808.7,1.16,1511.4,995699,1396.4,-47.4,NA,1396.4,1.25,7.5067471590909
"7",2005-12-31,371.7,1.39,0.6444,NA,-1095.9,1043.7,25.8,32.5,0.014715204201757,0.024393905276589,0.03113921624988,-4.2663,0.36002482929857,NA,102.9,0,0,64.9,64.9,167.8,0,NA,2176.1,3.9587047480444,1.5652017550169,33.530046224962,12.968414779499,1.6333408391503,0.05,NA,146.2663,2208.6,0.11468812877264,0.1,12.8,0.0227,0.67234317740892,NA,0.2382,0.17821212992239,549.7,530.5,3.1632422243167,0.75980258987594,-83.7,-0.062823688358478,98,0.073557006680177,NA,0.048712752383097,0.39818359228402,-81.3663,-1.2537181261549,1332.3,0.11806439876296,759.3,1.28,1678.1,1409900,1390.3,-181.5,NA,1390.3,1.45,3.7935417382343
"8",2004-12-31,370.1,1.73,0.4917,NA,NA,1000.5,18.9,120.8,0.042708149195687,0.094908862350723,0.12073963018491,-0.8765,0.70368110636567,NA,106.1,0,0,88.48,88.48,194.58,0,NA,2707.7,5.4013564731698,2.127357008171,30.6023960217,13.915613115428,2.0873419673142,NA,-0.175,176.5565,2828.5,0.11864067966017,-0.15,NA,0,0.32203389830508,NA,0.3969,0.18600699650175,501.3,1186.5,1.3839022334598,0.58051971009369,-142.5,-0.10985198889917,46.6,0.035923527597903,NA,0.068208448967006,0.91466234967623,-88.0765,-0.99544003247501,1297.2,0.17650109714742,717.6,3.09,1642,494900,1272.8,-142.5,NA,1272.8,1.2,NA
"9",2003-12-31,69.5,1.74,0.5304,NA,NA,892.2,28.6,56.5,0.018525804970818,0.043146239022528,NA,-0.4726,0.65610859728507,NA,109.8,0,0,131.0994,131.0994,240.8994,0,NA,2993.3,6.3552016985138,2.2858342878961,22.832298889003,12.425520249389,2.3037789579004,NA,-0.23,212.772,3049.8,0.14806097287604,-0.08,NA,-0.1349,0.33446519524618,NA,0.3625,0.20858551894194,471,851.3,2.582520850464,0.72086694209456,-153.8,-0.11837143077041,-60.2,-0.046332640652659,NA,0.1009,0.65519895328254,-81.6726,-0.62298234487822,1299.3,0.27834261146497,770.9,2.36,2198.5,629000,1309.5,0,NA,1309.5,1.1,NA
"10",2002-12-31,51.8,2.08,0.5824,NA,NA,937.8,16,85.8,0.038089319009145,0.076648204395212,NA,-7.2,0.7865,NA,118.9,0,0,-75.5,-75.5,43.4,0,NA,2166.8,NA,NA,NA,49.926267281106,1.9356798284795,NA,-0.02,27.4,2252.6,0.14224781403284,-1.97,NA,-0.1529,0.31323283082077,NA,0.1139,0.19822989976541,367.1,157.5,13.302222222222,0.93008079552517,-256.2,-0.22887261032696,-94,-0.083973557262819,NA,-0.067446846524924,0.140700375201,-102.9,NA,1119.4,-0.20566603105421,691.2,2.24,2095.1,74225,1150.1,-256.2,NA,1150.1,0.9,5.9024788885862
