"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-04-30,101.4,1.26,1.4991,0.0104,9.5,28.3,1.6,18,0.1463,1.1842,0.636,-0.43,0.21,0.9,0,0,-1,-0.9,0,0,105,NA,6.65,6.91,-1.17,123,0.1025,NA,0.205,0.8676,NA,0.0866,0,-8.4,122.9,8e-04,8e-04,-42.1,-2.7697,-10.8,-0.7105,12.94,-0.0592,8.09,0.27,NA,15.2,NA,-4.4316,11.5,1.32,0.1,3357114,15.8,-36.9,15.8,1.1,NA
"2",2011-04-30,69.8,1.44,0.9341,0.088757396449704,15.4,34.8,0.9,23.1,0.28274173806609,1.7111111111111,0.66379310344828,-1.2444,0.28101916283053,0.7,0,0,-39.8003,-39.8003,-39.1003,0,58.6,NA,3.7806451612903,4.3407407407407,-38.7559,81.7,0.063218390804598,NA,-0.6327,0.56962025316456,NA,0.1704,0,-6.2,80.2,0.018703241895262,0.018359853121175,-34.2,-2.5333333333333,-8.4,-0.62222222222222,5.2077922077922,-2.9481703703704,5.9407407407407,-1.0444,NA,13.5,NA,-2.2207792207792,11.4,1.03,1.5,519978,15.5,-39.2,15.5,1.05,NA
"3",2010-04-30,53.1,0.44,0.9825,0.19277108433735,13.4,29.3,0.3,19.7,0.18040293040293,0.70609318996416,0.67235494880546,1.1441,0.22900763358779,0.4,0,0,-13.5465,-13.5465,-13.1465,0,89.5,NA,4.0315315315315,3.2078853046595,-14.5906,109.2,0.051194539249147,NA,0.319,0.54954954954955,NA,0.1353,0,-3.1,106,0.030188679245283,0.029304029304029,-14.5,-0.51971326164875,-5.6,-0.20071684587814,7.910447761194,-0.48553691756272,3.7992831541219,1.0441,NA,27.9,NA,-1.0820895522388,8.2,2.3,3.2,528697,22.2,-24.4,22.2,0.9,NA
"4",2009-04-30,45.5,0.41,0.9923,0.83928571428571,0.9,23.1,0.1,10,0.075357950263753,0.54945054945055,0.43290043290043,-4.1313,0.13705532601028,0.5,0,0,-16.3558,-16.3558,-15.8558,0,122.7,NA,4.3052631578947,6.7417582417582,-11.8245,132.7,0.073593073593074,NA,1.9525,0.61428571428571,NA,4e-04,0,-4.4,128,0.03671875,0.035418236623964,-16.5,-0.90659340659341,-7.3,-0.4010989010989,142.22222222222,-0.89867252747253,7.032967032967,-4.5313,NA,18.2,NA,-18.333333333333,7,2.96,4.7,1239279,28.5,-12.1,28.5,0.85,NA
"5",2008-04-30,226.2,-0.02,0.691,0,15.6,23.1,0.7,15.1,0.23018292682927,2.4754098360656,0.65367965367965,-0.0459,0.24312590448625,0.5,0,0,-24.1814,-24.1814,-23.6814,0,50.5,101,8.4166666666667,8.2786885245902,-24.3355,65.6,0.090909090909091,-0.04,0.4176,0.53684210526316,NA,0.0415,0,0.5,65.6,0,0,-23.2,-3.8032786885246,-2.8,-0.45901639344262,4.2051282051282,-3.9641672131148,10.754098360656,0.1541,NA,6.1,-48.36284,-1.4871794871795,7.2,0.29,0,573132,6,-11.8,6,1.05,4.2051282051282
"6",2007-04-30,196.1,2.15,0.5654,0.028571428571429,17,23,0.2,16,0.16,4.3243243243243,0.69565217391304,1.0378,0.39617969579059,0.5,0,0,-21.8886,-21.8886,-21.3886,0,84,56,13.770491803279,22.702702702703,-22.6264,100,0.078260869565217,NA,0.0504,0.6,NA,0.0576,0,1.5,99.5,0.0050251256281407,0.005,-20.8,-5.6216216216216,-1.6,-0.43243243243243,5.8529411764706,-5.9158351351351,26.891891891892,0.7378,NA,3.7,-14.592393333333,-1.2235294117647,6.4,0.386,0.5,284923,6.1,-21.1,6.1,1.4,5.7142857142857
"7",2006-04-30,179.4,1.29,0.5274,0.048648648648649,17.6,22.7,0.6,17.2,0.075504828797191,5.375,0.75770925110132,0.0937,0.42472506636329,0.4,0,0,-19.1088,-19.1088,-18.7088,0,210.6,162,60.171428571429,65.8125,-19.4025,227.8,0.083700440528634,NA,-0.4438,0.38194444444444,NA,0.1131,0,1.3,226.9,0.003966505068312,0.0039508340649693,-18.3,-5.71875,-1,-0.3125,12.892045454545,-5.9715,70.90625,0.2937,NA,3.2,-14.699076923077,-1.0397727272727,6.6,1.16,0.9,1591974,3.5,-20,3.5,1.4,12.313513513514
"8",2005-04-30,153,3.5,0.8732,0.058823529411765,NA,14.2,1.1,9.8,0.065333333333333,3.1612903225806,0.69014084507042,0.608,0.80164910673385,0.3,0,0,-15.806,-15.806,-15.506,0,140.2,350.5,45.225806451613,28.04,-17.214,150,0.11267605633803,NA,0.4094,0.3015873015873,NA,0.0704,0,0.4,149.4,0.0040160642570281,0.004,-15.5,-3.1,-1.6,-0.32,15.5625,-3.1612,29.88,1.408,-0.089080096166013,5,-39.515,-1.6145833333333,5.1,0.93,0.6,875425,3.1,-17.4,3.1,1.65,14.705882352941
"9",2004-04-30,141.3,4.05,1.0098,0,NA,19.1,0.4,14.9,0.090909090909091,3.1702127659575,NA,-0.5515,0.80213903743315,0.4,0,0,-12.3694,-12.3694,-11.9694,0,149,NA,31.702127659575,45.151515151515,-11.8179,163.9,0.047120418848167,NA,-0.2891,0.56218905472637,NA,0.1315,0,-0.1,163.9,0,0,-14.3,-4.3333333333333,-1.3,-0.39393939393939,11.074324324324,-3.7483,49.666666666667,-0.5515,0.044587093746349,3.3,123.6939,-0.96621621621622,4.2,1.18,0,211892,4.7,-14.3,4.7,1.4,11.074324324324
"10",2003-04-30,119.6,4.2,1.2804,0.27586206896552,NA,5.4,0.2,3.4,0.010555728034772,0.87179487179487,NA,4.8,0.7223,0.4,0,0,-10.6508,-10.6508,-10.2508,0,318.7,NA,NA,81.717948717949,-10.4508,322.1,0.14814814814815,NA,-0.0358,0.73413897280967,NA,0.07,0,-0.5,321.3,0.002489884842826,0.002483700714064,-11.6,-2.974358974359,-1.4,-0.35897435897436,153,-2.7309641025641,82.384615384615,-0.2,NA,3.9,NA,-5.5238095238095,3,2.4,0.8,985511,3.8,-11.8,3.8,1.35,NA
"11",2002-04-30,NA,1.47,3.3302,4e-04,NA,7.9,0.3,6.1,0.07840616966581,1.6052631578947,NA,0,0.077,0.4,0,0,-11.794,-11.794,-11.394,0,71.7,NA,NA,18.868421052632,-11.694,77.8,0.11392405063291,NA,2.4151,0.80555555555556,0,0.0621,0,-0.987,77.8,0,0,-11.7,-3.078947368421,-2.063,-0.5428947368421,15.254901960784,-3.1036842105263,20.473684210526,-0.1,NA,NA,NA,-2.2941176470588,4.5,0.6,0,118500,3.8,0,0,1.2,NA
