"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,116,1.08,0.3958,0,218.8,425.2,11.3,330.7,0.1195,3.4884,0.7778,-23.63,0.68,4.2,0,0,-2229,-2229.07,-2225,0,2437.6,NA,12.46,25.71,NA,-2212.55,2768.3,0.0463,NA,0.325,0.2926,NA,NA,0,-111.9,2768.3,0,0,-152,-1.6034,-22.2,-0.2342,12.65,-23.5134,29.2,-16.53,NA,94.8,NA,-0.6947,72.7,23.17,0,696316,195.7,-70.3,195.7,1,NA
"2",2010-12-31,101.6,1.01,0.4778,0,161.5,329.9,3.5,261.8,0.13642522146951,2.4353488372093,0.79357381024553,6.1977,0.54939305148598,3.6,0,0,-36.1959,-36.1959,-32.5959,0,1657.2,NA,30.575645756458,15.415813953488,NA,-42.2936,1919,0.037284025462261,NA,1.0458,0.29143845488613,NA,NA,0,-100.3,1919,0,0,-66.3,-0.61674418604651,-12.5,-0.11627906976744,11.882352941176,-0.33670586046512,17.851162790698,6.0977,NA,107.5,NA,-0.41052631578947,29.3,16.72,0,1658193,54.2,-159.5,54.2,1.05,NA
"3",2009-12-31,100.6,1.11,0.4962,0,206.2,388.3,4.6,260.8,0.16820380522412,5.0153846153846,0.67164563481844,-22.2238,0.52902055622733,3.3,0,0,-84.9504,-84.9504,-81.6504,0,1289.7,NA,10.641089108911,24.801923076923,NA,-64.0266,1550.5,0.031676538758692,-0.68,0.1692,0.3228288750458,NA,0.9386,0,-54.6,1550.5,0,0,-81.7,-1.5711538461538,-16.7,-0.32115384615385,7.519398642095,-1.6336615384615,29.817307692308,-20.9238,NA,52,NA,-0.39621726479147,17.7,14.95,0,994987,121.2,-43.8,121.2,1.05,NA
"4",2008-12-31,79.8,1.13,0.4979,0,79,187.7,4.9,95.2,0.091962905718702,2.7045454545455,0.50719232818327,-3.4384,0.33741715203856,3.4,0,0,-91.6816,-91.6816,-88.2816,0,940,NA,23.441396508728,26.704545454545,NA,-89.7432,1035.2,0.058604155567395,NA,0.3301,0.36189608021878,NA,0.9328,0,-16.2,1035.2,0,0,-85.5,-2.4289772727273,-24.7,-0.70170454545454,13.103797468354,-2.6045909090909,29.409090909091,-1.9384,NA,35.2,NA,-1.0822784810127,16.1,10.16,0,590262,40.1,-100.2,40.1,1.05,NA
"5",2007-12-31,67.5,1.34,0.427,0,54,148.5,4.3,111.4,0.16014951121334,4.9732142857143,0.75016835016835,10.2223,0.46838407494145,2.5,0,0,-55.5499,-55.5499,-53.0499,0,584.2,NA,17.649546827795,26.080357142857,NA,-67.5722,695.6,0.069360269360269,-1,0.694,0.32607619990104,NA,0.9415,0,-57.4,695.6,0,0,-48.9,-2.1830357142857,-21.4,-0.95535714285714,12.881481481482,-2.4799071428571,31.053571428571,12.0223,NA,22.4,NA,-0.90555555555556,15.4,8.94,0,323365,33.1,-69.8,33.1,1.25,NA
"6",2006-12-31,51,2.45,0.4125,0,88.2,97.7,1.7,82.6,0.10504896349994,8.26,0.84544524053224,4.118,0.60121212121212,2.4,0,0,-40.168,-40.168,-37.768,0,703.7,125.66071428571,41.152046783626,70.37,NA,-43.586,786.3,0.079836233367451,-0.83,-0.1476,0.44827586206897,NA,0.7423,0,5.6,786.3,0,0,-36,-3.6,-5.8,-0.58,8.9149659863946,-4.0168,78.63,3.418,NA,10,-7.1728571428571,-0.40816326530612,10.1,10.38,0,308248,17.1,-44,17.1,1.55,8.9149659863946
"7",2005-12-31,42.4,3.54,0.4523,0,75.5,90,1.4,42.5,0.15342960288809,4.3367346938775,0.47222222222222,-0.1918,0.28299801017024,2.3,0,0,-32.1694,-32.1694,-29.8694,0,234.5,7.1060606060606,24.427083333333,23.928571428571,NA,-31.0776,277,0.094444444444444,-0.2,0.4389,0.2512315270936,NA,0.5736,0,33,277,0,0,-29.4,-3,-9.4,-0.95918367346939,3.6688741721854,-3.282593877551,28.265306122449,-1.0918,NA,9.8,-0.97483090909091,-0.38940397350993,7.1,5.33,0,319854,9.6,-33.2,9.6,0.8,3.6688741721854
"8",2004-12-31,42,1.8,0.7346,0,NA,119.1,5.7,37.1,0.18088737201365,4.0769230769231,0.31150293870697,-2.4716,0.49006261911244,1.7,0,0,-36.7497,-36.7497,-35.0497,0,168,2.5187406296852,18.461538461538,25.074626865672,NA,-38.2781,205.1,0.079764903442485,NA,0.0102,0.3125,NA,0.5606,0,66.7,205.1,0,0,-35.4,-5.2835820895522,-6.9,-1.0298507462687,1.97591522158,-5.4850313432836,30.611940298507,1.5284,-0.041588306654807,6.7,-0.55097016491754,-0.34104046242775,6.5,4.72,0,109048,9.1,-32.7,9.1,0.8,1.97591522158
"9",2003-12-31,32,1.51,0.7705,0,NA,82,0.6,40.8,0.1497247706422,6.375,NA,-0.5098,0.3919532770928,1.3,0,0,-20.5428,-20.5428,-19.2428,0,231.7,6.7947214076246,36.203125,45.43137254902,NA,-19.333,272.5,0.067073170731707,NA,1.8779,0.43138542350624,NA,0.5004,0,34.1,272.5,0,0,-22.1,-4.3333333333333,-2,-0.3921568627451,3.6381842456609,-4.028,53.43137254902,-1.2098,0.058891870707432,5.1,-0.60242815249267,-0.29506008010681,5.1,6.14,0,75319,6.4,-30.3,6.4,0.7,3.6381842456609
"10",2002-12-31,30.7,0,0,0,NA,52.5,1.7,26.4,0.11148648648649,15.529411764706,NA,-11.2,0,1.2,0,0,-22.5438,-22.5438,-21.3438,0,210.4,NA,NA,123.76470588235,0.15,-23.0438,236.8,0.11809523809524,-0.66,0,0.5630081300813,NA,0.3607,0,20.3,236.8,0,0,-23.2,-13.647058823529,-2.4,-1.4117647058823,5.0706638115632,-13.261082352941,139.29411764706,0.5,NA,1.7,-1.1105339901478,-0.49678800856531,4.2,8.26,0,89870,4.3,-22.5,4.3,0.6,10.364532019704
