"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,13.7,0.75,0.3407,0,101.3,205.3,1.7,156.5,0.613,1.1029,0.7623,-76.19,0.55,33.16,0.5,0,0,12,7.37,12,0.3808,0.3583,98.8,NA,0.36,8.3,7.97,0.7,NA,82.36,255.3,0.0136,NA,NA,0.165,0.2204,0.6092,0.1023,-55.2,255.3,0,0,7.7,0.0543,-80.2,-0.5652,0,2.52,NA,0.0839,1.8,-74.99,-10.1769,141.9,NA,0.076,11.2,18,0,121464,276.7,19,13.44,276.7,0.75,NA
"2",2011-01-31,13.6,0.4,0.3321,0,97.6,130.5,0.5,84.5,0.36469572723349,0.46276013143483,0.64750957854406,4.0456,0.48931044866004,23.17,0.6,0,0,17,9.9812,17.6,0.41287,0.41176470588235,147.2,11.236641221374,1.2495755517827,8.6588235294118,8.3636363636364,0.80613362541073,NA,6.0356,231.7,0.011494252873563,NA,NA,-0.215,0.3631067961165,0.5873,0.1639846743295,13.1,231.7,0,0,10,0.054764512595838,-11.4,-0.062431544359255,0,2.3739754098361,NA,0.093099671412924,1.2688937568456,3.9456,0.39529917459704,182.6,0.76192442748092,0.10245901639344,12.1,15.21,0,18511,117.8,8.3,27.915662650602,117.8,0.65,2.3739754098361
"3",2010-01-31,13.6,0.39,0.3789,0.019955654101996,88.4,120.3,0.2,66,0.55602358887953,0.28411536805854,0.54862842892768,0.1054,0.3628925837952,16.7,1,0,0,8.6,5.6795,9.6,0.33959,0.34579439252336,52.7,2.1776859504132,0.26127912741696,6.1279069767442,5.4895833333333,0.22686181661644,NA,6.3741,118.7,0.012468827930175,NA,NA,0.0402,0.37447168216399,0.4344,0.18038237738986,24.2,116.9,0.015397775876818,0.015164279696714,7,0.030133448127421,-0.8,-0.0034438226431339,0,1.3223981900452,NA,0.037021093413689,0.50322858372794,-0.6946,-0.12230228845155,232.3,0.23469115702479,0.079185520361991,14.9,9.27,1.8,23362,201.7,6.2,18.854838709677,201.7,0.55,1.3159645232816
"4",2009-01-31,13.4,0.61,0.5015,0.049278846153846,79.1,135.2,0.4,74.7,0.40931506849315,0.33816206428248,0.55251479289941,-2.0766,0.17547357926221,17.84,2.4,0,0,18,10.7699,20.4,0.40167,NA,107.8,12.682352941177,0.43946188340807,5.9888888888889,5.2843137254902,0.48800362154821,NA,14.8465,182.5,0.0088757396449704,NA,-0.07,-0.1164,0.31308986458761,0.1619,0.16346153846154,8.5,178.4,0.022982062780269,0.022465753424658,10,0.045269352648257,-18.8,-0.085106382978723,0,2.2553729456384,NA,0.081484834766863,0.80760525124491,-4.0766,-0.37851610544542,220.9,1.2670517647059,0.12642225031606,14.9,14.39,4.1,17318,245.3,12.7,14.047244094488,245.3,0.55,2.1935096153846
"5",2008-01-31,11.1,1.21,0.6636,0.13786008230453,41.9,145.9,0.9,66.8,0.44563042028019,0.32301740812379,0.45784784098698,2.7968,0.084388185654008,NA,7.5,0,0,2.6,2.6,10.1,0,NA,83.1,NA,0.3796253997259,31.961538461538,8.2277227722772,0.40183752417795,NA,6.4032,149.9,0.019876627827279,NA,NA,1.9979,0.37591776798825,0.2629,0.1754626456477,-18.2,143.2,0.046787709497207,0.04469646430954,-3.2,-0.015473887814313,-47.8,-0.23114119922631,NA,3.417661097852,NA,0.01257253384913,0.69245647969052,-3.8032,-1.4627659574468,206.8,NA,-0.076372315035799,19,10.95,6.7,10800,218.9,4.4,32.545454545454,218.9,0.35,NA
"6",2007-01-31,11.1,NA,NA,0.1728624535316,44.5,121.1,0.9,27.7,0.18728870858688,0.40203193033382,0.22873658133774,22.7866,NA,NA,3.4,0,0,0.4,0.4,3.8,0,NA,120.2,4.6053639846743,0.61799485861183,300.5,31.631578947368,1.744557329463,NA,-19.8866,147.9,0.027250206440958,NA,NA,-0.1679,0.37203166226913,0.0498,0.30222956234517,26.1,138.6,0.067099567099567,0.062880324543611,-0.1,-0.0014513788098694,-12.5,-0.18142235123367,NA,3.114606741573,NA,0.0058055152394775,2.0116110304789,20.2866,50.716618287373,68.9,0.015325670498084,-0.002247191011236,9.9,13.3,9.3,1000,194.5,-2.4,NA,194.5,0.4,2.7490706319703
"7",2000-01-31,NA,0.65,NA,0.089962997224792,NA,581.6,22.3,174.6,0.31095280498664,NA,NA,NA,NA,11.385620915033,25.2,0,0,87.3,58.6813,83.8813,0.32782,NA,386.9,NA,NA,4.4318442153494,4.6124694708526,0.32428128404995,0.11,61.5813,561.5,0.28954607977992,9.8146788990826,NA,3e-04,0.21733491357141,0.6992,NA,257.8,522.6,0.074435514734022,0.069278717720392,NA,0.038471209454363,NA,0.049115748889448,0,1.3280813214739,1.0350564468212,0.073170731707317,0.43801860699019,NA,-0.049419479597884,NA,0.22762340574088,0.11664548919949,135,NA,NA,NA,NA,45.9,11.385620915033,1193.1,NA,1.2985661424607
