"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,28.8,2.46,0.6977,NA,-183.4,595,13.3,7.5,0.0079,0.0245,0.0126,4.61,0.8,47.8,0,0,49,48.5,96,0,NA,939.3,2.09,2.69,19.37,9.75,3.06,NA,78.39,946.8,0.2464,1.27,8.34,0.035,0.3674,0.5385,0.5798,449.5,306.4,2.0901,0.6764,-11.1,-0.0362,33.5,0.1093,0,NA,0.1582,1,-29.89,-0.6162,306.5,0.1079,NA,105.2,10.59,640.4,361594,348.7,24.7,12.4,348.7,1.5,2.07
"2",2010-12-31,28.5,2.04,1.7712,NA,-175.2,602.5,13.8,23.7,0.027231988969321,0.075622208040842,0.039336099585062,0.3858,0.21877822944896,44.8,0,0,67.9,27.16,112.7,0.6,1,846.6,1.9058982440342,2.6681374093917,12.468335787923,7.5119787045253,2.7013401403957,NA,57.7742,870.3,0.22738589211618,NA,NA,0.2427,0.38264963012777,0.5588,0.58224066390041,444.2,227.2,2.8305457746479,0.73894059519706,-1.8,-0.005743458838545,31,0.098915124441608,NA,NA,0.21665603063178,0.72495213784301,-30.6142,-1.1271808179189,313.4,0.061143628995948,NA,100.9,7.84,643.1,60068,317.3,-0.9,NA,317.3,1.55,1.8600128232528
"3",2009-12-31,28.4,2.8,1.8322,NA,-176.3,619.8,19,12.8,0.015194681861348,0.050793650793651,0.020651823168764,4.7323,0.1978495797402,45.4,0,0,14.6,14.6,60,0,NA,829.6,1.7236650737586,2.8597035504998,56.821917808219,13.826666666667,3.2920634920635,NA,36.2677,842.4,0.23281703775411,NA,NA,-0.1157,0.35241502683363,0.5217,0.6026137463698,481.3,172,3.8976744186046,0.79582146248813,-12.6,-0.05,31.3,0.12420634920635,NA,NA,0.057936507936508,0.68253968253968,-21.6677,-1.4840916503588,252,0.030334510700187,NA,89.5,5.99,670.4,26856,290.1,-15.1,NA,290.1,1.45,1.7049180327869
"4",2008-12-31,28.4,2.83,1.8059,NA,-165.2,626.6,38.7,15.8,0.02033462033462,0.055458055458056,0.025215448451963,-1.9345,0.13289772412647,57.9,0,0,46.5,46.5,104.4,0,NA,761.2,1.5822074412804,3.0644122383253,16.369892473118,7.2911877394636,2.6718146718147,NA,67.6345,777,0.21688477497606,NA,NA,0.0676,0.78768577494692,0.5266,0.6380466007022,481.1,114.9,5.7624020887729,0.85212355212355,-35,-0.12285012285012,15.1,0.053001053001053,NA,NA,0.16321516321516,0.4032994032994,-21.1345,-0.4545062028933,284.9,0.096653502390355,NA,90.5,4.05,662.1,47590,248.4,6.4,17.953125,248.4,1.5,1.5636949084323
"5",2007-12-31,28.4,2.97,0.6785,NA,-89.4,708.7,18.5,16.2,0.023209169054441,0.06071964017991,0.022858755467758,-0.7963,0.37730287398674,60,0,0,38.6,38.6,98.6,0,NA,681.8,1.1845031271716,2.4685010861694,17.663212435233,6.9148073022312,2.5554722638681,NA,80.8963,698,0.15747142655567,NA,NA,0.0052,0.91111111111111,0.603,0.70805700578524,575.6,16.8,40.547619047619,0.97593123209169,-19.8,-0.074212893553223,22.6,0.084707646176912,NA,NA,0.14467766116941,0.062968515742129,-42.2963,-1.0957578205716,266.8,0.067060458651842,NA,86.8,0.66,681.2,6001,276.2,-27.8,NA,276.2,1.6,1.1794525177425
"6",2006-12-31,28.4,1.83,0.5028,NA,-73.3,724.7,79.9,11.2,0.012003000750188,0.042232277526395,0.015454670898303,-0.3936,0.381861575179,42.2,0,0,46.5,46.5,88.7,0,NA,921.9,1.544997486174,3.3831192660551,19.825806451613,10.393461104848,3.4762443438914,NA,9.1936,933.1,0.1530288395198,-0.06,NA,0.1719,0.55030181086519,0.676,0.73037118807782,596.7,251.9,2.7042477173481,0.73003965277034,-9,-0.03393665158371,14.3,0.053921568627451,NA,NA,0.17533936651584,0.94984917043741,37.3064,0.80228758169935,265.2,0.077928607340372,NA,85.3,8.58,681.2,151475,272.5,-12.8,NA,272.5,1.2,1.5349564073038
"7",2005-12-31,28.4,1.38,0.3817,NA,-66,680.1,26.5,13.5,0.017378990731205,0.059708093763821,0.01985002205558,-1.6352,0.3982184962012,53.1,0,0,19.4,19.4,72.5,0,NA,763.3,1.3462081128748,3.0593186372745,39.345360824742,10.528275862069,3.3759398496241,NA,47.6352,776.8,0.14439053080429,0.04,116.25,-0.0801,0.27835051546392,0.5151,0.73209822084987,567,130.3,4.9616270145817,0.8322605561277,-48.2,-0.21318000884564,15.8,0.069880583812472,NA,NA,0.085802742149491,0.57629367536488,-28.2352,-1.4554229722274,226.1,0.034215167548501,NA,73,4.65,646.5,27467,249.5,-19.6,NA,249.5,0.95,1.3381567614126
"8",2004-12-31,28.4,0,0,NA,NA,735,45.7,18.5,0.02446119264842,0.078689919183326,0.025170068027211,-0.824,NA,55.9,0,0,38.1048,38.1048,94.0048,0,NA,737.8,1.2420875420875,3.138239047214,19.362379877401,7.8485337241218,3.002849002849,NA,49.1288,756.3,0.13755102040816,-1.76,NA,0.1465,0.4007326007326,0.6741,0.7156462585034,594,126.5,4.9786561264822,0.83273833134999,-20.2,-0.082214082214082,19.1,0.077737077737078,NA,NA,0.15508677248677,0.51485551485551,-11.024,-0.28930757379284,245.7,0.064149528619529,NA,72.3,5.01,629.8,24908,235.1,-38.3,NA,235.1,1.2,NA
"9",2003-12-31,28.4,0,0,0.99468615078047,NA,727.1,112.1,10.8,0.012684989429175,0.046114432109308,NA,1.0958,NA,57.2,0,0,64.9972,64.9972,122.1972,0,NA,840.6,1.421373013189,3.5892399658412,12.932866790087,6.8790452546413,3.9225384974335,0.16,9.0014,851.4,0.12625498555907,NA,NA,-0.649,0.37832699619772,0.3696,0.75037821482602,591.4,252.4,2.3732171156894,0.70354709889594,-40.4,-0.18852076528231,11.8,0.05506299580028,NA,78.875,0.3033,1.1777881474568,55.9958,0.86151037631666,214.3,0.10990393980386,-12.625,74.4,8.99,599,10131,234.2,-23,NA,234.2,0,1.4138160079708
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0.082450343701341,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,13.67,0,NA,0,NA,NA,0,NA,NA
