"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,5.5,1.35,0.3928,0.8267,50,415.7,14.5,6.4,0.0116,0.0066,0.0154,16.55,0.8,76.71,21.8,0,0,25,16.69,47,0.3376,0.3387,546.6,1.94,0.49,21.69,11.63,0.56,NA,7.44,553,0.408,0.01,0.08,0.4369,NA,0.4983,0.026,282.1,314.5,0.7583,0.4313,4.1,0.0042,112.2,0.1151,0,6.29,NA,0.0259,0.32,9.25,0.5542,974.8,0.0592,0.082,103.5,59.23,238.5,31755,1118.6,18.7,16.82,1118.6,1,1.92
"2",2010-10-31,6.1,1.69,0.4675,0.77140549273021,56.6,350.8,15.9,1,0.00290613193839,0.0012490632025981,0.0028506271379704,11.9634,0.56149732620321,NA,20.9,0,0,15.6,6.24,36.5,0.6,1,343.1,1.3913219789132,0.36675574559059,21.99358974359,9.4,0.42855358481139,NA,-0.7234,344.1,0.48261117445838,NA,0.1987,0.220953131154,NA,0.5628,0.029361459521095,246.6,153.1,1.2475506205095,0.55507120023249,-0.5,-0.00062453160129903,71,0.088683487384462,NA,2.7049469964664,NA,0.01948538596053,0.19123157631776,6.9634,1.1159298795134,800.6,0.025304136253041,-0.0088339222614841,94.5,28.15,191,19533,935.5,5,30.62,935.5,1.05,1.3897415185783
"3",2009-10-31,6.9,1.14,0.4812,0.6995640110979,75.8,360.1,23.8,0.3,0.00084507042253521,0.00040279269602578,0.00083310191613441,2.5511,0.51953449709061,5.8717105263158,19.1,0,0,60.3,37.1261,79.4,0.38431,0.38461538461539,354.7,1.4075396825397,0.46064935064935,5.8822553897181,4.4672544080604,0.47623523093448,NA,29.875,355,0.48875312413219,NA,-0.0374,0.35407932924863,NA,0.4292,0.033601777284088,252,178.5,0.98879551820728,0.49718309859155,30.4,0.040816326530612,75.4,0.10123523093448,0,2.3548812664908,NA,0.080961331901182,0.23966165413534,7.2511,0.19531075045248,744.8,0.14732582142857,0.40105540897098,100.1,25.95,176.5,21394,770,-1.4,NA,770,1,1.4070550931431
"4",2008-10-31,6.8,1.28,0.4519,0.86134163208852,40.1,390.8,28,0.2,0.00038782237735117,0.00026239832065075,0.00051177072671443,-1.3104,0.35406063288338,80.787878787879,13.7,0,0,9.9,9.9,23.6,0,NA,515.5,1.7837370242215,0.68468588125913,52.070707070707,21.843220338983,0.6763316714773,NA,-3.0896,515.7,0.42041965199591,NA,-0.0158,0.60619803476946,NA,0.5618,0.036335721596725,289,266.6,0.93435858964741,0.48303277099089,3.3,0.0043295722907373,107.4,0.14090789818945,0,6.6483790523691,NA,0.012988716872212,0.34977696142745,12.9896,1.3120764188725,762.2,0.034256055363322,0.082294264339152,86.9,38.28,249.1,31974,752.9,35.3,7.5524079320113,752.9,1,1.7831950207469
"5",2007-10-31,6.8,0.74,0.406,0.82303839732888,42.4,329,15.6,0.6,0.0018802883108743,0.00076335877862595,0.0018237082066869,-2.5959,0.41379310344828,4.7065637065637,19.3,0,0,56.9,35.8601,76.2,0.36977,NA,318.5,1.3326359832636,0.39462272333044,5.597539543058,4.1797900262467,0.40521628498728,NA,42.156,319.1,0.40060790273556,NA,0.1281,0.47966025927582,NA,0.6731,0.04741641337386,239,121.9,1.6177194421657,0.61798809150736,25.9,0.03295165394402,96.7,0.12302798982188,0,2.875,NA,0.072391857506361,0.15508905852417,-6.2959,-0.17556819048548,786,0.15004220502092,0.61084905660377,94.5,17.42,197.2,1900,807.1,-1,NA,807.1,1.05,1.3318030050084
"6",2006-10-31,7.9,1.74,0.4277,0.77340676632573,57.6,336.1,36.4,1.4,0.0033404915294679,0.0017454182770228,0.004165426956263,2.7288,0.29927519289221,5.7345360824742,17.3,0,0,69.4,57.0017,86.7,0.17865,NA,417.7,1.6522943037975,0.5359938406262,6.0187319884726,4.8177623990773,0.52075801022316,NA,35.1729,419.1,0.41416245165129,0.695,0.1872,0.30475411750964,NA,0.6916,0.048199940493901,252.8,222.5,0.88359550561798,0.46910045335242,38.8,0.048373020820347,96,0.11968582471014,0,3.8628472222222,NA,0.086522877446702,0.27739683331255,21.8288,0.38295069503011,802.1,0.22548136867089,0.67361111111111,92.3,30.03,196.6,48780,779.3,34.5,6.4492753623188,779.3,0.8,1.6487018095987
"7",2005-10-31,8.6,1.87,0.4259,0.96903096903097,6.2,311.3,13.1,7.5,0.011230907457323,0.010236113006688,0.024092515258593,-4.4654,0.35689128903499,197.41666666667,19.4,0,0,44.8,22.4,64.2,0.6,NA,660.3,3.4265697976129,0.84448139148229,14.738839285714,10.285046728972,0.90118738910878,NA,33.1654,667.8,0.36203019595246,NA,-0.1121,0.39613225202745,NA,0.7364,0.054288467716029,192.7,473.8,0.40945546644154,0.29050613956274,2.4,0.00327555616214,66.5,0.09076020199263,0,76.41935483871,NA,0.061143715026614,0.64664937900914,-10.7654,-0.48059830080524,732.7,0.11624286455631,0.38709677419355,89.2,53.31,194,23648,781.9,34.2,13.853801169591,781.9,0.95,3.3356643356643
"8",2004-10-31,8.4,-0.14,0.6009,0.84487179487179,NA,452.1,15.2,9.7,0.020297133291484,0.012010896483408,0.021455430214554,-0.3882,-0.046596771509403,NA,30.9,0,0,37.8728,15.1491,68.7728,0.6,NA,468.2,1.5487925901422,0.57974244675582,12.362434253607,6.8079240630016,0.57731196054254,NA,31.2373,477.9,0.39017916390179,NA,0.0388,0.29689504747242,NA,0.3761,0.066578190665782,302.3,214.3,1.2300513299113,0.55157982841599,-0.4,-0.00049321824907522,92.6,0.11418002466091,NA,4.4276859504132,NA,0.04669889025894,0.26424167694205,-16.0882,-1.0619898768936,811,0.050112868011909,-0.0082644628099174,105,25,263.6,6968,807.6,-1.5,NA,807.6,0.9,1.5317307692308
"9",2003-10-31,8.2,0.03,0.5744,0.83289036544851,NA,456.4,16.4,4.2,0.011260053619303,0.0051954477981197,NA,4.0562,0.010445682451253,NA,32.5,0,0,49.5953,49.5953,82.0954,0,NA,368.8,1.2425876010782,0.45620979713013,7.4361810129377,4.4923372639254,0.48558262014483,NA,61.6391,373,0.40731814198072,NA,0.1083,0.34473197781885,NA,0.2379,0.069018404907976,296.8,122.3,2.0498773507768,0.67211796246649,-29.4,-0.038709677419355,63,0.08294930875576,NA,2.4314115308151,NA,0.0653,0.16102699144174,-12.0438,-0.24284088733809,759.5,0.16710023584906,-0.5844930417495,112.8,14.75,250.7,2052,808.4,-19.4,NA,808.4,0.85,1.2392026578073
"10",2002-10-31,7.9,-0.03,0.62,0.8059842519685,NA,469,23.3,2.7,0.0081743869209809,0.0040871934604905,NA,13,-0.0106,NA,29,0,0,18.9,18.9,47.9,0,NA,327.6,NA,NA,17.333333333333,6.839248434238,0.49591280653951,NA,24.6,330.3,0.43155650319829,NA,0.0211,0.47831212850617,NA,0.2562,0.070149253731343,314.8,74.4,3.4395161290323,0.7747502270663,-6.2,-0.0093854072055707,54.5,0.082500756887678,NA,1.2077922077922,NA,0.028610354223433,0.11262488646685,-5.7,-0.3015873015873,660.6,0.060038119440915,-0.10064935064935,103.7,9.22,255.9,14078,728.3,-20.6,NA,728.3,0.9,1.0406607369759
