"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,45.6,0.71,0.2095,0.7234,571.2,30404.4,13.5,11442.1,5.346,8.1636,0.3763,1544.3,0.8,10.44,18.7,0.0282,18.24,784,727.27,803,0.0727,0.9165,-9301.8,-7.37,NA,NA,-6.64,0.125,-811.84,2140.3,3e-04,0.93,14.71,NA,0.1469,0.8148,0,-9376.9,646.3,2.3116,0.698,61.9,0.0442,-15482.8,-11.0465,0.0689,1.13,0.84,0.5596,0.46,1539.1,2.1163,1401.6,0.1084,0,13.68,1494,403000,1261.8,264.6,2.44,1261.8,0.85
"2",2010-12-31,42.2,0.86,0.2874,0.8144823914201,487.8,28498.8,18.1,12405.3,4.3911011999575,12.55216027522,0.43529201229525,-4726.981,0.73938761308281,NA,18.7,0,0,407,334.8552,425.7,0.17726,1,-9580.2,-7.2604774535809,NA,NA,-9.6936152989983,0.15,5062.4362,2825.1,0.00053335579041925,1.34,11.149253731343,-0.1754,0.1701244813278,0.7149,0,-9775.9,683.5,3.1332845647403,0.75806166153411,-9.3,-0.0094100981483355,-14105.3,-14.272285743195,NA,1.4011890118901,NA,0.4118182738035,0.69159162197713,-4727.581,-14.118285517179,988.3,-0.019065190651907,0,14.94,2141.6,522491,1319.5,8.8,77.670454545455,1319.5,0.85
"3",2009-12-31,41.2,0.81,0.357,0.47807535179301,574.9,26605.6,18.5,15627.9,12.238938053097,13.359463156095,0.58739137625162,2314.2925,0.63025210084034,1.5309120587635,21.1,0,0,613.9,552.5898,635,0.09987,0.099908172635445,-14351,-14.343828085957,NA,NA,-12.267909044281,0.15,-1759.1027,1276.9,0.00068782511952371,NA,NA,-0.4728,0.11979316288423,0.8147,0,-14526.4,750.3,0.70185259229641,0.41240504346464,490.1,0.41896050606941,-15990.9,-13.669772610703,0,1.3050965385284,0.10206080391757,0.52479056248931,0.64139169088733,2311.6925,4.1833788349121,1169.8,0.85249608627587,0,17.82,526.6,407615,1000.5,325.9,2.3022399509052,1000.5,0.9
"4",2008-12-31,40.5,NA,NA,0.55892198094584,513.9,28356.6,26.7,18686,13.429639212304,8.5633105723844,0.65896475600037,6242.8862,NA,7.9591397849462,17.9,0,0,1581.7,1419.2278,1599.6,0.10272,NA,-17294.6,-12.10428331467,NA,NA,-7.9256679345584,0.15,-4832.4584,1391.4,0.00091689412694046,1.08,16.407407407407,0.068,0.24680724680725,0.7931,0,-17520.9,740.2,0.87976222642529,0.46801782377461,93,0.042619494981898,-18083.9,-8.2873837129371,0,1.4403580463125,0.53060931899642,0.72485220658998,0.33921451812474,6251.6862,4.404991402138,2182.1,0.18096906012843,0,17.72,651.2,600048,1428.8,320,2.313125,1428.8,0.95
"5",2007-12-31,40.1,NA,NA,0.82123785345356,408.4,34542.1,26,24276.3,9.6733742429072,11.99777602056,0.70280324589414,1393.5878,NA,2.1078202995008,12.1,0,0,1486.7,1386.095,1498.8,0.06767,NA,-21766.7,-10.033511570019,-14.64094975449,-14.522751534561,-10.75748739745,0.18,-21.3928,2509.6,0.00082218510165856,2.29,7.8122270742358,NA,0.47708119218911,NA,0,-21991.7,633.4,2.9621092516577,0.74760918074594,300.5,0.1485124048631,-19313.6,-9.5451220717604,0,1.550930460333,0.11710112775005,0.73475338539093,0.31303746169813,1407.4878,1.015433870916,2023.4,0.73579823702253,NA,17.89,1876.2,501023,2169.4,91.6,6.914847161572,2169.4,NA
"6",2006-12-31,40.2,NA,NA,0.36311769786789,2801.9,32080.5,12.3,27064,9.3333793151016,16.386534269799,0.84362774894406,NA,NA,1.7736311631708,11.6,0,0,1160.8,1119.046,1172.4,0.03597,NA,-24164.3,NA,-20.816936595451,-20.610968952576,-14.630842819084,0.18,NA,2899.7,0.00067018905565686,1.6,19.375,-0.2143,0.23981900452489,0.9889,0,-22664.6,1302.2,1.2267700814007,0.55091906059247,734.2,0.44453862920804,-17852.4,-10.809154759022,0,0.46475605838895,0.0985350646206,0.70283361588762,0.78844756599661,NA,NA,1651.6,0.26203647524894,NA,31,1597.5,661858,NA,NA,NA,NA,NA
