"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,94.3,0.9,0.3424,0.0485,2172.6,2825,82.3,407.5,0.1458,0.1851,0.1442,1.02,0.66,204.96,252.9,0,0,178,71.08,431,0.6,0.6903,2388.3,1.27,1.1,13.44,5.55,1.08,0.035,0.02,240.66,2795.8,0.1788,1.27,23.31,NA,0.495,0.031,NA,0.4245,1875.9,2685,0.0413,0.0396,13.1,0.0059,-68.1,-0.0309,0,1.24,58.56,0.0807,1.22,-169.58,-2.3857,2202.1,0.0379,0.006,440,29.61,110.8,1417548,2169,145.9,18.4,2169,1.15,1.22
"2",2010-12-31,106.7,NA,NA,0.036283185840708,2286.9,2962.3,95.9,801.8,0.48893225196658,0.3317747341416,0.27066806197887,6.9534,NA,5.9992277992278,341.6,0,0,504.9,504.9,846.5,0,NA,838.1,0.53341395112016,0.37730158015576,1.6599326599327,0.99007678676905,0.3467952166177,NA,NA,743.6466,1639.9,0.17864497181244,0.22,68.636363636364,-0.2643,0.42464969974264,0.031,0.9865,0.30736252236438,1571.2,1553.8,0.05541253700605,0.05250320141472,259,0.1071709355733,-86,-0.035585716059089,0,0.67943504307141,NA,0.20892125625853,0.64294285596061,-238.7466,-0.47285908314925,2416.7,0.32134674134419,0.11325374961739,491.2,15.1,86.1,1814517,2221.3,53.4,29.097378277154,2221.3,NA,0.69106616097767
"3",2009-12-31,105.8,NA,NA,0.023572567783094,3061.1,3963.1,135.8,147,0.054490862586648,0.045128016209247,0.037092175317302,34.8603,NA,10.545819935691,406.2,0,0,676.2,369.1443,1082.4,0.45409,0.45342706502636,2550.7,0.85364792503347,0.97295544705523,3.7721088435374,2.3565225424981,0.78304782955732,NA,NA,604.6841,2697.7,0.17784057934445,2.42,9.797520661157,NA,0.20057072971871,0.01,0.8413,0.60783225252959,2988,2623.8,0.028165256498209,0.027393705749342,248.8,0.076379934917419,-178.6,-0.054829004727697,0,0.85714285714286,NA,0.20758887456253,0.80548904033892,-235.5397,-0.63806942703765,3257.4,0.12354228313253,0.08127797197086,538,23.71,73.9,0,2621.6,268.6,9.7684288905436,2621.6,NA,0.86051036682616
"4",2001-12-31,NA,2.18,0.5544,0.1315,NA,208559,3634,719,0.0078924172421326,0.018805251870063,NA,-181.2532,0.6876,NA,11583,0,0,12286.1133,12286.1133,23869.1133,0,NA,90381.1,NA,NA,7.3563622435421,3.7865294309027,2.3638933933149,NA,NA,20416.3665,91100.1,0.060817322676077,0.25,57.6,0.0012,0.55893536121673,0.055,0.6141,0.61535584654702,174372,68080.1,0.33813111320342,0.25268907498455,-3112,-0.081393524088508,-3369,-0.088115290055971,NA,0.44768627812009,NA,0.32133999319977,1.7806167285662,-8130.2532,-0.66174330331139,NA,0.070459209620811,-0.020464125309888,9596,14.4,23020,10567500,38234,-248.8,NA,40291,1.7,0.52244683779506
"5",2000-12-31,NA,1.65,0.7815,0.11145565782403,NA,216449,3416,4186,0.025839394521135,0.11559384751332,NA,-35502.2641,0.63339731285988,32.798282352941,1234,0,0,8267.4279,7243.1763,9501.4279,0.12389,NA,157814.7,NA,NA,19.08873012367,16.609577177342,4.3579570872339,0.33,NA,14284.3529,162000.7,0.051624170127836,NA,24.069230769231,2.9733,0.36485859990728,0.055,0.6018,NA,176049,139392.7,0.1621892681611,0.13955495254033,4250,0.1173611686411,-3102,-0.085659845911689,0,0.88431994518706,99.388734402852,0.200015913,3.8492447463618,-7041.1766,-0.97211172967651,NA,0.041142955980829,0.026962385885667,NA,31.29,22608,NA,36213,NA,NA,37833,NA,0.89883041584598
"6",1999-12-31,NA,1.65,0.7806,0.20921576177641,NA,10673,642,3415,0.032100359918823,0.46248645720477,NA,NA,0.31706379707917,102.00107108082,341,0,0,1798,1115.7309,1456.7309,0.37946,NA,102970.1,NA,NA,57.269243604005,70.685737898664,13.945029794149,0.585,NA,914.6781,106385.1,0.092851119647709,NA,NA,0.3699,0.43497757847534,0.024,0.4634,NA,4376,104755.1,0.015560101608418,0.015321694485412,NA,0.13908450704225,NA,-0.18716143011918,0,17.002937834767,1.7436080526636,0.24349945828819,14.186768689057,NA,0.26977830819639,NA,0.25496593235832,0.16669371855218,1961,NA,NA,NA,NA,1027,102.00107108082,7384,NA,13.654871005006
