"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,58.1,1.86,0.4688,0.1204,170.2,295.4,4.2,55.5,0.1977,0.2251,0.1879,-2.1,0.8,NA,9,0,0,16,15.84,25,0,225.2,1.63,0.84,14.21,9.07,0.91,0.175,22.74,280.7,0.0433,NA,NA,-0.165,0.3188,0.556,0.5603,138,257.4,0.0905,0.083,-17.8,-0.0722,-24.5,-0.0994,NA,1.51,NA,0.0642,1.04,-6.9,-0.4353,246.6,0.1148,-0.1046,174.2,4.24,23.3,247238,267.7,-21.2,NA,267.7,1.3,1.45
"2",2011-06-30,47.5,1.53,0.5606,0,121.4,187.1,5.9,105.8,0.34541299379693,0.52873563218391,0.56547300908605,0.1967,0.55743845879415,NA,4.7,0,0,-12.5637,-12.5637,-7.8638,0,200.5,12.852564102564,0.95612780162136,NA,NA,1.0019990004998,0.175,-13.9605,306.3,0.043826830571887,NA,NA,0.2888,0.44840072420036,0.724,0.085515766969535,15.6,306.3,0,0,-11.5,-0.057471264367816,4.1,0.020489755122439,NA,2.5230642504119,NA,-0.062787356321839,1.5307346326837,1.3967,NA,200.1,-0.80536858974359,-0.094728171334432,145.6,6.38,0,390271,209.7,-12.4,NA,209.7,1.25,2.5230642504119
"3",2010-06-30,45.4,1.38,0.6359,0,114.5,170.7,4.7,115.8,0.32509825940483,0.77979797979798,0.67838312829526,-0.2121,0.51108664884416,NA,2.8,0,0,-13.0465,-13.0465,-10.2465,0,240.4,NA,1.5119496855346,NA,NA,1.6188552188552,0.1833,-14.7344,356.2,0.035149384885765,NA,NA,0.0645,0.29220779220779,0.3597,0,-1.3,356.2,0,0,-12.8,-0.086195286195286,-3,-0.02020202020202,NA,3.1109170305677,NA,-0.087855218855219,2.3986531986532,1.6879,NA,148.5,NA,-0.1117903930131,109.5,7.81,0,248892,159,-14.3,NA,159,1.3,NA
"4",2009-06-30,43.9,NA,NA,0,113.8,155.6,1.8,107.7,0.44707347447073,0.79896142433234,0.69215938303342,-0.0623,NA,NA,2,0,0,-9.3736,-9.3736,-7.3736,0,133.2,21.836065573771,1.0037678975132,NA,NA,0.98813056379822,0.15,-9.1112,240.9,0.022493573264782,NA,NA,0.0351,0.43501945525292,0.2234,0,6.1,240.9,0,0,-10,-0.074183976261128,4,0.029673590504451,NA,2.1168717047452,NA,-0.069536795252226,1.7870919881306,-0.2623,NA,134.8,-1.5366491803279,-0.087873462214411,95,5.78,0,92078,132.7,-7.9,NA,132.7,1.3,2.1168717047452
"5",2008-06-30,43.3,NA,NA,0,113.2,147.8,2.5,102.8,0.49210148396362,0.7987567987568,0.69553450608931,-0.2788,NA,80.346153846154,1.6,0,0,-0.6,-0.4521,1,0.24642,106.1,10.201923076923,0.80015082956259,NA,106.1,0.82439782439782,0.17,-1.0734,208.9,0.024357239512855,-0.19,NA,-0.6924,0.71553133514986,0.1738,0,10.4,208.9,0,0,2.6,0.02020202020202,9.2,0.071484071484072,0,1.845406360424,4.7262443438914,-0.0046620046620047,1.6231546231546,0.6212,NA,128.7,-0.043475769230769,0.022968197879859,81.9,4.49,0,164156,132.6,-2.2,NA,132.6,NA,1.845406360424
"6",2007-06-30,9.3,NA,NA,0,-29.1,30.9,1.3,12.3,0.084769124741558,0.19967532467533,0.39805825242719,-3.0263,NA,36.275,0.7,0,0,4,3.7925,4.7,0.05188,132.8,NA,1.2138939670932,33.2,28.255319148936,2.1558441558442,NA,6.2188,145.1,0.051779935275081,0.17,76.941176470588,NA,0.34139784946237,0.3982,0,-41.4,145.1,0,0,4,0.064935064935065,3.9,0.063311688311688,0,NA,NA,0.064935064935065,2.3555194805195,-2.4263,-0.63976572092633,61.6,NA,NA,30.4,13.08,0,198450,109.4,7.6,19.092105263158,109.4,NA,NA
