"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta"
"1",2011-12-31,85.5,2.01,0.5948,NA,-87.1,258.8,3.6,240.9,0.1049,9.8327,0.9308,-188.13,0.8,7.6,0,0,12,12.15,20,0,2056.1,15.2,169.17,104.09,83.92,204.29,2297,0.0402,-0.29,0.06,0.4234,0.7319,0,-155.4,2124.4,0.0812,0.0751,-115.3,-4.7061,-41.6,-1.698,NA,0.4961,86.71,-192.13,-15.8085,24.5,NA,30.7,22.24,172.6,352288,135.3,-24.2,135.3,1.2
"2",2010-12-31,80.4,1.16,0.7392,NA,-22.4,331.2,0.9,309.6,0.14814105938083,12.793388429752,0.93478260869565,-2.462,0.40584415584416,6.3,0,0,-83.5668,-83.5668,-77.2668,0,1780.3,68.473076923077,NA,NA,73.566115702479,-75.7048,2089.9,0.030797101449275,NA,-0.2046,0.27561136814276,0.7714,0,-159.2,1917.1,0.090136143132857,0.082683381979999,-83.9,-3.4669421487603,-33.1,-1.3677685950413,NA,-3.453173553719,79.219008264463,-7.862,NA,24.2,NA,27.5,22.1,172.8,388836,26,-97.2,26,1.2
"3",2009-12-31,64.2,1.7,0.8604,NA,-189,181.4,0.7,155.4,0.069208158902645,6.3688524590164,0.85667034178611,4.3549,0.36320316132032,5.5,0,0,-80.2543,-80.2543,-74.7543,0,2090,99.052132701422,NA,NA,85.655737704918,-79.8092,2245.4,0.071113561190739,NA,0.0173,0.49973998959958,0.9185,0,-171.4,2072.4,0.083478093032233,0.07704640598557,-85.3,-3.4959016393443,-32.2,-1.3196721311475,NA,-3.2891098360656,84.934426229508,-0.4451,NA,24.4,NA,27.1,25.07,173,447771,21.1,-86.7,21.1,1.25
"4",2008-12-31,62,1.04,0.7318,NA,-134.9,236.2,1,200.6,0.1926623127161,8.6839826839827,0.84928027095682,-5.0779,0.25143481825635,7,0,0,-87.8361,-87.8361,-80.8361,0,840.6,31.720754716981,NA,NA,36.38961038961,-76.7582,1041.2,0.068585944115157,NA,0.0351,0.26172671651938,0.9362,0,-162.6,868.3,0.19912472647702,0.16605839416058,-93.6,-4.051948051948,-34.5,-1.4935064935065,NA,-3.8024303030303,37.588744588745,-11.0779,NA,23.1,NA,28.9,13.07,172.9,353646,26.5,-79,26.5,1.15
"5",2007-12-31,61.1,1.98,0.5391,NA,-66.3,162,9.8,126.8,0.17336614711512,5.7636363636364,0.78271604938272,1.5368,0.37098868484511,4.1,0,0,-168.5918,-168.5918,-164.4918,0,604.6,26.63436123348,NA,NA,27.481818181818,-175.8286,731.4,0.12407407407407,-1.63,0.1048,0.67785234899329,0.8478,0,-192.6,730.9,0.00068408811054864,0.00068362045392398,-160,-7.2727272727273,-48.3,-2.1954545454546,NA,-7.6632636363636,33.222727272727,7.2368,NA,22,NA,35.3,12.39,0.5,280145,22.7,-110.8,22.7,1.25
"6",2006-12-31,60.1,1.92,0.3246,0.0093896713615023,63.3,262.4,5.7,201.1,0.1550501156515,10.260204081633,0.76638719512195,4.6316,0.46826863832409,4.2,0,0,-179.2888,-179.2888,-175.0888,0,1095.9,51.450704225352,NA,NA,55.913265306122,-185.4204,1297,0.057545731707317,-2.66,0.4538,0.27472527472528,0.7501,0,-137.2,1296.4,0.00046282011724776,0.00046260601387818,-166,-8.469387755102,-53.4,-2.7244897959184,20.480252764613,-9.1473857142857,66.142857142857,6.1316,NA,19.6,-2.6224328593997,32.2,20.53,0.6,920520,21.3,-164.8,21.3,0.95
"7",2005-12-31,53.9,NA,NA,0.029315960912052,59.6,224.8,3.4,161.9,0.087912684622068,13.380165289256,0.72019572953737,20.4793,NA,4.1,0,0,-144.46,-144.46,-140.36,0,1679.7,93.316666666667,NA,NA,138.81818181818,-164.2393,1841.6,0.058718861209964,-2.84,0.3239,0.26196425139343,0.5113,0,-100.5,1839.8,0.00097836721382759,0.00097741094700261,-143.2,-11.834710743802,-42,-3.4710743801653,30.869127516779,-11.938842975207,152.04958677686,19.7793,NA,12.1,-2.4026845637584,21.3,30.89,1.8,116461,18,-170.5,18,0.85
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0.1789002239363,0.3188,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,22.52,0,69241,11,0,11,0
"9",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0.11887290871735,0,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,18,0,1600,NA,0,0,0
