"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,26.7,0.82,0.5401,0.7094,15.4,124.5,1.5,115.3,0.0811,1.2425,0.9261,6.63,0.38,NA,1.9,0,0,0,0.04,2,0,1305.7,NA,18.81,36009.38,674.34,14.07,NA,-6.2,1421,0.0369,-1.21,-0.11,0.7305,0.5372,0,-62.3,1383.4,0.0272,0.0265,-40,-0.431,-26.3,-0.2834,NA,89.83,4e-04,14.91,6.23,171.861,92.8,NA,-2.5974,42.8,35,37.6,561101,69.4,-67.6,NA,69.4,0.8,NA
"2",2010-12-31,26.5,0.32,0.4547,0,49.5,124.6,1.9,100.2,0.41680532445924,1.4053295932679,0.80417335473515,-4.5217,0.38486914449087,NA,2.2,0,0,-57.4924,-57.4924,-55.2924,0,140.2,NA,1.6631079478055,NA,NA,1.9663394109397,NA,-52.6706,240.4,0.040930979133226,NA,0.4247,0.33162939297125,0.4732,0,-50.7,240.4,0,0,-49,-0.68723702664797,-24.8,-0.34782608695652,NA,4.8565656565657,-0.80634460028051,3.3716690042076,-4.8217,NA,71.3,NA,-0.98989898989899,21.1,8.84,0,55852,84.3,-39.9,NA,84.3,0.7,NA
"3",2009-12-31,26.2,0.59,0.5375,0,106.3,157.3,2.5,130,0.78266104756171,2.6262626262626,0.82644628099174,-3.7952,0.34883720930233,NA,2.2,0,0,-47.7846,-47.7846,-45.5846,0,36.1,NA,0.51793400286944,NA,NA,0.72929292929293,NA,-44.2894,166.1,0.036236490781945,NA,-0.4554,0.2859450726979,0.3921,0,-23.7,166.1,0,0,-32.5,-0.65656565656566,-9.3,-0.18787878787879,NA,1.5625587958608,-0.96534444444444,3.3555555555556,-3.4952,NA,49.5,NA,-0.30573847601129,19.5,5.93,0,32044,69.7,-44.1,NA,69.7,0.75,NA
"4",2008-12-31,24.1,0.38,0.5442,0,120.3,160.6,1.4,126.8,0.77696078431373,1.5203836930456,0.78953922789539,-1.4868,0.22050716648291,6.8860759493671,2,0,0,19.1,19.1,21.1,0,36.4,NA,0.35203094777563,1.9057591623037,1.7251184834123,0.43645083932854,NA,21.1868,163.2,0.033001245330013,-1.34,1.785,0.30618181818182,0.3785,0,-6.5,163.2,0,0,23.7,0.2841726618705,-6.2,-0.074340527577938,0,1.356608478803,0.22901678657074,1.9568345323741,-2.0868,-0.10925709694025,83.4,NA,0.19700748129676,16.8,6.18,0,50859,103.4,9.8,16.65306122449,103.4,0.75,NA
"5",2007-12-31,19.7,2.1,1.6338,0.0077669902912621,51.1,129.7,2.4,114.2,0.72924648786718,4.6612244897959,0.8804934464148,1.4996,0.088138082996695,NA,2.8,0,0,-23.3065,-23.3065,-20.5065,0,42.4,NA,1.5880149812734,NA,NA,1.730612244898,0.03,-24.4061,156.6,0.046260601387818,NA,0.3145,0.44220730797912,0.479,0,-62.7,156.2,0.0025608194622279,0.0025542784163474,-16.9,-0.68979591836735,-16.7,-0.68163265306123,NA,3.0567514677104,-0.95128571428571,6.3755102040816,1.0996,NA,24.5,NA,-0.3307240704501,45.1,7.5,0.4,8452,26.7,-20.5,NA,26.7,0.9,NA
"6",2006-12-31,19.5,3.49,1.6145,0.02803738317757,62.4,154.6,0.9,74.1,0.394778902504,4.0054054054054,0.47930142302717,-25.6389,0.084236605760297,NA,3.4,0,0,-26.7544,-26.7544,-23.3544,0,113.6,NA,4.0141342756184,NA,NA,6.1405405405405,NA,1.3845,187.7,0.042043984476067,-0.76,NA,0.27768313458262,0.35,0,-9.9,185.9,0.0096826250672404,0.0095897709110282,-28.4,-1.5351351351351,48.4,2.6162162162162,NA,2.9791666666667,-1.4461837837838,10.048648648649,-28.1389,NA,18.5,NA,-0.45512820512821,41.8,9.15,1.8,11946,28.3,-23.3,NA,28.3,0.85,NA
"7",2005-12-31,6.5,4.16,1.6027,0,95.1,102.3,2.8,83.5,1.0232843137255,2.3994252873563,0.81622678396872,1.1698,0.10482311100019,NA,5.2,0,0,-9.2403,-9.2403,-4.0403,0,-1.9,-0.16379310344828,-0.11111111111111,NA,NA,-0.054597701149425,NA,-8.0101,81.6,0.078201368523949,NA,-0.3308,NA,NA,0.0068426197458455,11.6,81.6,0,0,-10.7,-0.30747126436782,2.3,0.066091954022988,NA,0.85804416403785,-0.26552528735632,2.3448275862069,-1.2302,NA,34.8,-0.79657586206897,-0.11251314405889,15.1,12.4089,0,7291,17.1,-10.2,NA,17.1,1.05,0.85804416403785
