"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,17.5,NA,NA,0.0113,69.7,85.8,0.5,52.3,0.3854,2.7672,0.6096,0.85,NA,23.67,0.9,0.0182,2.45,-3,-3.14,-2,0,83.4,4.58,4.01,4.41,0.3,-3.59,135.7,0.007,-0.035,0.3757,0.5865,0.0839,18.2,134.9,0.0059,0.0059,5.7,0.3016,8.5,0.4497,1.94,0.79,-0.166,7.14,0.45,18.9,-0.1724,0.0818,14.9,7.81,0.8,139664,20.8,NA,20.8,1.05,1.92
"2",2010-12-31,17.3,NA,NA,0.053824362606232,33.4,59.8,8.5,7.4,0.072763028515241,0.20728291316527,0.12374581939799,0.1232,NA,NA,1.9,0,0,-5.7046,-5.7046,-3.8046,0,94.3,3.3799283154122,2.6049723756906,2.6414565826331,NA,-12.4279,101.7,0.18227424749164,-0.2094,0.3197139938713,0.2894,0.25418060200669,27.9,99.8,0.019038076152305,0.018682399213373,-7.1,-0.19887955182073,8.8,0.24649859943978,2.9880239520958,NA,-0.15979327731092,2.7955182072829,6.7232,35.7,-0.20446666666667,-0.2125748502994,18.8,6.04,1.9,60147,36.2,-4.2,36.2,1,2.8810198300283
"3",2009-12-31,12,1.12,0.9496,0.025316455696203,30.8,48.7,1.6,11.2,0.17125382262997,0.35782747603834,0.2299794661191,0.1208,0.28959561920809,NA,1.6,0,0,-5.5782,-5.5782,-3.9782,0,54.2,2.656862745098,1.69375,1.7316293929713,NA,-5.699,65.4,0.069815195071869,0.4677,0.38325991189427,0.2114,0.24229979466119,20.4,64.6,0.012383900928793,0.012232415902141,-4.5,-0.14376996805112,5.4,0.17252396166134,2.0974025974026,NA,-0.17821821086262,2.0638977635783,0.1208,31.3,-0.27344264705882,-0.1461038961039,19.1,3.88,0.8,45167,32,-9,32,1.1,2.0696202531646
"4",2008-12-31,11.6,1.12,0.9496,0.10026385224274,34.1,51.1,1.7,15.1,0.16966292134832,0.72946859903382,0.29549902152642,1.1942,0.19376579612468,NA,1.2,0,0,-8.7224,-8.7224,-7.5224,0,73.9,3.2412280701754,2.3838709677419,3.5700483091787,NA,-10.4166,89,0.046966731898239,2.2639,0.71223021582734,0.1712,0.2720156555773,22.8,85.2,0.044600938967136,0.042696629213483,-12.1,-0.58454106280193,2.4,0.11594202898551,2.4985337243402,NA,-0.42137101449275,4.1159420289855,1.6942,20.7,-0.38256052631579,-0.35483870967742,15.3,7.38,3.8,52101,31,-1.2,31,1.15,2.3482849604222
"5",2007-12-31,10.4,1.12,0.9496,0.069156293222683,67.3,97,0.2,19.6,0.80327868852459,3.4385964912281,0.2020618556701,0.8702,0.18534119629318,NA,0.3,0,0,-4.4217,-4.4217,-4.1217,0,4.8,0.091081593927894,0.40336134453782,0.84210526315789,NA,-5.1918,24.4,0.01340206185567,0.262,0.67046894803549,0.2004,0.1020618556701,52.7,19.4,0.25773195876289,0.20491803278689,-6.7,-1.1754385964912,-0.8,-0.14035087719298,0.28826151560178,NA,-0.77573157894737,3.4035087719298,0.7702,5.7,-0.08390265654649,-0.099554234769688,5.8,1.59,5,29454,11.9,-9.3,11.9,1.1,0.33748271092669
"6",2006-12-31,9.5,1.12,0.9496,NA,-0.5,7.3,0.1,1.5,0.025862068965517,0.36585365853659,0.2054794520548,0.0488,0.13479359730413,NA,0.2,0,0,-3.61,-3.61,-3.41,0,56.5,NA,12.555555555556,13.780487804878,NA,-3.5588,58,0.054794520547945,NA,0.2965367965368,0.1398,0.013698630136986,-1.2,57.2,0.013986013986014,0.013793103448276,-4.1,-1,-0.5,-0.12195121951219,NA,NA,-0.88048048780488,13.951219512195,-0.0512,4.1,NA,NA,5,5.65,0.8,71400,4.5,-7.5,4.5,0.8,NA
"7",2005-12-31,8.1,1.12,0.9496,0.33333333333333,0.8,10.2,0.2,0.9,0.03202846975089,0.041095890410959,0.088235294117647,0,0.1010951979781,NA,0.3,0,0,-2.2272,-2.2272,-1.9272,0,27.2,90.666666666667,1.2420091324201,1.2420091324201,NA,-2.1272,28.1,0.049019607843137,-0.2739,0.43737166324435,0.0462,0.019607843137255,0.3,27.7,0.014440433212996,0.01423487544484,-2.7,-0.12328767123288,0.8,0.036529680365297,34.625,NA,-0.10169863013699,1.2648401826484,-0.1,21.9,-7.424,-3.375,6.6,3.47,0.4,9430,21.9,-2.7,21.9,0.6,23.416666666667
