"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,38.4,1.27,0.4722,0,85.5,89.6,0.3,49.4,0.3748,3.5035,0.5513,0.45,0.67,NA,3.7,0,0,-3,-3.25,0,0,82.4,2.28,8.58,NA,184.99,5.84,NA,-0.3,131.8,0.0156,NA,NA,-0.015,0.265,NA,0.4514,0.3069,36.1,131.8,0,0,-11.9,-0.844,-1.4,-0.0993,NA,1.54,NA,-0.2308,9.35,-2.95,NA,14.1,-0.0902,-0.1392,34.7,3.48,0,47582,9.6,-13.2,NA,9.6,1,1.54
"2",2010-12-31,37.2,1.19,0.6135,0,67.1,74,1.4,29.4,0.25498699045967,1.8846153846154,0.3972972972973,0.3462,0.36674816625917,NA,3.8,0,0,-19.8553,-19.8553,-16.0553,0,85.9,2.2785145888594,6.6589147286822,NA,NA,5.5064102564103,NA,-17.8015,115.3,0.02972972972973,NA,NA,0.1392,0.41126461211477,NA,0.5728,0.3972972972973,37.7,115.3,0,0,-23.1,-1.4807692307692,-2,-0.12820512820513,NA,1.7183308494784,NA,-1.2727782051282,7.3910256410256,-2.0538,NA,15.6,-0.52666684350133,-0.34426229508197,34.9,4.2,0,90197,12.9,-24.3,NA,12.9,0.9,1.7183308494784
"3",2009-12-31,31.2,1.05,0.649,0,64.7,75.8,1.1,31.3,0.17476270240089,2.7217391304348,0.41292875989446,-1.8983,0.34668721109399,NA,2.3,0,0,-19.3384,-19.3384,-17.0384,0,147.8,4.4251497005988,9.7236842105263,NA,NA,12.852173913044,NA,-16.2401,179.1,0.021108179419525,NA,NA,-0.1716,0.28733031674208,NA,0.5333,0.36411609498681,33.4,179.1,0,0,-19.1,-1.6608695652174,-5.9,-0.51304347826087,NA,2.7681607418856,NA,-1.6816,15.573913043478,-3.0983,NA,11.5,-0.57899401197605,-0.2952086553323,28.4,5.69,0,61628,15.2,-22.2,NA,15.2,0.9,2.7681607418856
"4",2008-12-31,31.6,1.12,0.6436,0,81.9,85.9,0.5,44.1,0.41564561734213,3.15,0.51338766006985,0.1143,0.22374145431945,NA,1.5,0,0,-17.831,-17.831,-16.331,0,62,1.6402116402116,5.1666666666667,NA,NA,4.4285714285714,NA,-16.9453,106.1,0.011641443538999,NA,NA,-0.0124,0.59309021113244,NA,0.5302,0.14318975552969,37.8,106.1,0,0,-17.5,-1.25,-0.8,-0.057142857142857,NA,1.2954822954823,NA,-1.2736428571429,7.5785714285714,-0.8857,NA,14,-0.47171957671958,-0.21367521367521,29,3.94,0,59727,12,-19.6,NA,12,0.9,1.2954822954823
"5",2007-12-31,31.9,1.26,0.5473,0,96.3,98.8,1,65,1.0833333333333,4.5454545454545,0.6578947368421,0.1091,0.27772702357025,NA,0.6,0,0,-12.9638,-12.9638,-12.3638,0,-5,-0.15974440894569,-0.38461538461539,NA,NA,-0.34965034965035,NA,-13.4729,60,0.01417004048583,NA,NA,-0.0459,0.58801498127341,NA,NA,0.14676113360324,31.3,60,0,0,-8.5,-0.59440559440559,1.2,0.083916083916084,NA,0.62305295950156,NA,-0.90655804195804,4.1958041958042,0.5091,NA,14.3,-0.41417827476038,-0.088265835929387,24.6,2.1,0,911093,13,-16.7,NA,13,0.95,0.62305295950156
"6",2006-12-31,31.6,1.98,0.4706,0,100.9,103.8,0.2,81.8,0.51029320024953,5.489932885906,0.78805394990366,-0.2919,0.45898852528687,NA,0.5,0,0,-6.1382,-6.1382,-5.6382,0,78.5,4.1099476439791,4.7865853658537,NA,NA,5.2684563758389,NA,-5.5462,160.3,0.0086705202312139,NA,NA,0.181,NA,NA,NA,0.11849710982659,19.1,160.3,0,0,-3.8,-0.25503355704698,2.9,0.19463087248322,NA,1.5887016848365,NA,-0.41195704697987,10.758389261745,-0.5919,NA,14.9,-0.32136963350785,-0.037661050545094,19.5,4.46,0,66209,16.4,-3.3,NA,16.4,1.35,1.5887016848365
"7",2005-12-31,30.8,4.42,0.6788,0,99.3,103.6,1,68.7,0.2306143001007,5.5853658536585,0.66312741312741,2.7967,0.30642309958751,NA,0.6,0,0,-5.4683,-5.4683,-4.8683,0,229.2,7.4901960784314,2.826140567201,NA,NA,18.634146341463,NA,-8.6651,297.9,0.010617760617761,NA,NA,0.118,NA,NA,NA,0.11872586872587,30.6,297.9,0,0,-3,-0.24390243902439,-0.5,-0.040650406504065,NA,3,NA,-0.44458048780488,24.219512195122,3.1967,NA,12.3,-0.17870392156863,-0.030211480362538,15.8,9.25,0,116042,81.1,-2.9,NA,81.1,1.3,3
"8",2004-12-31,30.3,1.92,0.7734,0,NA,104.6,0.3,62.3,0.37260765550239,5.6126126126126,0.59560229445507,0.0056,0.49650892164469,NA,1.5,0,0,-12.8918,-12.8918,-11.3918,0,104.9,2.753280839895,9.4504504504505,NA,NA,9.712962962963,NA,-11.6974,167.2,0.0066921606118547,NA,NA,-0.4294,0.18294849023091,NA,0.6386,0.11759082217973,38.1,167.2,0,0,-1.9,-0.17592592592593,0.2,0.018518518518519,NA,1.6653386454183,NA,-1.1936888888889,15.481481481482,-1.1944,0.092651199863204,10.8,-0.33836850393701,-0.018924302788845,21.4,5.5,0,73253,11.1,-4.3,NA,11.1,1.45,1.6653386454183
"9",2003-12-31,30.7,1.58,0.7942,0,NA,106.9,0.5,41.4,0.2200956937799,3.2093023255814,NA,-1.0172,0.39788466381264,75.24,2,0,0,3.3754,3.0375,5.3754,0.10011,146.7,2.3623188405797,11.372093023256,43.462030716723,27.291195380402,7.640625,NA,5.5546,188.1,0.016838166510758,NA,NA,-0.3188,0.57126168224299,NA,0.4794,0.11506080449018,62.1,188.1,0,0,2.5,0.13020833333333,3.1,0.16145833333333,0,1.8173913043478,NA,0.1758,9.796875,-2.5172,-0.82871660565491,19.2,0.048912281971014,0.024154589371981,14.7,5.782,0,292079,12.9,0,NA,12.9,1.45,1.8173913043478
"10",2002-12-31,30.2,0,0,0.0010121457489878,NA,103.1,1.4,68.4,0.27014218009479,2.4604316546763,NA,-30.7,0,20.411290322581,1.3,0,0,12.9,11.6109,14.2,0.09993,184.8,NA,NA,14.325581395349,13.014084507042,6.6474820143885,0.3,11.5109,253.2,0.032977691561591,0.14,57.142857142857,0.2049,0.44212721584984,NA,0.6679,0.11930164888458,30.4,253.1,0.00039510075069143,0.00039494470774092,12.4,0.44604316546763,2.8,0.10071942446043,0,2.564336372847,0.68037634408602,0.46402877697842,9.1043165467626,0.1,0.0086125945587522,27.8,0.38193759868421,0.12563323201621,11.5,8,0.1,172826,23.8,7.1,35.647887323944,23.8,1.45,6.0789473684211
