"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,32.8,-1.48,0.7013,0,13.7,16.6,0.1,12.9,0.0835,2.1148,0.7771,0.25,-0.53,0,0,0,-1,-1.03,-1,0,141.5,176.88,16.45,NA,NA,23.2,0.325,-1.38,154.4,0.006,NA,0.4439,NA,0.1858,0,0.8,154.4,0,0,-17.1,-2.8033,0.6,0.0984,11.27,-0.1688,25.31,0.35,NA,6.1,-1.2868,-1.2482,7.2,4.86,0,204709,8.6,-9.9,NA,8.6,1,11.27
"2",2010-12-31,1.4,0.54,0.9327,NA,-1.1,0.2,0.2,0,0,0,0,0.6849,0.25463707515814,0.3,0,0,-7.8343,-7.8343,-7.5343,0,118.1,NA,51.347826086957,NA,NA,16.178082191781,NA,-8.4193,118.1,0.5,0.5769,0.65986394557823,NA,NA,0,-0.9,117.9,0.001696352841391,0.0016934801016088,-19.1,-2.6164383561644,-1,-0.13698630136986,NA,-1.073197260274,16.150684931507,0.5849,NA,7.3,NA,NA,16,4.75,0.2,177544,2.3,-15.5,NA,2.3,0.95,NA
"3",2009-12-31,35.1,1.57,1.166,NA,-1.1,0.2,0.2,0,0,0,0,0.6849,0.21440823327616,0.3,0,0,-24.2133,-24.2133,-23.9133,0,29.2,NA,12.695652173913,NA,NA,4,NA,-24.7983,29.2,0.5,0.5736,0.8,NA,NA,0,-0.9,29,0.0068965517241379,0.0068493150684932,-19.1,-2.6164383561644,-1,-0.13698630136986,NA,-3.316895890411,3.972602739726,0.5849,NA,7.3,NA,NA,16,0.07,0.2,388609,2.3,-15.5,NA,2.3,1,NA
"4",2008-12-31,35.1,1.9,1.1511,NA,-1.1,0.2,0.2,0,0,0,0,0.6849,0.1459473547042,0.3,0,0,-24.2133,-24.2133,-23.9133,0,8.4,NA,3.6521739130435,NA,NA,1.1506849315068,NA,-24.7983,8.4,0.5,0.5736,0.75,NA,NA,0,-0.9,8.2,0.024390243902439,0.023809523809524,-19.1,-2.6164383561644,-1,-0.13698630136986,NA,-3.316895890411,1.1232876712329,0.5849,NA,7.3,NA,NA,16,0.02,0.2,80149,2.3,-15.5,NA,2.3,1.05,NA
"5",2007-12-31,23.8,0.84,0.9421,NA,-2.9,16.9,0.4,1.1,0.78571428571429,0.35483870967742,0.06508875739645,-1.2387,0.16983335102431,0.3,0,0,-11.7449,-11.7449,-11.4449,0,0.3,NA,0.1304347826087,NA,NA,0.096774193548387,NA,-10.6062,1.4,0.023668639053254,NA,0.98581560283688,NA,0.0061,0.0059171597633136,-3.8,1.2,0.16666666666667,0.14285714285714,-12.4,-4,-4.8,-1.5483870967742,NA,-3.7886741935484,0.38709677419355,-1.1387,NA,3.1,NA,NA,12.7,0.05,0.2,8742639,2.3,-15.5,NA,2.3,1,NA
"6",2006-12-31,2.2,-0.88,0.8117,0.083333333333333,3.3,4.9,0.2,1.1,0.01288056206089,0.18032786885246,0.22448979591837,0.2951,0.25625230996674,3.6,0,0,-16.1386,-16.1386,-12.5386,0,84.3,33.72,33.72,NA,NA,13.819672131148,NA,-13.0336,85.4,0.10204081632653,-0.313,0.73821989528796,NA,0.0073,0,2.5,85.1,0.0035252643948296,0.0035128805620609,-16.2,-2.655737704918,0.5,0.081967213114754,25.787878787879,-2.6456639344262,13.950819672131,-3.1049,NA,6.1,-6.45542,-4.9090909090909,8.4,3.7,0.3,246798,2.5,-5.5,NA,2.5,1.3,23.722222222222
"7",2005-12-31,9.5,NA,NA,0,26.8,42.8,0.4,13.3,0.2258064516129,0.75568181818182,0.3107476635514,0.3301,NA,1.3,0,0,-2.3155,-2.3155,-1.0155,0,45.6,3.3777777777778,1.7606177606178,NA,NA,2.5909090909091,NA,-1.7456,58.9,0.016355140186916,0.0711,NA,NA,NA,0.42056074766355,13.5,58.9,0,0,-1.8,-0.10227272727273,-0.7,-0.039772727272727,2.1977611940298,-0.13156363636364,3.3465909090909,-0.5699,NA,17.6,-0.17152,-0.067164179104478,17.2,NA,0,NA,25.9,-1.5,NA,25.9,0.9,2.1977611940298
"8",2004-12-31,9.5,0.96,0.6438,0,NA,42.8,0.4,13.3,0.22657580919932,0.51351351351351,0.3107476635514,-0.3301,0.2982292637465,1.3,0,0,-2.3155,-2.3155,-1.0155,0,45.4,3.362962962963,1.7528957528958,NA,NA,2.5795454545455,NA,-1.0854,58.7,0.016355140186916,0.0711,0.3934611048478,NA,0.0287,0.42056074766355,13.5,58.7,0,0,-1.8,-0.10227272727273,-0.7,-0.039772727272727,2.1902985074627,-0.13156363636364,3.3352272727273,-1.2301,0.53124725174632,17.6,-0.17152,-0.067164179104478,17.2,6.17,0,16750,25.9,-1.5,NA,25.9,1.35,2.1902985074627
"9",2003-12-31,8.9,1.3,0.7494,0,NA,36.9,0.1,20.9,0.62951807228916,1.3841059602649,NA,0.0623,0.3469442220443,0.4,0,0,0.1709,0.1709,0.5709,0,12.3,3.4166666666667,0.81456953642384,71.955071955072,21.543419623778,0.7987012987013,NA,0.4086,33.2,0.013550135501355,-0.1858,0.24287652645862,NA,0.031,0,3.6,33.2,0,0,-0.2,-0.012987012987013,-3.2,-0.20779220779221,1.3551020408163,0.0111,2.1558441558442,-0.2377,-1.3903260656507,15.4,0.047483333333333,-0.0081632653061224,14.2,3.41,0,300,15.1,0.1,332,15.1,1.3,1.3551020408163
"10",2002-12-31,8.8,1.63,0.9089,0,NA,34.3,0.4,19.8,0.68275862068965,1.0645161290323,NA,0.8,0.3955,2.6,0,0,-9.0523,-9.0523,-6.4523,0,9.2,NA,NA,NA,NA,0.49462365591398,NA,-6.8523,29,0.02332361516035,-0.1423,0.72156196943973,NA,0.0456,0.0087463556851312,4.6,29,0,0,-16.2,-0.87096774193548,-3.2,-0.17204301075269,1.1885245901639,-0.48668494623656,1.5591397849462,-2.2,NA,18.6,-1.9679,-0.66393442622951,24.4,3.28,0,7065,17.6,-13.2,NA,17.6,1.35,2
