"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,88.5,0.76,0.2167,0.1621,5026.9,27115.4,35.7,1608.1,0.4329,NA,0.0593,NA,0.8,5.02,0,0.0271,74.34,7125,5439.96,7125,0.2365,0.2366,2106.2,0.48,0.3,0.3,NA,0.09,5404.26,3714.3,0.009,6.03,5.75,0.01,NA,0.1576,0.011,0.9625,0.0348,4391.1,2742,0.3546,0.2618,545.8,NA,0,NA,0.1197,0.55,0.56,NA,NA,35.7,0.0066,1.2389,0.1086,0,34.7,972.3,933379,NA,621.1,4.41,NA,1,0.62
"2",2010-12-31,102,0.96,0.3405,0.16899890486207,4780.5,26397,51.2,1617.5,0.33988947025573,NA,0.061275902564685,NA,0.69750367107195,13.562679083095,0,0.0177,67.0246,7403,3408.0451,7403,0.53964,0.53957783641161,3141.4,0.75967305088025,0.42434148318249,0.42434148318249,NA,0.095,3356.8451,4758.9,0.010122362389666,4.26,9.6384976525822,0.03,NA,0.15506547208822,NA,0.9538,0.023479940902375,4135.2,3786.7,0.25674069770513,0.20429090756267,279.2,NA,0,NA,0.24005941977077,0.79211379562807,1.4276504297994,NA,NA,51.2,0.01502327545503,0.82415483652544,0.058403932643029,0,41.06,972.2,998534,NA,199.2,19.00953815261,NA,0.95,0.82724633650286
"3",2009-12-31,116.6,1.5,0.4758,0.16687266110482,4853.3,25841.8,55.9,1772,0.34941730917122,NA,0.068571074770333,NA,0.49915931063472,8.4589352042922,0,0.0166,68.0467,NA,NA,NA,0.38864,0.38859449911683,3299.3,0.81395865199586,NA,NA,NA,0.1,NA,5071.3,0.010657152365547,5.08,7.5826771653543,0.12,NA,0.18026779422128,NA,0.9311,0.035848895974739,4053.4,4099.2,0.23714383294301,0.19168654979985,484.6,NA,0,NA,0.14041832439125,0.84462118558507,0.84589352042922,NA,NA,55.9,NA,NA,0.099849586879031,7550.3,38.52,972.1,1279486,NA,529.6,7.7401812688822,NA,0.95,0.8705496618258
"4",2008-12-31,117.4,1.66,0.4739,0.20762576097405,3709.5,24514.6,56.1,1744.1,0.39587352747577,NA,0.071145358276292,NA,0.33762397130196,7.6679321125503,0,0.0204,70.0475,NA,NA,NA,0.20502,NA,2661.6,0.90610744195547,NA,NA,NA,0.0875,NA,4405.7,0.011364656164082,4.08,7.2254901960784,NA,NA,0.34258700462684,NA,0.9224,0.054314571724605,2937.4,3433.7,0.28307656463873,0.22062328347368,447.8,NA,0,NA,0.15642581509602,0.925650357191,0.87633509857717,NA,NA,NA,NA,NA,0.12071707777328,7925.3,29.48,972,1547153,NA,601,5.7133111480865,NA,1,0.94108725835736
"5",2007-12-31,118,1.83,0.3696,0.19124360487997,4088.9,26750.3,58.7,1215.8,0.30008638775762,NA,0.045449957570569,NA,0.3030303030303,4.7110295242466,0,0.021457332121055,66.08,0,0,0,0.35339,NA,2835.7,0.73750325097529,NA,NA,NA,0.1125,NA,4051.5,0.010310164745816,5.62,5.338078291815,NA,NA,0.70130025050698,NA,0.9723,0.037136032119266,3845,3079.6,0.31559293414729,0.23988646180427,653.7,NA,0,NA,0.10108612513385,0.75316099684512,0.41875817993303,NA,NA,NA,NA,0,0.15987184817433,7407.7,30,971.9,1473276,NA,386.2,7.9741066804764,NA,0.7,0.800565128043
"6",2006-12-31,122.6,0.83,0.1774,0.20134255998011,3832.6,25165.1,74.7,1301.8,0.14583380010306,NA,0.051730372619223,NA,0.67643742953777,11.111607766448,0,0.0073977975561925,58.848,0,0,0,0.34668,NA,7624.8,2.1768971621081,NA,NA,NA,0.106,NA,8926.6,0.010935780108166,5.73,11.301919720768,NA,NA,0.21296940194715,NA,0.9039,0.031412551509829,3502.6,7954.8,0.12216523356967,0.10886563753277,715.9,NA,0,NA,0.082201424779997,2.0755622814799,1.0482648836271,NA,NA,NA,NA,0,0.18679225590983,6843.8,64.76,971.8,893716,NA,785.5,10.127052832591,NA,0.75,1.8580051619349
"7",2005-12-31,130.6,NA,NA,0.20801489949265,3723.7,25365.5,55.2,1283,0.16283379023251,NA,0.050580512901382,NA,NA,14.408635794743,0,0.0075627940644227,52.24,0,0,0,0.26884,NA,6596.2,1.9330090259055,NA,NA,NA,0.0992,NA,7879.2,0.010553704835308,4.7,11.755319148936,NA,NA,0.14130653266332,NA,0.8624,0.031732077033766,3412.4,6907.5,0.14067318132465,0.12332470301553,479.4,NA,0,NA,0.10896954526491,1.8550098020786,1.4524834470507,NA,NA,NA,NA,0,0.12874291699116,6520.8,55.25,971.7,218600,NA,600.4,11.504830113258,NA,0.75,1.6780678962389
"8",2004-12-31,139.8,0,0,0.20979443772672,NA,24503.9,58.4,1107.2,0.16421208750464,NA,0.045184644077065,0,NA,16.460068454079,0,0,0,NA,NA,NA,0.34588,NA,5635.3,1.5882137421791,NA,NA,NA,0.095,NA,6742.5,0.011308403968348,3.49,12.452722063037,NA,0,0.20139822532939,NA,0.8631,0.033590571296814,3548.2,5770.9,0.16836195394133,0.14410085279941,350.6,NA,0,NA,0,1.5874181658139,1.7326387846399,NA,NA,58.4,NA,NA,0.095802819980326,1693.5,43.46,971.6,163200,NA,0,NA,0,0,1.4558861634134
"9",2003-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0.094,NA,0,NA,2.53,12.130434782609,NA,0,0.13504401573328,NA,0.5898,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,30.69,0,149200,NA,0,NA,0,0,NA
"10",2001-12-31,NA,-0.58,0.5083,0.6851,NA,450.2,22.8,19.2,0.089677720691266,0.03332176327664,NA,0.4087,-0.1983,NA,36.3,0,0,30.1677,30.1677,66.4677,0,NA,194.9,NA,6.4605521799806,2.9322513040168,0.33825060742798,NA,43.259,214.1,0.52865393158596,NA,NA,NA,0.0751,0.6044499381953,0.115,0.1456,0,270.892,15.4,12.902597402597,0.92807099486221,-21.1,-0.036619229434224,11.408,0.019798681013537,NA,0.16867469879518,NA,0.052356299895869,0.026726830961472,-13.0913,-0.43395088124053,0.11136430754692,-0.23110624315444,55.5,1.76,198.7,4700,576.2,-22.8,NA,596.8,0.75,0.79035187454779
