"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing Net Income","Trailing PE Ratio","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,7.8,0.39,0.1302,0,134.3,963.8,0,31.3,0.2308,0.0325,0.75,28.25,0,0,0,14,8.99,14,0.339,0.3333,104.3,1.01,7.67,7.67,8.99,135.6,0.033,0.1416,0.345,0,103,135.6,0,0,4.8,0,0,1.01,0,0,0.0873,0.0357,4.6,18.25,0,43948,9,15.07,0.55,1.01
"2",2010-12-31,8.8,0.36,0.1568,0,132.8,524.6,0,25.7,0.21310116086236,0.048989706443004,0.8,25.659574468085,0,0,0,11,7.3658,11,0.33038,0.32857142857143,94.9,0.88608776844071,8.6272727272727,8.6272727272727,7.3658,120.6,0.030880670987419,0.099864130434783,0.2929,0,107.1,120.6,0,0,4.7,0,0,0.90813253012048,0,0,0.068775163398693,0.03539156626506,5.5,15.5,0,12567,4.5,26.8,0.55,0.90813253012048
"3",2009-12-31,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,117.2,NA,NA,NA,NA,117.2,NA,0.091936699321778,0.3004,NA,NA,117.2,0,0,NA,0,NA,NA,0,NA,NA,NA,0,13.82,0,13049,NA,NA,0.5,NA
"4",2008-12-31,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,109.5,NA,NA,NA,NA,109.5,NA,0.16859122401848,0.1862,NA,NA,109.5,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,12.19,0,18978,3.8,28.815789473684,NA,NA
"5",2007-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,86,NA,NA,NA,NA,86,NA,0.10335063709297,NA,NA,0,86,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,9.75,0,500,NA,NA,NA,NA
