"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,149.2,2.87,0.8532,0.6174,352.6,1001.5,25.4,538.6,0.3967,1.5767,0.5378,17.3,0.8,36.7,0,0,-2737,-2737.09,-2700,0,819.1,2.14,1.85,2.4,0.26,-2743.09,1357.7,0.2421,NA,0.955,0.644,0.025,0.5849,0,383,788.7,0.7214,0.4191,-337.8,-0.9889,58.8,0.1721,2.24,-8.0126,2.31,6,NA,341.6,-7.1465,-0.958,474.2,5.29,569,4350246,442.1,-294.3,442.1,1.4,1.47
"2",2010-12-31,145.2,5.3,2.4389,0.10740807824669,492.8,604,140.8,254.8,0.21203295331614,5.2972972972973,0.42185430463576,75.3306,0.15888310303826,16.1,0,0,-974.9071,-974.9071,-958.8071,0,946.9,3.1849983181971,5.673457159976,19.686070686071,0.885,-1174.9377,1201.7,0.40877483443709,NA,NA,0.74375247917493,0.01,0.6587,0,297.3,1142.4,0.051908263305322,0.049346758758426,-439.5,-9.1372141372141,30.5,0.63409563409563,2.3181818181818,-20.268339293139,23.75051975052,200.0306,NA,48.1,-3.2792032290616,-0.89184253246753,241.9,7.6,59.3,4495185,166.9,-465.3,166.9,1.55,2.1765984423112
"3",2009-12-31,128.8,4.16,2.3934,0.12004193604753,503.6,735.4,65.9,576.9,0.10716873177166,5769,0.78447103617079,-30731.8,0.14623548090582,4.7,0,0,NA,NA,NA,0,4806.2,NA,208.9652173913,48062,NA,NA,5383.1,0.13462061463149,NA,-0.2156,0.38214499700419,NA,0.6504,0,-4.5999999999999,5314.4,0.012927141351799,0.012762163065891,-220.1,-2201,-134.2,-1342,10.552819698173,NA,53144,-30670.6,NA,0.1,NA,-0.43705321683876,38.6,34.92,68.7,3315320,23,-380.1,23,1.4,NA
"4",2008-12-31,94.1,4.81,2.5949,0.7799511002445,27,147.2,6.8,105.2,0.035186300086962,1052,0.71467391304348,NA,0.083240201934564,5.7,0,0,NA,NA,NA,0,2884.6,164.83428571429,NA,28846,NA,NA,2989.8,0.19089673913044,NA,NA,0.84531392174704,NA,0.597,0,17.5,2894.1,0.033067274800456,0.032008830022075,-71.6,-716,-18.5,-185,107.18888888889,NA,28941,NA,NA,0.1,NA,-2.6518518518519,20.5,26.28,95.7,4112836,NA,-90.7,NA,1.35,24.366748166259
"5",2007-12-31,83.3,1.02,1.1534,0.71708683473389,40.4,161.7,3.2,102.8,0.1991090451288,146.85714285714,0.63574520717378,NA,0.16646436622161,6.2,0,0,-6.2,-6.2,0,0,413.5,10.3375,NA,590.71428571429,NA,NA,516.3,0.17006802721088,-0.9,1.9747,0.42348754448399,NA,0.3366,0,40,413.9,0.24740275428847,0.19833430176254,-99.3,-141.85714285714,-14.3,-20.428571428571,10.245049504951,-8.8571428571429,591.28571428571,NA,NA,0.7,-0.155,-2.4579207920792,30.6,4.58,102.4,676813,NA,-89.8,NA,1.2,3.6155462184874
"6",2006-12-31,81.3,2.32,1.1593,0.15863453815261,125.7,163.6,12.5,106.5,0.19836096107282,NA,0.65097799511002,-1.2138,0.22772362632623,3.9,0,0,-3.9,-3.9,0,0,430.4,10.032634032634,538,NA,NA,-11.2862,536.9,0.18643031784841,-1.13,0.119,0.75225537820958,NA,0.3426,0,42.9,513.2,0.04618082618862,0.044142298379586,-91.6,NA,-10.2,NA,4.0827366746221,NA,NA,7.3862,NA,NA,-0.090909090909091,-0.72871917263325,23.5,5.82,23.7,2380411,0.8,-93.8,0.8,1.65,3.5937081659973
"7",2005-12-31,71.1,3.01,0.6123,0.10551431601272,168.7,207.6,9.4,134.2,0.42971501761127,671,0.64643545279383,0,0.4442266862649,3,0,0,-3,-3,0,0,178.1,3.2738970588235,890.5,890.5,NA,-9.4,312.3,0.10741811175337,-1.23,NA,0.23333333333333,NA,0.3392,0,54.4,292.4,0.068057455540356,0.063720781300032,-81.5,-407.5,-8.5,-42.5,1.7332542975697,-15,1462,6.4,NA,0.2,-0.055147058823529,-0.48310610551275,20.7,4.17,19.9,1323678,0.2,-95,0.2,1.7,1.6558854718982
"8",2004-12-31,59.1,0.28,0.7103,0.017804154302671,NA,217.4,4.6,177.1,0.54043332316143,590.33333333333,0.8146274149034,4.794,0.078839926791497,2.4,0,0,-79.842,-79.842,-77.442,0,150.6,6,502,30.12,NA,-86.836,327.7,0.028978840846366,-1.28,0,0.43880208333333,NA,0.4186,0,25.1,324.1,0.011107682813946,0.010985657613671,-75.2,-15.04,-5.1,-1.02,1.6319234642497,-15.9684,64.82,6.994,-0.087598006061972,5,-3.1809561752988,-0.37865055387714,21,5.42,3.6,1086347,0.3,-81.6,0.3,1.8,1.6206726013848
"9",2003-12-31,44.9,1.68,1.1809,0.019769357495881,NA,137.8,1.9,100,0.16110842597068,3.7593984962406,NA,0.0859,0.28452874925904,2.6,0,0,-24.9183,-24.9183,-22.3183,0,520.7,24.331775700935,19.575187969925,19.285185185185,NA,-24.3042,620.7,0.036284470246734,-1.24,0.0468,0.40092165898617,NA,0.5809,0,21.4,618.3,0.0038816108685104,0.0038666022232963,-28.5,-1.0555555555556,-5.8,-0.21481481481482,5.1957983193277,-0.9229,22.9,-0.6141,0.024643497914146,27,-1.1644065420561,-0.23949579831933,17.2,10.61,2.4,303771,26.6,-49.6,26.6,1.8,5.1128500823723
"10",2002-12-31,26.6,1.91,1.1968,0.048936170212766,NA,63.7,1.5,46.9,0.13104219055602,3.0653594771242,NA,62.9,0.3515,1.8,0,0,-26.0092,-26.0092,-24.2092,0,311,NA,NA,20.326797385621,NA,-25.7092,357.9,0.056514913657771,-1.27,0.0359,0.44727773949001,NA,0.3723,0,0.1,355.6,0.0064679415073116,0.0064263760827047,-24.7,-1.6143790849673,-8.5,-0.55555555555556,7.9552572706935,-1.6999470588235,23.24183006536,-0.3,NA,15.3,-260.09189999998,-0.55257270693512,10.3,8.06,2.3,675536,9.6,-33.9,9.6,1.75,3109.9999999997
