"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,67.6,0.36,0.3982,0,104.5,120.5,8,81.9,0.0893,1.0734,0.6797,1.31,0.23,3.8,0,0,-18,-18.28,-14,0,835.7,36.98,9.38,10.95,NA,0.265,-23.79,917.6,0.1245,NA,NA,0.2922,0.0819,NA,0,22.6,917.6,0,0,-44.7,-0.5858,7.8,0.1022,8.78,-0.2396,12.03,5.51,76.3,-0.8088,-0.4278,80.7,13.59,0,520002,89.1,-46.6,89.1,1.3,8.78
"2",2010-12-31,62.1,-0.04,0.4426,0.008130081300813,61,77.2,6.9,47.1,0.079952469869292,0.96913580246914,0.61010362694301,1.8492,0.73429733393583,2.4,0,0,-63.6434,-63.6434,-61.2434,0,542,37.638888888889,7.7985611510791,11.152263374486,NA,0.355,-69.9926,589.1,0.139896373057,-0.11,0.2145,0.42941673710904,0.076,NA,0,14.4,588.6,0.00084947332653755,0.00084875233406892,-55.2,-1.1358024691358,4.3,0.088477366255144,9.6491803278688,-1.3095349794239,12.111111111111,6.3492,48.6,-4.4196805555556,-0.90491803278688,63.7,9.31,0.5,518518,69.5,-42.3,69.5,1.3,9.5788617886179
"3",2009-12-31,46,1.26,0.7999,NA,-18.4,46.9,3,28,0.032626427406199,0.94276094276094,0.59701492537313,-4.1818,0.42192774096762,2.4,0,0,-45.8689,-45.8689,-43.4689,0,830.2,2767.3333333334,19.085057471264,27.952861952862,NA,0.455,-42.2871,858.2,0.136460554371,NA,0.9542,0.34043538675313,0.086,0.9782,0,0.3,811.5,0.05754775107825,0.054416219995339,-53.5,-1.8013468013468,-9,-0.3030303030303,NA,-1.5444080808081,27.323232323232,-3.5818,29.7,-152.8964,NA,49.5,13.65,46.7,409706,43.5,-51.7,43.5,1.35,30.325088339223
"4",2008-12-31,29.8,1.44,0.8184,NA,-38.6,44.4,2.5,27.1,0.065968841285297,2.765306122449,0.61036036036036,-11.1582,0.26392961876833,3,0,0,-52.5988,-52.5988,-49.5988,0,383.7,NA,16.467811158798,39.15306122449,0.35,NA,-40.9406,410.8,0.13738738738739,NA,1.0362,0.54749568221071,NA,0.9632,0,-2.4,347.5,0.1821582733813,0.15408958130477,-55.2,-5.6326530612245,-8.1,-0.8265306122449,NA,-5.3672224489796,35.459183673469,-11.6582,9.8,NA,NA,47.3,8.07,63.3,265135,23.3,-55.4,23.3,1.35,NA
"5",2007-12-31,28.6,2.5,0.8343,0.8978417266187,7.1,77.3,3.4,64.3,0.47175348495965,13.978260869565,0.83182406209573,2.4065,0.19177753805586,2.9,0,0,-46.4086,-46.4086,-43.5086,0,72,13.846153846154,9.8630136986301,15.652173913043,NA,NA,-49.3152,136.3,0.085381630012937,-1.85,1.0993,0.7609841827768,NA,0.847,0,5.2,73.9,0.84438430311231,0.45781364636831,-45.9,-9.9782608695652,-4.1,-0.89130434782609,10.408450704225,-10.088834782609,16.065217391304,2.9065,4.6,-8.9247384615385,-6.4647887323944,38.6,2.76,62.4,222760,7.3,-54,7.3,1,1.9611510791367
"6",2006-12-31,28.2,NA,NA,0.050167224080268,56.8,64.6,3.4,54.5,0.20929339477727,24.772727272727,0.84365325077399,1.2273,NA,2.7,0,0,-49.9666,-49.9666,-47.2666,0,205.9,38.849056603774,51.475,93.590909090909,NA,NA,-51.8938,260.4,0.094427244582043,-1.6,NA,0.27751756440281,NA,0.747,0,5.3,257.4,0.011655011655012,0.011520737327189,-46.6,-21.181818181818,-1.5,-0.68181818181818,4.5316901408451,-22.712072727273,117,1.9273,2.2,-9.4276528301887,-0.82042253521127,40.5,8.7,3,133983,4,-44.7,4,1.2,4.3545150501672
"7",2005-12-31,25.4,NA,NA,0,49.4,56.7,4.7,50.5,0.17844522968198,NA,0.89065255731922,NA,NA,1.1,0,0,-1.1,-1.1,0,0,232.5,NA,178.84615384615,NA,0.35,NA,NA,283,0.09700176366843,-1.74,NA,0.52353780313837,NA,0.7768,0,-1.1,283,0,0,-30.8,NA,-6.5,NA,5.7287449392713,NA,NA,NA,NA,NA,-0.62348178137652,29.6,9.86,0,337753,1.3,-47.6,1.3,NA,NA
"8",2004-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0.35,NA,NA,0,NA,-1.15,0,0.2544608223429,NA,0.189,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,14.92,0,38028,NA,0,0,0,NA
