"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,26.6,0.66,0.195,0.0034,3657,22524.3,41.4,447.4,0.2467,0.0199,NA,0.8,9.37,0,0.0455,81.93,NA,NA,NA,0.2396,0.2424,1366.2,0.42,NA,1813.6,0.0035,5.61,12.17,-0.145,NA,0.1016,NA,0.5828,0,3222.1,1801.1,0.0069,0.0069,192.2,0,0.4526,0.49,41.4,NA,NA,0.0526,1137.4,68.29,12.5,23790,NA,181,9.95,NA,0.9,0.49
"2",2010-12-31,30.8,1.58,0.4169,0.016275354076963,3632.6,21413,9.4,587.7,0.29498569492546,0.027445944052678,NA,0.53969776924922,13.298004129388,0,0.0423,81.7321,NA,NA,NA,0.27243,0.28282329713722,1404.6,0.45236714975845,NA,1992.3,0.0036426469901462,5.12,14.263671875,NA,NA,0.15191017036655,NA,0.5851,0,3105,1932.2,0.031104440534106,0.030166139637605,145.3,0,0.56250557467309,0.53190552221549,9.4,NA,NA,0.03999889886032,1158.3,73.03,60.1,18907,NA,157.3,12.283534647171,NA,0.9,0.53952392558291
"3",2009-12-31,26.8,1.49,0.4452,0.020811008967345,3472.4,20149.5,13.2,798.3,0.33839175956933,0.039618849102955,NA,0.53346810422282,146.49358974359,0,0.0358,81.8137,NA,NA,NA,0,NA,1560.8,0.56799737981732,NA,2359.1,0.0044020943447728,3.88,22.067010309278,-0.29,NA,0.24153452685422,NA,0.5856,0,2747.9,2285.3,0.032293353170262,0.031283116442711,15.6,0,5.2444705128205,0.65813270360557,13.2,NA,NA,0.004492569980417,1159.5,85.62,73.8,17398,NA,143.5,15.92543554007,NA,0.95,0.66524730697648
"4",2008-12-31,26.5,1.64,0.4322,0.034475321954526,3133.9,18379.4,91,361.3,0.11158466907563,0.019657877841497,NA,0.33317908375752,NA,0,0.0261,81.5886,NA,NA,NA,0,NA,2876.6,0.99726122378228,NA,3237.9,0.0050328084703527,NA,NA,0.05,NA,0.56391366162595,NA,0.5904,0,2884.5,3126,0.035796545105566,0.034559436671917,-172.7,0,NA,0.99747917929736,NA,NA,NA,-0.055107055107055,1184.7,119.44,111.9,52522,NA,-104.9,NA,NA,0.9,0.99756608540267
"5",2007-12-31,26.7,0.82,0.2444,0.033319536423841,3736.8,18464.9,57.8,832.3,0.42829208048166,0.045074709313346,NA,0.4582651391162,7.5352990033223,0,0.045321576191788,82.236,0,0,0,0.31006,NA,1111,0.36626776118419,NA,1943.3,0.0045708343939041,NA,NA,0.275,NA,0.41675503711559,NA,0.5777,0,3033.3,1814.5,0.070983742077707,0.06627900993156,240.8,0,0.34151162790698,0.48557589381289,NA,NA,0,0.064440162706059,1177.2,73.73,128.8,26241,NA,-35.6,NA,NA,0.7,0.50271626655629
"6",2006-12-31,26.5,0.75,0.1974,0,3575.6,17932.2,6.8,929.1,0.29990316333118,0.051811824539097,NA,0.48632218844985,11.339677891654,0,0.026346029696578,81.62,0,0,0,0.32518,NA,2168.9,0.81953523521632,NA,3098,0.004539320328794,NA,NA,0.1,NA,0.18635991363264,NA,0.5744,0,2646.5,3098,0,0,273.2,0,0.29875549048316,0.86642801208189,NA,NA,0,0.076406756907932,1234.3,122,0,9680,NA,298.3,10.385517934965,NA,0.6,0.86642801208189
"7",2005-12-31,26.5,0.52,0.1621,0,3378,17516.9,17.7,215,0.070914968005805,0.012273861242571,NA,0.64157927205429,12.852055955913,0,0.026571673593245,80.56,0,0,0,0.31204,NA,2816.8,0.89054694909896,NA,3031.8,0.0051835655852348,NA,NA,0.02,NA,0.093590377327402,NA,0.5718,0,3163,3031.8,0,0,235.9,0,0.34150063586265,0.89751332149201,NA,NA,0,0.069834221432801,1248.2,114.11,0,3162,NA,197.9,15.319858514401,NA,0.65,0.89751332149201
"8",2004-12-31,26.5,0.85,0.1833,0,NA,16570.8,23,161.4,0.052924973767051,0.0097400246216236,0,0.92744135297327,11.931142410016,0,0.025643217369006,79.5,NA,NA,NA,0.31843,NA,2888.2,0.92145227156713,NA,3049.6,0.0053165809737611,NA,NA,-0.085,0,0.11314390980635,NA,0.5782,0,3134.4,3049.6,0,0,255.6,0,0.31103286384976,0.9252988652224,23,NA,NA,0.077553249590388,1182.3,116.99,0,6458,NA,280.1,10.887540164227,0,0.7,0.9252988652224
"9",2003-12-31,26.5,0.75,0.2067,0,NA,15140.2,14.4,214.3,0.078006697728596,NA,0,0.72568940493469,15.077936333699,0,0.028417818740399,78.44,NA,NA,NA,0.3296,NA,2532.9,0.8741070504193,NA,2747.2,0.0052178967252744,NA,NA,-0.17,0,0.12904084784577,NA,0.581,0,2897.7,2747.2,0,0,182.2,0,0.43051591657519,0.8827763496144,14.4,NA,NA,0.058547557840617,1030.9,104.16,0,995,NA,248.2,11.068493150685,0,0.7,0.8827763496144
"10",2002-12-31,26.5,0.56,0.2058,0,NA,12139.2,20.9,631.4,0.28387734915925,NA,0,0.5985,131.60946745562,0,0.035266612714684,78.44,0,0,0,0.3719,NA,1592.8,NA,-20.9,2224.2,0.0065407934625017,NA,NA,NA,0,0.092122830440587,NA,0.5903,0,2242.3,2224.2,0,0,16.9,0,4.6414201183432,0.7739847583255,20.9,0,0,0.0058809200682048,861.7,85,0,8733,0,47.2,47.122881355932,0,0.7,0.71034205949248
"11",2001-12-31,NA,0.47,0.2279,0.0651,NA,11258.1,29.7,443.5,0.18333264437187,NA,0,0.3609,34.124807395994,0,0.0353,78.1789,NA,NA,NA,0.38231,NA,1975.6,NA,NA,2419.1,0.0065641626917508,5.23,16.068833652008,-0.06,NA,0.21456810830238,0,0.5619,0,2697.2632,2214.7,0.092292409807197,0.084494233392584,64.9,0,1.2046057010786,0.75424854408609,29.7,NA,NA,0.022102646187379,666.8,84.04,204.4,15700,0,71,31.192957746479,0,0.7,0.89687205905601
"12",2000-12-31,NA,0.65,0.1733,0,NA,9270.4,12.3,297.3,0.13730199048631,NA,NA,0.6,15.444365192582,0,0.036362628735048,78.736,NA,NA,NA,0.32265,NA,1868,NA,NA,2165.3,0.0055229547808077,NA,14.430088495575,NA,NA,0.13335572724219,NA,0.1698,NA,2726.4,2165.3,0,0,140.2,0,0.56159771754636,0.7161094023878,12.3,NA,NA,0.046367033766577,NA,81.53,0,NA,NA,71.6,30.241620111732,NA,NA,0.7161094023878
"13",1999-12-31,NA,NA,0.1908,0,NA,9090.5,17.2,109.7,0.062241134751773,NA,NA,NA,6.6110277569392,0,0.043903546099291,77.38,-392.6,-392.6,-392.6,0.31406,NA,1652.8,NA,-409.8,1762.5,0.0055112480061603,NA,10.784671532847,NA,0,0.2,NA,0.1674,NA,2953.4,1762.5,0,0,NA,NA,0.29024756189047,0.57539747314812,NA,NA,-0.13293153653416,0.066599196892037,392.6,NA,NA,NA,NA,204,8.6397058823529,0,NA,0.57539747314812
