"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,30.8,2.01,0.5181,NA,-97.5,557.7,17.8,28.9,0.0475,0.1394,0.0518,0.8,0.8,20,0,0,10,9.8,30,0,579.4,1.83,2.91,59.12,19.44,2.79,0.1,11.2,608.3,0.5186,NA,NA,-0.025,0.2888,0.5411,0.1239,316,165.9,2.6667,0.7273,-85.9,-0.4144,-20.3,-0.0979,NA,0.0473,0.8,-1.4,-0.1426,207.3,0.031,NA,78.2,5.54,442.4,82170,199.1,-53,199.1,1.55,1.76
"2",2010-12-31,30.3,2.7,0.6915,NA,-12.7,714.8,13.1,5.3,0.0062301633948513,0.022419627749577,0.0074146614437605,-0.4738,0.57845263919017,29.9,0,0,9.8,9.8,39.7,0,845.4,1.291081246182,3.8357531760436,86.265306122449,21.294710327456,3.5761421319797,0.1,27.0738,850.7,0.64297705651931,NA,NA,-0.0045,0.4469696969697,0.5834,0.10310576385003,654.8,177.9,3.7818999437887,0.79087810038792,-98.6,-0.417089678511,7,0.029610829103215,NA,0.041455160744501,0.75253807106599,-17.2738,-1.7626299250665,236.4,0.014966401954795,NA,88.3,5.9,672.8,194989,220.4,-76.4,220.4,1.6,1.2887441296773
"3",2009-12-31,29.7,3.11,0.85,NA,-66,838.2,13,69,0.068074191002368,0.29664660361135,0.082319255547602,0.031,0.45588235294118,30.8,0,0,-9.8,-9.8,21,0,944.6,1.5639072847682,4.009337860781,NA,44.980952380952,4.061049011178,0.1,7.969,1013.6,0.58243855881651,NA,NA,-0.2643,0.46070656092286,0.5969,0.087926509186352,604,274.6,2.6911871813547,0.72908445146014,-101.6,-0.43680137575236,2.4,0.010318142734308,NA,-0.04213241616509,1.1805674978504,-17.769,NA,232.6,-0.016225165562914,NA,81.2,9.07,739,184724,235.6,-139,235.6,1.55,1.5060921248143
"4",2008-12-31,29.5,3.07,0.7608,0.95314940135346,36,861.3,62.7,49.2,0.057516951133972,0.15643879173291,0.057122953674678,-1.68,0.33648790746583,27,0,0,55.8,55.8,82.8,0,806.2,1.1209677419355,3.3163307280954,14.448028673835,9.7367149758454,2.5634340222576,0.1,21.78,855.4,0.64507140369209,NA,NA,0.0956,0.61090458488228,0.6246,0.085568326947637,719.2,123,5.9544715447155,0.85620762216507,-55.3,-0.1758346581876,7.4,0.023529411764706,3.4166666666667,0.17742448330684,0.39109697933227,34.02,0.60967741935484,314.5,0.077586206896552,-1.5361111111111,102.2,4.57,732.4,274838,243.1,-87.4,243.1,1.6,1.1132222800625
"5",2007-12-31,33.2,NA,NA,0.84869646182495,130,943.6,62.8,122.7,0.14352555854486,0.37987616099071,0.13003391267486,-0.1771,NA,21.7,0,0,49.9,49.9,71.6,0,732.2,0.99416157501697,2.2221547799696,14.673346693387,10.22625698324,2.2668730650155,0.15,8.9771,854.9,0.56761339550657,-0.56,NA,0.1575,0.78491744756805,0.9296,0.078105129292073,736.5,125.7,5.8011137629276,0.85296525909463,-14.8,-0.045820433436532,8.8,0.027244582043344,0.96692307692308,0.15448916408669,0.38916408668731,40.9229,0.82009840113664,323,0.06775288526816,-0.11384615384615,105,4.66,729.2,397664,329.5,-22.6,329.5,2.05,0.99499534450652
"6",2006-12-31,33.2,NA,NA,0.81882770870337,122.4,758,72.2,27.5,0.022386844676001,0.098707824838478,0.036279683377309,-0.4008,NA,18.4,0,0,78.5,78.5,96.9,0,1200.9,1.8529547909273,3.8676328502416,15.298089171974,12.393188854489,4.3104809763101,0.1667,25.1008,1228.4,0.6523746701847,0.17,110.70588235294,NA,0.26088013615366,0.9719,0.097229551451187,648.1,675.2,0.81931279620853,0.45034190817323,-13.9,-0.04989231873654,3.5,0.012562814070352,5.5163398692811,0.28176597272075,2.4235463029433,53.3992,0.68024517491918,278.6,0.12112328344391,-0.11356209150327,74.8,18.82,553.2,1338628,310.5,-9.9,310.5,NA,1.8182356423919
"7",2005-12-31,0,NA,NA,NA,-110.6,606.3,10.6,21.8,0.017548096273042,0.083749519784864,0.035955797460003,NA,NA,25.5,0,0,66.3,66.3,91.8,0,1220.5,2.3146216575005,NA,18.408748114631,13.295206971678,4.6888205916251,0.2625,NA,1242.3,0.70410687778328,0.19,89.105263157895,NA,0.26483447845097,0.6257,0.12155698499093,527.3,582.6,1.1323377960865,0.53103115189568,-30.2,-0.11601997694967,23.7,0.091048789857856,NA,0.25470610833654,2.238186707645,NA,NA,260.3,0.12573487578229,NA,69.3,16.93,659.7,186426,NA,NA,NA,NA,2.2624294299763
