"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-12-31,56.6,1.51,0.5153,0.0118,83.5,97,2.1,93.4,0.1394,22.2381,0.9629,0.17,0.73,0.4,0,0,1,1.44,2,0,576.4,140.59,400.94,313.67,137.24,0.25,-0.43,669.8,0.0268,NA,-0.1,0.2178,0.6776,0,-8.9,668.8,0.0015,0.0015,-28.7,-6.8333,-7,-1.6667,8.01,0.3423,159.24,1.87,1.2984,4.2,NA,-0.3437,32.6,10.59,1,797490,4.1,-48.3,4.1,1.1,NA
"2",2011-12-31,52.2,0.49,1.1321,0.012376237623762,79.8,96.5,0.6,95.4,0.22124304267161,18,0.98860103626943,1.3019,0.23186997615052,0.2,0,0,-9.5306,-9.5306,-9.3306,0,335.8,78.093023255814,NA,NA,63.358490566038,0.25,-11.2325,431.2,0.0093264248704663,NA,-0.2355,0.31615598885794,0.6396,0,-14.6,430.2,0.00232450023245,0.0023191094619666,-11.6,-2.188679245283,-6.9,-1.3018867924528,5.390977443609,-1.798220754717,81.169811320755,1.7019,NA,5.3,NA,-0.1453634085213,16.9,8.12,1,641490,4.3,-22.4,4.3,1.05,NA
"3",2010-12-31,35.5,1.4,1.2842,0.14084507042253,6.1,25.8,0.5,24.3,0.09187145557656,5.0625,0.94186046511628,-0.4667,0.19467372683383,0.1,0,0,-9.3472,-9.3472,-9.2472,0,240.2,46.192307692308,NA,NA,50.041666666667,0.25,-9.2805,264.5,0.01937984496124,NA,NA,0.51351351351351,0.4139,0,-17.2,263.5,0.0037950664136622,0.0037807183364839,-9.1,-1.8958333333333,-5.6,-1.1666666666667,43.196721311475,-1.9473333333333,54.895833333333,-0.0667,NA,4.8,NA,-1.4918032786885,13.9,5.98,1,931001,5.2,-9.9,5.2,1,NA
"4",2009-12-31,27.5,1.39,1.2523,NA,-2.4,5.9,0,4.9,0.043248014121801,NA,0.83050847457627,NA,0.1149884213048,0.2,0,0,NA,NA,NA,0,108.4,30.111111111111,NA,NA,NA,NA,NA,113.3,0.016949152542373,-0.32,NA,0.73027989821883,0.2787,0.016949152542373,-7.3,113.3,0,0,-9.7,NA,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,3.39,0,90019,3.6,-9.3,3.6,0.9,NA
"5",2008-12-31,27.1,2.29,0.7426,0,6.3,14.6,0.1,12.6,0.84,7,0.86301369863014,-3.8722,0.17236735793159,0.4,0,0,-11.7065,-11.7065,-11.3065,0,2.4,24,NA,NA,1.3333333333333,NA,-7.5343,15,0.041095890410959,NA,-0.6257,0.90156599552573,0.2848,0.027397260273973,-6.3,15,0,0,-12,-6.6666666666667,-4.1,-2.2777777777778,2.3809523809524,-6.5036222222222,8.3333333333333,-4.1722,NA,1.8,NA,-1.9047619047619,13.1,0.57,0,77834,0.1,-11.6,0.1,0.8,NA
"6",2007-12-31,26.9,3.15,0.6324,0,15,23.9,0.1,21.9,0.23548387096774,4.5625,0.9163179916318,-1.5,0.22770398481973,1.4,0,0,-14.347,-14.347,-12.947,0,71.1,19.75,NA,NA,14.8125,NA,-11.547,93,0.03347280334728,NA,0.0983,0.45518867924528,0.4899,0.03347280334728,-6.9,93,0,0,-12.9,-2.6875,-6,-1.25,6.2,-2.9889666666667,19.375,-2.8,NA,4.8,NA,-0.86,17.6,3.3501,0,64114,3.6,-9.7,3.6,0.9,NA
"7",2006-12-31,26.4,3.52,0.6612,0,24.6,37.8,0.2,34.1,0.47625698324022,7.9302325581395,0.9021164021164,0.593,0.21778584392014,1.5,0,0,-14.6236,-14.6236,-13.1236,0,37.5,7.8125,NA,NA,8.7209302325581,NA,-13.9166,71.6,0.029100529100529,NA,-0.1421,0.52923076923077,0.4479,0.037037037037037,-9.5,71.6,0,0,-14.5,-3.3720930232558,-5.1,-1.1860465116279,2.9105691056911,-3.4008372093023,16.651162790698,-0.707,NA,4.3,NA,-0.58943089430894,17.2,2.83,0,231020,4.8,-13.2,4.8,0.9,NA
"8",2005-12-31,26.2,1.24,0.7153,0,NA,56.1,0.3,50.3,0.8453781512605,11.97619047619,0.89661319073084,0.7286,0.34670767510136,1.7,0,0,-18.5487,-18.5487,-16.8487,0,9.2,2.1904761904762,NA,NA,1.8775510204082,0.5,-17.8772,59.5,0.035650623885918,-0.57,0.2474,0.56564019448947,0.4704,0.035650623885918,-12.3,59.5,0,0,-18.5,-3.7755102040816,-5.1,-1.0408163265306,1.5657894736842,-3.7854387755102,12.142857142857,-0.6714,0.036198244693202,4.9,1.5080203252033,-0.48684210526316,21.9,2.21,0,253443,4.2,-16.5,4.2,0.85,1.5657894736842
"9",2004-12-31,19.2,0.38,0.6886,0,NA,34.7,2.6,27.8,0.27497527200791,5.6734693877551,NA,-3.7931,0.11036886436248,2.8,0,0,-24.9023,-24.9023,-22.1023,0,73.3,14.959183673469,NA,NA,25.275862068965,0.5,-20.9092,101.1,0.0835734870317,-0.73,2.2071,0.62951575710992,0.6359,0.077809798270893,-15.6,101.1,0,0,-28.3,-9.7586206896552,-5.5,-1.8965517241379,8.2868852459016,-8.587,34.862068965517,-3.9931,0.16035078881372,2.9,1.5963012820513,-2.3196721311475,27.8,3.7,0,83069,4.9,-19.7,4.9,0.8,8.2868852459016
"10",2003-12-31,19,0,0,0,NA,50.1,1.3,43.8,0.25172413793103,48.666666666667,NA,-15.8,0,2.2,0,0,-28.9332,-28.9332,-26.7332,0,130.2,NA,NA,NA,144.66666666667,NA,-28.0332,174,0.045908183632735,NA,0,0.48148148148148,0.6192,0.057884231536926,-5.5,174,0,0,-29.9,-33.222222222222,-4.2,-4.6666666666667,4.5430809399478,-32.147944444444,193.33333333333,-0.9,NA,0.9,NA,-0.78067885117493,27.5,9.32,0,171821,1.5,-29.6,1.5,0.75,NA
