"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,90.7,0.8,0.5369,0.3615,485.7,1323.6,57.2,526.9,0.0323,1.1819,0.3981,-32.06,0.37,31.1,0,0,-112,-111.96,-81,0,15783.3,67.51,14.52,35.4,0.31,-105.99,16310.2,0.278,4.42,38.7,0.265,0.5483,0.93,0.78,0,233.8,16035.2,0.0171,0.0169,-221.8,-0.4975,-22.3,-0.05,0,33.01,-0.2511,35.97,-5.96,NA,445.8,-0.4789,-0.4567,615.7,171.07,275,488062,1086.8,226.6,70.76,1086.8,1.05,21.44
"2",2010-12-31,87.2,0.71,0.4598,0,527.8,1089.4,99.7,249.4,0.050765347663247,0.54323676758876,0.22893335781164,0.0051,0.59808612440191,19.7,0,0,-97.0311,-97.0311,-77.3311,0,4663.4,16.750718390805,10.215553121577,10.157699847528,0.185,-177.0362,4912.8,0.31898292638149,NA,NA,0.0943,0.42398859383354,0.952,0.7464,0,278.4,4912.8,0,0,-104.5,-0.22761925506426,-0.9,-0.0019603572206491,NA,9.3080712391057,-0.21135068612503,10.700936615117,80.0051,NA,459.1,-0.34853125,-0.19799166350891,534.8,55.43,0,1071374,456.5,-182.8,NA,456.5,1.1,9.3080712391057
"3",2009-12-31,78.9,1.11,0.5717,0,396.8,741.2,97.3,341.3,0.12401438901203,0.89981544951226,0.46046950890448,-1.0519,0.48102151478048,14.2,0,0,-74.0535,-74.0535,-59.8535,0,2410.8,43.437837837838,5.7100900047371,6.3559187977854,0.18,-156.1017,2752.1,0.35037776578521,NA,NA,0.4973,0.24802353373782,0.938,0.7358,0,55.5,2752.1,0,0,-67.8,-0.17875032955444,-9.3,-0.024518850514105,NA,6.9357358870968,-0.19523738465595,7.2557342472977,82.0481,NA,379.3,-1.334298018018,-0.17086693548387,437.4,32.83,0,512630,422.2,-126.3,NA,422.2,1.1,6.9357358870968
"4",2008-12-31,79.9,1.18,0.5925,0,418.9,670,34.9,474.8,0.25681523150151,1.8503507404521,0.70865671641791,-12.1699,0.31054852320675,11.3,0,0,-72.6274,-72.6274,-61.3274,0,1374,NA,4.0293255131965,5.3546375681995,0.265,-84.0575,1848.8,0.13119402985075,NA,NA,0.7353,0.35780315388798,0.925,0.6792,0,-55.9,1848.8,0,0,-82.7,-0.32229150428683,-37,-0.14419329696025,NA,4.4134638338506,-0.28303741231489,7.2049883086516,11.4301,NA,256.6,NA,-0.19742181904989,317,24.18,0,509045,341,-64.9,NA,341,1.15,NA
"5",2007-12-31,78.9,1.52,0.6086,0.30289262456459,460.3,936.3,18.4,766.5,0.47256473489519,5.2535983550377,0.81864786927267,42.3968,0.34176799211305,11.5,0,0,-93.5542,-93.5542,-82.0542,0,855.5,NA,3.2356278366112,5.8636052090473,0.225,-142.851,1622,0.062266367617217,-0.95,NA,0.5131,0.33350937417481,0.925,0.7444,0,-106.2,1422,0.14064697609001,0.1233045622688,-105.6,-0.72378341329678,-52.2,-0.35777930089102,NA,3.0892895937432,-0.64122111034955,9.7464016449623,49.2968,NA,145.9,NA,-0.2294155985227,228,18.36,200,394592,264.4,-64.3,NA,264.4,1.3,NA
"6",2006-12-31,65.4,1.75,0.6167,0.48007681228997,216.6,585.1,2.8,459.3,0.25602006688963,5.74125,0.78499401811656,6.6885,0.36322360953462,14.6,0,0,-91.12,-91.12,-76.52,0,1334.7,NA,13.96129707113,16.68375,0.14,-86.0085,1794,0.084430011963767,-1.54,NA,-0.0986,0.35918656892883,0.907,0.8323,0,-42.7,1594,0.12547051442911,0.11148272017837,-102.3,-1.27875,-34.3,-0.42875,NA,7.3591874422899,-1.139,19.925,-5.1115,NA,80,NA,-0.47229916897507,148.4,22.49,200,602821,95.6,-123.5,NA,95.6,1.4,NA
"7",2005-12-31,56.4,2.22,0.5799,0.63694267515924,114,423.5,5,298.5,0.22201561918929,3.8968668407311,0.70484061393152,-0.1191,0.44145542334885,15.5,0,0,-114.0689,-114.0689,-98.5689,0,1046,67.483870967742,13.009950248756,13.655352480418,-0.02,-103.4498,1344.5,0.14285714285714,-2.05,NA,-0.3385,0.39098796529527,0.892,0.633,0,15.5,1144.5,0.17474879860201,0.14875418371142,-95.4,-1.2454308093995,2.4,0.031331592689295,NA,10.039473684211,-1.4891498694517,14.941253263708,-10.6191,NA,76.6,-7.3592825806452,-0.83684210526316,165.6,20.07,200,278348,80.4,-101.9,NA,80.4,1.6,4.281847133758
"8",2004-12-31,55.9,2.38,0.9388,0.52287581699346,NA,473.1,6.2,296,0.25858303485629,2.6982680036463,0.62566053688438,-0.5785,0.50703025138475,15.4,0,0,-53.8491,-53.8491,-38.4491,0,848.7,9.8115606936416,7.7365542388332,7.4122270742358,-0.005,-44.0706,1144.7,0.15049672373705,-2.55,NA,0.8374,0.56996268656716,0.886,0.5322,0,86.5,944.7,0.21170742034508,0.17471826679479,-64.8,-0.56593886462882,13.8,0.12052401746725,NA,5.1764383561644,-0.47029781659389,8.2506550218341,-9.7785,0.18159106250323,114.5,-0.62253294797688,-0.35506849315069,137.8,15.9,200,602930,109.7,-64.8,NA,109.7,1.65,2.9926797385621
"9",2003-12-31,55.5,1.86,0.9115,0.6084234490609,NA,479.6,29.7,282.9,0.38801261829653,2.5079787234043,NA,-17.8619,0.40811848601207,12.9,0,0,-82.646,-82.646,-69.746,0,446.2,6.5138686131387,3.9556737588653,7.1967741935484,0.06,-81.5841,729.1,0.16826522101752,-0.86,NA,0.5693,0.44435004248088,0.907,0.5155,0,68.5,515.3,0.41490393945275,0.2932382389247,-107.5,-1.7338709677419,-21.8,-0.35161290322581,NA,3.7449127906977,-1.333,8.3112903225806,-1.0619,0.012849206058018,62,-1.2065109489051,-0.78125,137.9,9.14,213.8,85032,112.8,-107.5,NA,112.8,1.4,2.07484348321
"10",2002-12-31,44.2,1.99,0.995,0.57827845176199,NA,391.6,34.4,253.4,0.24813944379162,8.0444444444444,NA,112.9,0.44,8.5,0,0,-112.702,-112.702,-104.202,0,767.8,NA,NA,24.374603174603,0.025,-138.602,1021.2,0.19611848825332,-1.97,NA,-0.1135,0.58961593172119,0.907,0.5151,0,92.8,821,0.24384896467722,0.19604386995691,-124.4,-3.9492063492063,-16.5,-0.52380952380952,NA,5.6232876712329,-3.5778412698413,26.063492063492,25.9,NA,31.5,-1.2144612068965,-0.85205479452055,129,14.16,200.2,335245,35.1,-129.1,NA,35.1,1.3,8.2737068965517
