"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-08-21,259.3,0.74,0.2858,0.1948,3772.5,16050.4,0,1569.2,0.4331,0.0978,NA,0.65,NA,0,0.0679,184.1,NA,NA,NA,0,2053.8,0.66,NA,NA,3623,0,NA,NA,NA,NA,0.1819,0.027,0.7646,0,3116.1,2710.2,0.3368,0.2519,-218.5,0,NA,0.72,NA,0,NA,NA,-0.0579,3695.5,10.65,912.8,1007721,NA,-77.9,NA,NA,1.1,0.77
"2",2011-08-21,259.2,0.91,0.3383,0.10269752454769,4121.4,15882.7,0,1004,0.34146175560317,0.063213433484231,NA,0.77593851610996,NA,0,0.0735,181.4421,NA,NA,NA,0,1936.3,0.53949458081413,NA,NA,2940.3,0,-0.04,NA,NA,NA,0.32130991931656,0.031,0.8273,0,3589.1,2468.6,0.19107996435226,0.16042580689045,-39.8,0,NA,0.5989712233707,NA,0,NA,NA,-0.0096569126995681,3225.5,9.27,471.7,2100371,NA,-228.1,NA,NA,1.05,0.64015588600292
"3",2010-08-21,240.7,0.96,0.4098,0.081024914393671,3891.4,14190,0,826.7,0.23036838878671,0.058259337561663,NA,0.67105905319668,NA,0,0.0503,163.2487,NA,NA,NA,0,2761.9,0.81046422912143,NA,NA,3588.6,0,0.22,61.954545454546,NA,NA,0.21473354231975,0.033,0.8168,0,3407.8,3245.5,0.105715606224,0.09560831522042,-158,0,NA,0.83401860512926,NA,0,NA,NA,-0.040602353908619,3111.5,13.63,343.1,1384908,NA,-44.3,NA,NA,1.1,0.8474672334396
"4",2009-08-21,240.5,0.87,0.3893,0.0080082734480655,3740.9,13266,0,888,0.365041519362,0.066938037087291,NA,0.45209350115592,NA,0,0.0667,160.2401,NA,NA,NA,0,1544.6,0.53574277687212,0.165,NA,2432.6,0,NA,NA,-0.165,NA,0.27924340467894,0.034,0.7837,0,2883.1,2402.4,0.012570762570763,0.012414700320645,-217.8,0,NA,0.6421984014542,NA,NA,NA,NA,-0.05822128364832,3125.1,10.04,30.2,1943051,NA,-103.9,NA,NA,1.1,0.64506377449551
"5",2008-08-21,230.5,0.79,0.302,0.00068211323079631,4541.6,13290.6,20.3,516.6,0.20607946385831,0.038869576994267,NA,0.60927152317881,11.044111160123,0,0.062603347046371,156.74,0,0,0,0.26444,1990.2,0.49407909436211,-0.005,NA,2506.8,0,-0.7,NA,0.015,NA,0.43630308076603,0.033,0.8245,0,4028.1,2503.7,0.0012381675120821,0.0012366363491304,226.7,0,0.69139832377592,0.55128148670072,NA,NA,NA,0,0.049916329047032,3389,11.92,3.1,1685261,NA,-91,NA,NA,1.15,0.55158756353555
"6",2007-08-21,231,0.93,0.1718,0.00089181587432256,4369.2,12612.2,19.6,565.2,0.15729711677613,0.044813751764165,NA,0.8,7.933908045977,0,0.041189089794667,147.84,0,0,0,0.31569,3028,0.79518894928964,0.015,NA,3593.2,0,0.89,16.38202247191,0.085,NA,0.27258107745913,0.031,0.7971,0,3807.9,3589.3,0.0010865628395509,0.0010853835021708,452.4,0,0.32679045092838,0.82150050352467,5.2892720306513,NA,NA,0,0.10354298269706,3154.1,14.58,3.9,1599846,NA,347.2,10.33784562212,NA,0.95,0.82165969220919
"7",2006-08-21,229.6,0.08,0.2332,0.029659995177237,4024,11543.2,37.6,343.6,0.062305069993472,0.029766442580913,NA,0.72041166380789,11.640328151986,0,0.025549909121258,137.76,0,0,0,0.25829,5171.2,1.359625598149,0.04,NA,5514.8,0,2.03,11.467980295567,0.105,NA,0.078899082568807,0.031,0.7526,0,3803.4,5391.8,0.022812418858266,0.022303619351563,463.2,0,0.29740932642487,1.3399105367793,2.9100820379965,NA,NA,0,0.11510934393638,3062.3,23.28,123,459000,NA,477,11.3035639413,NA,1.05,1.3298287918978
"8",2005-08-21,182.6,0.76,0.2685,0.030862185674531,NA,10570.8,20.1,449.1,0.090791468715253,0.042484958565104,0,0.56610800744879,11.936154417224,0,0.025894897182026,124.168,NA,NA,NA,0.32985,4497.4,1.2705955475195,0.06,NA,4946.5,0,2.713,9.6793217840029,0.105,0,0.12326043737575,0.033,0.7365,0,3539.6,4823.4,0.025521416428246,0.024886283230567,404.1,0,0.30727047760455,1.2477752483444,1.9893590695372,20.1,NA,NA,0.10453745860927,2804.8,26.26,123.1,336200,NA,404.1,11.936154417224,0,1.05,1.2401283626244
"9",2004-08-21,181.6,0.46,0.2689,0.032191295822213,NA,9712.3,22.1,451.1,0.096723701702474,NA,0,0.34213462253626,10.16457960644,0,0.020545239035954,94.432,NA,NA,NA,0.32294,4212.7,1.3080075759928,0.07,NA,4663.8,0,2.58,9.8100775193798,0.1,0,0.13188167625308,0.037,0.7194,0,3220.7,4545.6,0.026003167898627,0.025344139971697,447.2,0,0.21116279069767,1.2791535344439,1.45208280092,22.1,NA,NA,0.12584421431787,2582.1,25.31,118.2,168200,NA,447.2,10.16457960644,0,1,1.2701672204368
"10",2003-08-21,120.6,0.46,0.2371,0.036249809131165,NA,8715.4,16.3,291,0.062592759889011,NA,0,0.4277,11.804064616988,0,0.018101712873036,82.008,0,0,0,0.29786,4358.1,NA,0.095,-16.3,4649.1,0,3.776,10.007944915254,NA,0,0.22750824305229,0.036,0.7094,0,2983.5,4530.4,0.026200776973336,0.025531823363662,383.8,0,0.21367378843147,1.4355789340262,1.2425331175777,16.3,0,0,0.12161733950187,2135.4,37.79,118.7,309940,0,383.8,11.804064616988,0,1,1.4607340372046
"11",2002-08-21,NA,0.45,0.3229,0.0425,NA,7920.2,14.6,336.5,0.093923577190387,NA,0,0.2417,9.9703084462381,0,0.022,76.0914,NA,NA,NA,0.31673,3246.2,NA,0.07,NA,3582.7,0,3.37,8.4451038575668,0.1,NA,0.17845117845118,0.04,0.7192,0,2571.2,3458.7,0.035764882759418,0.034527032684847,346.9,0,0.21934678581724,1.2424830261882,1.424329778034,14.6,NA,NA,0.12461831375507,1786.8,28.46,123.7,129000,0,387.5,8.9256774193548,0,1.05,1.3933960796515
"12",2001-08-21,NA,0.95,0.347,0.046187055714764,NA,7281.4,12.7,411,0.12051372273047,NA,NA,0.82132564841499,11.044033613445,0,0.021603360116874,70.98,NA,NA,NA,0.30722,2999.4,NA,0.08,NA,3410.4,0,NA,8.9245901639344,NA,NA,0.1778962675715,0.04,0.715,NA,2151.8,3285.6,0.037770878987095,0.036396163885386,297.5,0,0.23858823529412,1.3472751876,138.05042016807,12.7,NA,NA,0.1219912248329,NA,27.22,124.1,NA,NA,350.7,9.3686911890505,NA,NA,1.330732011862
"13",2000-08-21,NA,1,0.3731,0.054248225424823,NA,6938.4,16,294,0.08494163873801,NA,NA,0.40203698740284,14.705026455027,0,0.019779916644179,65.968,-1567.2,-1567.2,-1567.2,0.29306,3167.2,NA,0.085,-1583.2,3461.2,0,NA,NA,NA,0,0.50220202398801,0.033,0.6768,NA,2031.2,3335.1,0.037809960720818,0.036432451173004,NA,NA,0.29086419753086,1.517057860262,1.730003112356,NA,NA,-0.77156360771957,0.11553857350801,1567.2,NA,NA,NA,NA,254,13.13031496063,0,NA,1.4885601238603
