"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,13.7,1.03,0.3111,0.1715,208.2,386.2,13.3,91.4,0.1901,0.0704,0.2367,-5.02,0.8,20.84,18.6,0.0313,13.7,38,22.17,57,0.4211,0.4199,389.4,2.44,0.27,10.17,6.84,0.3,0.075,0.06,32.49,480.8,0.4518,0.09,0.04,0.2238,0.242,0.5301,0.0274,159.9,437.7,0.0985,0.0896,21,0.0162,-47,-0.0362,0.4492,2.1,2.78,0.0295,0.34,-10.32,-0.4654,1298.9,0.1387,0.1009,293.2,32.86,43.1,34206,1437.6,30.5,14.35,1437.6,0.75,1.91
"2",2011-07-31,13.4,0.64,0.2688,0.16882067851373,205.8,357.1,20.2,69,0.15474321596771,0.054683785068949,0.19322318678241,-1.5951,0.65104166666667,15.909448818898,16.9,0.0135,5.4554,45.3,26.3596,62.2,0.41811,0.41743119266055,376.9,2.1103023516237,0.28249138060261,8.3200883002207,6.0594855305466,0.29870026945633,0.01,0.03,24.6547,445.9,0.49089890786894,0.125,0.0407,0.22994652406417,0.234,0.6089,0.029683562027443,178.6,404.1,0.10343974263796,0.093742991702175,25.4,0.020129973054367,-27.8,-0.022032017752417,0.21477755905512,1.9635568513119,15.909448818898,0.035901093675701,0.32025677603424,1.7049,0.064677795383939,1261.8,0.14759024076148,0.12342079689018,280.8,28.45,41.8,13231,1334.2,28.2,14.329787234043,1334.2,0.7,1.8008885298869
"3",2010-07-31,13.4,0.38,0.2854,0.16882067851373,205.8,357.1,20.2,69,0.14110429447853,0.054683785068949,0.19322318678241,-0.1013,0.65697266993693,17.606299212598,16.9,0.0108,4.8298,45.3,26.3596,62.2,0.41811,0.41743119266055,420,2.3516237402016,0.33164876816172,9.2715231788079,6.7524115755627,0.33285782215882,0.005,0.035,23.161,489,0.49089890786894,0.125,0.0407,0.16503856041131,0.239,0.682,0.029683562027443,178.6,447.2,0.093470483005367,0.085480572597137,25.4,0.020129973054367,-27.8,-0.022032017752417,0.19014803149606,2.1729834791059,35.212598425197,0.035901093675701,0.35441432873673,3.1987,0.12134670690924,1261.8,0.14759024076148,0.12342079689018,280.8,33,41.8,13119,1266.4,24.8,18.032258064516,1266.4,0.75,1.9749596122779
"4",2009-07-31,13.4,0.32,0.3278,0.16637010676157,187.4,338.8,26.6,55,0.13503560029462,0.045526032613194,0.16233766233766,-0.1885,0.36607687614399,13.54945054945,15.3,0.0332,12.2807,47.6,27.8355,62.9,0.41522,NA,352.3,2.0747938751472,0.28879416345602,7.4012605042017,5.6009538950715,0.2916149325387,NA,NA,16.724,407.3,0.47904368358914,0.125,0.063,0.15051331129285,NA,0.6632,0.031286894923259,169.8,369.9,0.10110840767775,0.091824208200344,27.3,0.022597467097095,-19.3,-0.015975498716994,0.44984175824176,1.9738527214514,NA,0.039400711861601,0.30618326297492,11.1115,0.39918370203502,1208.1,0.16393126030624,0.14567769477054,267.7,27.32,37.4,16538,1219.9,25.5,14.505882352941,1219.9,0.75,1.8118327402135
"5",2008-07-31,6.6,0.2,0.3102,0.15970515970516,171,304,24.9,47.9,0.12377260981912,0.042472069515872,0.15756578947368,0.826,0.41263700838169,15.755555555556,13.7,0.024575458392102,8.712,38.8,22.5486,52.5,0.41885,NA,339.1,2.1793059125964,0.29354224376731,8.7396907216495,6.4590476190476,0.30067387834722,NA,NA,10.5226,387,0.46644736842105,0.11,0.0589,0.2162591298825,NA,0.6195,0.034868421052632,155.6,354.5,0.091678420310296,0.083979328165375,22.5,0.019950345805994,-34,-0.030147189217946,0.3872,2.0730994152047,NA,0.034403262989892,0.31432878169888,12.026,0.53333787099041,1127.8,0.14491401028278,0.13157894736842,252.7,53.66,32.5,9499,1155.2,24.6,14.410569105691,1155.2,0.8,1.9017199017199
"6",2007-07-31,6.5,-0.34,0.2801,0.14007183170857,167.6,283.1,15.7,53.8,0.14214002642008,0.051414373088685,0.19003885552808,0.302,0.34273473759372,17.131707317073,12.4,0.020728929384966,7.28,34.3,19.9204,46.7,0.41923,NA,324.7,2.3012048192771,0.30672586434914,9.466472303207,6.9528907922912,0.31030198776758,NA,NA,16.3184,378.5,0.44436594842812,0.1,0.0231,0.20046252496584,NA,0.5829,0.037442599788061,141.1,351.2,0.077733485193622,0.072126816380449,20.5,0.019590978593272,-25.9,-0.024751529051988,0.35512195121951,2.0954653937948,NA,0.032779051987768,0.33562691131499,3.602,0.18081798886751,1046.4,0.14117938341602,0.12231503579952,235.2,49,27.3,7254,1058.6,20.6,17.04854368932,1058.6,0.6,1.9420215495126
"7",2006-07-31,3.2,-0.1,0.2206,0.1820652173913,150.5,271.5,14.3,74.7,0.2471055243136,0.07346577498033,0.27513812154696,0.1928,0.47144152311877,16.290909090909,11.7,0.0076190476190476,2.048,29.3,17.0485,41,0.41814,NA,227.6,2.0823421774931,0.22207044589716,7.7679180887372,5.5512195121951,0.22383949645948,NA,NA,14.2557,302.3,0.451197053407,0.115,0.0334,0.25345416728569,NA,0.3645,0.039042357274402,109.3,268.8,0.12462797619048,0.11081706913662,16.5,0.016227380015736,-24.2,-0.023800157356412,0.12412121212121,1.7860465116279,NA,0.02881589299764,0.26435877261998,2.7928,0.16381391924303,1016.8,0.15597893870082,0.10963455149502,228.5,85.49,33.5,22774,1024.9,17.7,15.186440677966,1024.9,0.65,1.6429347826087
"8",2005-07-31,3.2,0.34,0.1974,0.23227665706052,NA,254.5,17.9,62.8,0.27174383383817,0.063453571789431,0.2467583497053,-0.1202,0.34447821681864,12.309677419355,10.6,0.010622406639004,2.048,27.2724,15.9448,37.8724,0.41535,NA,168.3,1.520325203252,0.1700515307669,6.1710627391378,4.4438635472487,0.17108874656908,NA,NA,8.765,231.1,0.47111984282908,0.155,8e-04,0.30653266331658,NA,0.235,0.041650294695481,110.7,190.8,0.21121593291405,0.17438338381653,15.5,0.015756836433872,-19.7,-0.020026430822405,0.13212903225806,1.4324324324324,NA,0.027724357019417,0.1939615736505,7.1798,0.45029253125507,983.7,0.14403647599368,0.11636636636637,218.6,60.25,40.3,925,989.7,15.8,12.075949367089,989.7,0.65,1.3319884726225
"9",2004-07-31,3.2,0.78,0.2291,0.23503184713376,NA,231.4,14.3,37,0.23581899298917,0.038207352333746,NA,0.0302,0.68092536010476,9.0225563909774,9.5,0.009033663682015,1.088,34.4772,20.104,43.9772,0.41689,NA,119.9,0.99916666666667,0.12381247418422,3.4776605988885,2.7264127775302,0.12519578155999,NA,NA,15.2738,156.9,0.43690579083837,0.235,0.0398,0.17176536626438,NA,0.2597,0.04580812445981,120,120,0.3075,0.23518164435947,13.3,0.013887438655111,2.7,0.0028192544638196,0.081804511278196,0.99916736053289,NA,0.036,0.12530019839198,4.8302,0.24025895347488,957.7,0.1675333341,0.11074104912573,209.8,37.637,36.9,600,968.4,13.5,8.8888888888889,968.4,0.55,0.99936305732484
"10",2003-07-31,3.1,0.8,0.2785,0.295978905735,NA,216.6,10.9,48.5,0.34967555875991,0.053745567375886,NA,-1.9,0.6319,8.4504504504505,8.9,0.008592750533049,0.806,20.2,11.914,29.1,0.4102,NA,90.2,NA,NA,4.4653465346535,3.0996563573883,0.099955673758865,NA,NA,9.914,138.7,0.44459833795014,NA,0.0168,0.1849710982659,NA,0.2344,0.048938134810711,103.2,93.8,0.47867803837953,0.32372025955299,11.1,0.012300531914894,-12.6,-0.013962765957447,0.072612612612613,0.87827715355805,NA,0.02238475177305,0.10394503546099,2,0.16787029669396,902.4,0.11544534883721,0.10393258426966,196.3,30.36,44.9,1053,912.6,11.1,8.4504504504505,912.6,0.5,0.87403100775194
