"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,16.4,1.64,0.225,0.149,1386.1,6606.1,0,3386.1,1.7474,189.1676,0.5126,13813.46,0.8,11.03,1.6,0,0,-2,-1.43,0,0.1082,0.3423,-1448.3,-10.93,-80.91,-13813.29,1937.8,0,11.83,9.47,NA,0.1147,0.5236,0.0032,-1757.3,1695.1,0.1432,0.1252,153.7,8.5866,2157.6,120.5363,0,1.22,-0.0894,94.7,13811.86,17.9,0.1109,29,111.98,242.7,58470,132.5,226.8,7.47,132.5,1.1
"2",2010-12-31,12.9,1.64,0.225,0.20542895442359,948.4,5235.9,0,1898.6,1.1427023773698,82.547826086957,0.36261196737906,3297.2709,0.8,8.1349798966111,1.5,0,0,-228.2731,-160.1952,-226.7731,0.29823,0.40417522245038,-237.1,-3.2613480055021,-10.308695652174,-3455.9661,1661.5,0,11.21,8.7600356824264,0.4997,0.17642226329842,0.6661,0.004048969613629,-705,1416.3,0.17312716232437,0.14757749021968,174.1,7.5695652173913,1525.9,66.34347826087,0,1.4933572332349,-9.924917826087,61.578260869565,3295.7709,23,0.18357233234922,9.6,98.2,245.2,22197,72.7,149.4,9.4799196787149,72.7,1.1
"3",2009-12-31,13.6,1.64,0.225,0.24127164348567,801.9,4170.8,0,1583.4,1.1081251312198,98.347826086957,0.37963939771746,501.1435,0.8,8.6826923076923,1.1,0,0,-87.4749,-75.6737,-86.3749,0.13491,0.33919843597263,-154.5,-6.3842975206612,-9.5962732919255,-575.7171,1428.9,0,9.76,8.6659836065574,-0.3713,0.24932268148663,0.5379,0.0050829577059557,-526.5,1173.9,0.21722463582929,0.17845895444048,135.2,8.3975155279503,996.1,61.869565217391,0,1.463898241676,-5.4332229813665,72.913043478261,500.0435,16.1,0.16859957600698,35.2,84.58,255,17556,24.2,129.6,9.0578703703704,24.2,1.15
"4",2008-12-31,13.3,NA,NA,0.38889440746995,615.2,4358.2,0,2392.9,1.3534502262443,94.956349206349,0.54905695011702,-86.8651,NA,29.665948275862,0.8,0,0,-84.6303,-57.1356,-83.8303,0.32488,NA,-624.9,-27.169565217391,-24.797619047619,30.5295,1768,0,NA,NA,-0.2957,0.29837343273467,0.4322,0.0048643935569731,-1386.2,1376.5,0.28441699963676,0.22143665158371,46.4,1.8412698412698,995,39.484126984127,0,2.2374837451235,-3.358346031746,54.623015873016,-87.6651,25.2,0.075422626788036,53.4,73.02,391.5,30324,23,78.3,17.579821200511,23,0.45
"5",2007-12-31,11.9,NA,NA,0.11785434612373,450.6,2417.1,0,1339.2,0.94857628559286,41.981191222571,0.55405237681519,-465.2633,NA,29.318872017354,1,0,0,-46.4958,-46.4958,-45.4958,0,NA,72.6,1.3224043715847,2.2758620689655,419.7675,1411.8,0,5.38,11.895910780669,NA,0.53240267847009,0.3911,0.0087708410905631,-828.4,1351.6,0.04453980467594,0.04264060065165,46.1,1.4451410658307,645.3,20.228840125392,0,2.9995561473591,-1.4575479623825,42.369905956113,-466.2633,31.9,0.1023080337328,31.4,64,60.2,8476,54.9,-13.8,NA,54.9,0.6
"6",2006-12-31,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1208.3,NA,NA,NA,1208.3,NA,NA,NA,NA,NA,0.1787,NA,0,1208.3,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.48,0,7744,NA,NA,NA,NA,0.9
