"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,114.8,0.77,0.3108,0.3106,773,1303.7,73.2,195.1,0.0306,0.442,0.1497,14.4,0.62,NA,36.1,0,0,-458,-458.22,-422,0,NA,6173.1,6.66,12.95,NA,NA,13.99,0.195,0.145,-509.73,6368.2,0.2063,NA,NA,0.465,0.248,0.035,NA,0.1778,926.2,6019.9,0.0579,0.0547,-53.8,-0.1219,180.6,0.4092,NA,7.79,NA,-1.0381,13.64,51.5,NA,441.4,-0.4947,-0.0696,389.8,49.2,348.3,497337,476.6,-88.1,NA,476.6,1.05,5.68
"2",2010-12-31,110.7,1.01,0.3618,0.34481183777859,717.3,1262.6,49.5,274.1,0.0645366359013,0.72840818495881,0.21709171550768,22.8762,0.76008844665561,18.803206997085,27.7,0,0,0.6,0.6,28.3,0,NA,3973.1,4.8411112464969,9.1314640312572,6621.8333333333,140.39222614841,10.558331118788,0.1,0.095,-44.0762,4247.2,0.17574845556788,NA,NA,0.0567,0.21261722080136,0.03,NA,0.124346586409,820.7,3869.7,0.097552781869396,0.088882087022038,205.8,0.54690406590486,146.4,0.38905128886527,0,5.3948138854036,1.8803206997085,0.0015944724953495,10.283550358756,44.6762,74.460359642129,376.3,0.00073108322164007,0.28690924299456,299,34.38,377.5,872449,435.1,-39.3,NA,435.1,1.1,3.8794300328827
"3",2009-12-31,101,1.44,0.4684,0.6067374588063,322.2,917.2,89.8,300.7,0.08865760533066,0.92608561749307,0.32784561709551,9.9274,0.61379163108454,NA,21,0,0,16.4,6.56,37.4,0.6,1,3091,5.9602776706518,8.5623268698061,188.4756097561,82.647058823529,9.519556513705,0.71,0.16,-72.1674,3391.7,0.21707370257305,0.16,168.3125,0.0831,0.23010004349717,0.031,NA,0.070540776275621,518.6,2894.6,0.17173357285981,0.14656367013592,-0.5,-0.0015398829688944,88.8,0.27348321527564,NA,8.983860955928,NA,0.050508161379735,8.9146904835233,78.7274,12.00113425526,324.7,0.01264944080216,-0.0015518311607697,239.4,26.93,497.1,843088,361,10.6,273.07547169811,361,1.15,4.1397534480654
"4",2008-12-31,99.9,1.37,0.461,0.64255264177755,276.7,906.7,56.4,559.8,0.23333750156309,1.8880269814502,0.61740377192015,6.5131,0.39913232104121,56.767164179104,17.6,0,0,39.8,35.5386,57.4,0.10707,NA,1839.3,8.5828278114792,5.4594835262689,46.213567839196,32.043554006969,6.2033726812816,NA,0.22,-9.7744,2399.1,0.13786257858167,0.16,117.5625,1.3713,0.36264441591784,0.027,NA,0.031873828168082,214.3,1901.7,0.2615554503865,0.20732774790546,33.5,0.11298482293423,47.8,0.16121416526138,0,6.8727864112757,NA,0.13423271500843,6.4138279932546,45.3131,1.2750371265621,296.5,0.16583580961269,0.12106975063245,106.6,18.81,497.4,1720003,336.9,21.9,86.835616438356,336.9,1.15,3.0992119881152
"5",2007-12-31,97.1,1.6,0.4177,0.72602539775215,187.7,815.3,22.4,585.6,0.26921662375874,4.8157894736842,0.71826321599411,2.7855,0.47881254488868,NA,12.3,0,0,-57.2555,-57.2555,-44.9555,0,NA,1589.6,15.975879396985,6.6677852348993,NA,NA,13.072368421053,0.3867,NA,-70.141,2175.2,0.094198454556605,0.29,61.379310344828,0.3638,0.51096370001843,NA,NA,0.037900159450509,99.5,1677.8,0.29645964954107,0.22866862817212,-15.8,-0.12993421052632,-2.9,-0.023848684210526,NA,8.9387320191795,NA,-0.47085131578947,13.797697368421,12.8855,NA,121.6,-0.57543236180905,-0.084176877996803,77.5,17.8,497.4,1160947,238.4,8.9,188.51685393258,238.4,1.25,3.175010947307
"6",2006-12-31,91.7,1.4,0.3235,0.65525314603453,117.8,463.4,24.6,288.8,0.078111054012387,3.4299287410926,0.62321968062149,0.1197,0.56877897990726,NA,12,0,0,-43.9876,-43.9876,-31.9876,0,NA,3408.5,64.432892249527,34.568965517241,NA,NA,40.480997624703,NA,NA,-56.7073,3697.3,0.11976694000863,0.1,377.3,1.661,0.41062618595825,NA,NA,0.070996978851964,52.9,3473.4,0.064461334715265,0.060557704270684,-28.5,-0.33847980997625,-0.7,-0.008313539192399,NA,29.485568760611,NA,-0.52241781472684,41.251781472684,12.7197,NA,84.2,-0.83152325141777,-0.24193548387097,49,37.73,223.9,2117787,98.6,-30.6,NA,98.6,1.15,10.820310213638
"7",2005-12-31,74.3,1.67,0.379,NA,-77.5,195.3,3,47.8,0.028835133015624,1.8599221789883,0.2447516641065,21.3128,0.37994722955145,NA,10.1,0,0,-76.1567,-76.1567,-66.0567,0,NA,1609.9,78.150485436893,26.177235772358,NA,NA,62.642023346304,NA,NA,-90.3696,1657.7,0.19098822324629,-0.36,NA,0.1954,0.27556325823224,NA,0.9753,0.18740399385561,20.6,1511.8,0.096507474533668,0.088013512698317,-74.3,-2.8910505836576,-15.3,-0.59533073929961,NA,NA,NA,-2.9632961089494,58.824902723735,14.2128,NA,25.7,-3.6969276699029,NA,41.6,16.39,145.9,546110,61.5,-33.1,NA,61.5,0.9,24.235380116959
"8",2004-12-31,64.5,-0.19,0.5712,NA,NA,233,24.1,48.8,0.050190270492646,1.6266666666667,0.20944206008584,-18.3258,-0.066526610644258,NA,13.3,0,0,-107.9535,-107.9535,-94.6535,0,NA,923.5,32.632508833922,30.783333333333,NA,NA,49.650537634409,NA,NA,-100.4277,972.3,0.1824034334764,-1.07,NA,0.5291,0.45341614906832,NA,0.7953,0.26394849785408,28.3,827.2,0.17541102514507,0.14923377558367,-119.2,-6.4086021505376,-29.9,-1.6075268817204,NA,NA,NA,-5.8039537634409,44.47311827957,-7.5258,0.069713382734952,18.6,-3.8146127208481,NA,69.1,10.78,145.1,449677,30,-73.5,NA,30,1.1,NA
"9",2003-12-31,64.2,0.63,0.6231,0.52131546894032,NA,256.3,6,222.4,0.41843838193791,46.333333333333,NA,4.3438,0.20221473278767,NA,9.4,0,0,-47.668,-47.668,-38.268,0,NA,309.1,12.933054393305,64.395833333333,NA,NA,25.545454545455,NA,NA,-48.6118,531.5,0.098322278579789,-1.37,NA,-0.2718,0.39246467817896,NA,0.7284,0,23.9,403.1,0.31853138179112,0.24158043273753,-76.4,-6.3140495867769,-7.2,-0.59504132231405,NA,3.4189991518236,NA,-3.9395,33.314049586777,0.9438,-0.019799501612563,12.1,-1.9944748953975,-0.64800678541137,14.4,6.26,128.4,174049,4.8,-93.5,NA,4.8,1.1,2.1579374746244
"10",2002-12-31,53.8,1.36,0.6996,0.056513409961686,NA,110.6,4.9,78.9,0.16444351813256,5.6762589928058,NA,163.8,0.4286,NA,7.8,0,0,-69.2116,-69.2116,-61.4116,0,NA,400.9,NA,NA,NA,NA,28.841726618705,0.24,NA,-66.3116,479.8,0.25497287522604,-1.21,NA,0.1606,0.4049331963001,NA,0.6324,0,25.5,473.9,0.01244988394176,0.012296790329304,-77.4,-5.568345323741,-2.2,-0.15827338129496,NA,4.8111675126904,NA,-4.9792510791367,34.093525179856,-2.9,NA,13.9,-2.71418,-0.78578680203046,28.8,7.45,5.9,444382,22.3,-70,NA,22.3,1,15.721568627451
