"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,5.8,2.63,0.5529,0.2749,1126.2,21439.9,0,194.3,0.0606,0.0091,NA,0.8,92.3,0,0,0,459,431.84,459,0.0594,0.0594,3010.8,2.22,6.56,6.56,NA,431.84,3205.1,0,6.2,3.99,NA,0.448,0.034,0.4881,0,1358.8,2778.2,0.1537,0.1332,30.1,0,NA,2.47,NA,0,0,NA,0.3178,0.0267,0,24.73,426.9,27068,NA,-58.7,NA,NA,2,2.06
"2",2010-12-31,116.1,4.25,1.1614,0.27014906518444,1155.5,21076.9,5.9,121.9,0.19312420785805,0.0057835829747259,NA,0.41975202342001,NA,0,0,0,620,620,620,0,NA,509.3,0.34852528570451,0.82145161290323,0.82145161290323,NA,614.1,631.2,0,0.35,4.8,NA,0.4934725848564,0.029,0.4944,0,1461.3,203.5,2.1017199017199,0.67759822560203,-24.6,0,NA,0.17611423626136,NA,5.9,0.0095161290322581,NA,0.42427975090673,-0.021289485071398,0,1.68,427.7,534709,NA,24.6,8.2723577235772,NA,1.95,0.39868620515412
"3",2009-12-31,115.7,3.84,1.2269,0.27451734975306,1131.1,24582.3,5.4,257.7,0.35099427948788,0.010483152512173,NA,0.41771945553835,NA,0,0,0,684.2,684.2,684.2,0,NA,476.5,0.36614415245121,0.6964337912891,0.6964337912891,NA,678.8,734.2,0,0.28,9.0714285714286,NA,0.40808823529412,NA,0.5236,0,1301.4,306.2,1.3977792292619,0.58294742576954,-168.2,0,NA,0.27070992838829,NA,5.4,0.0078924291142941,NA,0.525741509144,-0.14870480063655,0,2.54,428,624037,NA,-51.4,NA,NA,2.05,0.47091270604836
"4",2008-12-31,114.4,4.07,1.1829,0.34618291761149,865,25768.8,17.9,381.1,0.48393650793651,0.014789202446369,NA,0.28404767943191,NA,0,0,0,765.9,765.9,765.9,0,NA,406.4,0.43146830873766,0.53061757409583,0.53061757409583,0.035,NA,787.5,0,NA,NA,NA,0.91666666666667,NA,0.608,0.015957281673962,941.9,329.5,1.3899848254932,0.5815873015873,-174.4,0,NA,0.38092485549133,NA,NA,NA,NA,0.81314364582227,-0.20161849710983,0,2.78,458,1356320,NA,-255.8,NA,NA,2.1,0.5952380952381
"5",2007-12-31,114.3,2.26,0.5202,0.17149679800282,2289.9,30206.9,19.6,577.7,0.76587564629458,0.019124769506305,NA,0.46136101499423,2.0716925351072,0,0.065244381020335,18.288,798.3,672.9589,798.3,0.15701,NA,176.6,0.080779434635441,0.22122009269698,0.22122009269698,0.025,NA,754.3,0,0.8,4.0875,NA,0.8578073089701,0.011,0.6206,0.022931846697278,2186.2,280.3,1.6910453085979,0.62839718944717,135.3,0,0.13516629711752,0.12240709201275,0.82867701404287,NA,NA,NA,0.30782129585582,0.059085549587318,NA,3.27,474,1764680,NA,40.8,6.8700980392157,NA,1.5,0.27291146568255
"6",2006-12-31,113.7,1.61,0.2199,0.21932060189226,2236.1,28973.2,19.7,404.9,0.20166351230202,0.013974983778112,NA,0.8,11.496666666667,0,0.013186430849522,18.192,839.7,704.2228,839.7,0.16134,NA,1602.9,0.65174432788485,1.908896034298,1.908896034298,0.1,NA,2007.8,0,1.37,8.2992700729927,NA,0.19209039548023,0.011,0.6474,0.024457084478069,2459.4,1379.6,0.45534937663091,0.31287976890128,120,0,0.1516,0.61696704083002,1.1496666666667,NA,NA,NA,0.28633927055379,0.053664862930996,NA,11.37,628.2,825950,NA,162.7,8.479409956976,NA,1.4,0.70097405997975
"7",2005-12-31,95.1,2.01,0.2502,0.27252627763683,2007.1,27716.2,25.9,301.5,0.11715107242773,0.010878114604455,NA,0.8,15.704310344828,0,0.0083526376461547,15.216,928.7,731.602,928.7,0.21223,NA,2272.1,0.92455747711088,2.4465381716378,2.4465381716378,0.125,NA,2573.6,0,0.68,23.367647058824,NA,0.14888010540184,NA,0.6229,0.027550674334866,2457.5,1821.7,0.41274633584015,0.29215884364315,116,0,0.1311724137931,0.90762792088087,1.2563448275862,NA,NA,NA,0.29770172899288,0.057794828359324,NA,15.89,751.9,368600,NA,105.8,17.218336483932,NA,1.35,0.93280173976078
"8",2004-12-31,94.9,0.41,0.3354,0.2546071060003,NA,28362.6,9.3,435,0.21704420716495,0.015337098855535,0,0.24448419797257,15.219003476246,0,0.011721611721612,15.184,NA,NA,NA,0.29519,NA,1569.2,0.68878939513651,NA,NA,0.125,NA,2004.2,0,NA,NA,0,0.15938410320433,NA,0.6306,0.025935563030188,2278.2,1313.4,0.52596314907873,0.34467618002195,86.3,0,0.17594438006953,0.64942642405063,1.2175202780996,9.3,NA,NA,NA,0.04267207278481,0,13.65,690.8,235400,NA,106.5,12.332394366197,0,1.35,0.73868494766328
"9",2003-12-31,94.4,0.47,0.3535,0.24702334931189,NA,27559.2,17.6,447.9,0.24559960519822,NA,0,0.26591230551627,NA,0,0.012779552715655,15.104,NA,NA,NA,0,NA,1375.8,0.64322782738791,NA,NA,NA,NA,1823.7,0,NA,NA,0,0.21083333333333,NA,0.574,0.027395570263288,2138.9,1184.7,0.53937705748291,0.3503865767396,-4.1,0,NA,0.60822466372317,NA,17.6,NA,NA,NA,-0.0021049389054318,0,12.52,639,199000,NA,66,17.95,0,1.35,0.70500231946807
"10",2002-12-31,94,0,0,0.24076980568012,NA,25245.7,15.7,1058.5,0.59992065291317,NA,0,0,NA,0,0.013427372556022,15.04,1387.2,1387.2,1387.2,0,NA,705.9,NA,0.50886678200692,0.50886678200692,0.1295,1371.5,1764.4,0.0043571776579774,0.55,21.945454545454,0,0.33663366336634,NA,0.5766,0.030183357957989,1617.5,1120.1,0.57521649852692,0.36516662888234,-113.9,0,NA,0.55131170940592,NA,15.7,0.011317762399077,0,0.85761978361669,-0.056061426391692,0,12.07,644.3,503043,0,-153.1,NA,0,1.3,0.4364142194745
