"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-08-31,9,1.94,0.4125,0.4164,98.1,216.5,5.2,15.2,0.0652,0.1021,0.0702,0,0.8,14.31,5.9,0.0221,3.6,18,11.54,23,0.3403,0.3372,217.9,1.43,1.46,12.45,9.31,1.46,12.24,233.1,0.2277,0.06,0.01,0.2871,NA,0.46,0.3473,152.9,163.1,0.4292,0.3003,11.4,0.0766,43.9,0.2948,0.3158,1.66,0.1175,1.1,-0.7,-0.0606,148.9,0.0755,0.1162,30.2,18.6,70,14136,148.9,11.4,14.31,148.9,1,1.39
"2",2011-08-31,9,1.26,0.3907,0.12141491395793,91.9,128.9,4.5,15,0.1063829787234,0.12406947890819,0.11636927851047,0,0.63987714358843,11.770642201835,5.1,0.0244,3.1305,13.8,9.3271,18.9,0.32412,0.32716049382716,126,1.40625,1.0421836228288,9.1304347826087,6.6666666666667,1.0421836228288,9.9271,141,0.22963537626067,0.075,-0.0012,0.31807145334721,NA,0.4867,0.26532195500388,89.6,128.3,0.098986749805144,0.090070921985816,10.9,0.090157154673284,26.5,0.2191894127378,0.28720366972477,1.3960826985854,0.11414392059553,1.0612076095947,-0.6,-0.064328373186905,120.9,0.10409758928571,0.11860718171926,26.8,13.9,12.7,16367,120.9,10.9,11.770642201835,120.9,1,1.3479923518164
"3",2010-08-31,8.8,0.68,0.4428,0.17342799188641,81.5,123.2,3.6,17.3,0.11026131293818,0.14574557708509,0.14042207792208,0,0.56458897922313,13.065420560748,6.1,0.022,3.0756,16.8,10.9502,22.9,0.3482,0.35151515151515,139.6,1.7170971709717,1.1760741364785,8.3095238095238,6.0960698689956,1.1760741364785,13.4502,156.9,0.2224025974026,0.11,0.0951,0.27328767123288,NA,0.3914,0.28733766233766,81.3,139.8,0.12231759656652,0.10898661567878,10.7,0.090143218197136,19.6,0.16512215669756,0.28743925233645,1.7153374233129,0.14153327716933,1.1777590564448,-2.5,-0.22830549832698,118.7,0.13468929889299,0.13128834355828,27.2,16.3,17.1,11881,118.7,10.7,13.065420560748,118.7,1,1.5912778904665
"4",2009-08-31,8.7,0.42,0.451,0,70.2,91.1,5.6,11.6,0.1198347107438,0.10780669144981,0.12733260153677,0,0.3370288248337,15.125,3.7,0.018,1.7424,9.8,6.3122,13.5,0.3559,NA,85.2,1.4539249146758,0.79182156133829,8.6938775510204,6.3111111111111,0.79182156133829,4.4122,96.8,0.25466520307355,0.125,-0.2174,0.36073059360731,NA,0.4905,0.20965971459934,58.6,96.8,0,0,6.4,0.059479553903346,16.4,0.15241635687732,0.27225,1.3789173789174,0.091078066914498,0.8996282527881,1.9,0.30100535789537,107.6,0.10771638225256,0.091168091168091,22,11.81,0,15549,107.6,6.4,15.125,107.6,0.95,1.3789173789174
"5",2008-08-31,8.4,0.55,0.4384,0,66.2,90.3,3.1,3.9,0.035454545454546,0.029433962264151,0.043189368770764,0,0.23722627737226,8.8709677419355,3.8,0.026727272727273,2.94,18.9,12.1276,22.7,0.35833,NA,106.1,1.7030497592295,0.80075471698113,5.6137566137566,4.6740088105727,0.80075471698113,12.8276,110,0.24252491694352,0.125,0.0175,0.50896336710834,NA,0.4939,0.23255813953488,62.3,110,0,0,12.4,0.093584905660377,19.7,0.14867924528302,0.23709677419355,1.6616314199396,0.14264150943396,0.83018867924528,-0.7,-0.05771975787716,132.5,0.19466393258427,0.18731117824773,24,11.47,0,17253,132.5,12.4,8.8709677419355,132.5,0.65,1.6616314199396
"6",2007-08-31,7.8,0.67,0.276,0.21463414634146,48.3,78.8,1.8,2.4,0.01108545034642,0.022140221402214,0.030456852791878,-2.8044,0.34782608695652,30.80303030303,2.9,0,0,11,7.4732,13.9,0.32062,NA,214.1,3.6226734348562,1.7210610932476,19.463636363636,15.402877697842,1.9750922509225,11.3776,216.5,0.23477157360406,0.01,0.162,0.34567634675591,NA,0.3565,0.24238578680203,59.1,203.3,0.064928676832268,0.060969976905312,6.6,0.060885608856089,19,0.17527675276753,0,4.2091097308489,0.10147601476015,1.8754612546125,-3.9044,-0.52245871828063,108.4,0.12644974619289,0.13664596273292,19.8,25.02,13.2,3700,124.4,9.3,21.860215053763,124.4,0.6,3.520325203252
"7",2006-08-31,3.9,0.73,0.2004,0.21463414634146,48.3,78.8,1.8,2.4,0.021164021164021,0.022140221402214,0.030456852791878,0,0.43912175648703,15.181818181818,2.9,0.015568862275449,1.56,11,7.4732,13.9,0.32062,NA,111,1.8781725888325,1.0239852398524,10.090909090909,7.9856115107914,1.0239852398524,8.5732,113.4,0.23477157360406,0.01,0.162,0.32118451025057,NA,0.2368,0.24238578680203,59.1,100.2,0.13173652694611,0.11640211640212,6.6,0.060885608856089,19,0.17527675276753,0.23636363636364,2.0745341614907,0.10147601476015,0.92435424354244,-1.1,-0.14719302893815,108.4,0.12644974619289,0.13664596273292,19.8,25.45,13.2,200,108.4,6.1,16.426229508197,108.4,0.55,1.8439024390244
"8",2005-08-31,3.8,-0.03,0.2275,0.23015873015873,NA,63.9,3.1,0.8,0.011904761904762,0.0087527352297593,0.012519561815336,0,-0.026373626373626,10.692307692308,2.2,0.024221453287197,1.33,8.5395,5.3991,10.7395,0.36775,NA,66.4,1.3387096774194,0.72647702407002,7.7756308917384,6.1827831835747,0.72647702407002,4.4991,67.2,0.29107981220657,NA,0.0371,0.16694435188271,NA,0.2321,0.14866979655712,49.6,55.6,0.20863309352518,0.17261904761905,5.2,0.056892778993435,19.1,0.2089715536105,0.25576923076923,1.4329896907216,0.093429978118162,0.60831509846827,0.9,0.16669448380865,91.4,0.10885279989919,0.1340206185567,16.6,14.45,11.6,100,91.4,5.2,10.692307692308,91.4,0.6,1.3333333333333
"9",2004-08-31,3.8,0.15,0.2261,0.23076923076923,NA,59.3,3.2,1.4,0.020057306590258,0.016073478760046,NA,0,0.13268465280849,11.509803921569,2,0,0,11.4362,6.8564,13.4362,0.40047,NA,68.4,1.4646680942184,0.78530424799081,5.9809919877442,5.0907136897776,0.78530424799081,5.6564,69.8,0.29510961214165,0.02,0.2524,0.15122615803815,NA,0.1897,0.15008431703204,46.7,58.7,0.18909710391823,0.15902578796562,5.1,0.058553386911596,16.5,0.1894374282434,0,1.5864864864865,0.1313,0.67393800229621,1.2,0.17501990558523,87.1,0.1468171942591,0.13783783783784,15.9,15.9,11.1,2200,87.1,5.1,11.509803921569,87.1,0.55,1.4511434511435
"10",2003-08-31,4,0.53,0.3426,0.20675105485232,NA,57.7,0.9,0.2,0.0031298904538341,0.0026809651474531,NA,0,0.3403,10.207547169811,2.2,0.01996303142329,1.08,8.3,5.534,10.5,0.33325,NA,63.7,NA,NA,7.6746987951807,6.0666666666667,0.85388739946381,6.834,63.9,0.2998266897747,NA,0.0753,0.19982698961938,NA,0.147,0.157712305026,47.2,54.1,0.181146025878,0.15336463223787,5.3,0.071045576407507,15,0.20107238605898,0.20377358490566,1.438829787234,0.1112600536193,0.72520107238606,-1.3,-0.23491039523674,74.6,0.11724629237288,0.14095744680851,14.6,13.36,9.8,1606,74.6,5.3,10.207547169811,74.6,0.55,1.3495762711864
