"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,898.7,1.6,0.4826,NA,-2586.8,7364.3,215,162.3,0.0213,0.0062,0.022,-2.68,0.8,NA,440.6,0,0,162,161.9,603,0,7448.8,2.08,0.29,46.01,12.36,0.29,NA,-0.005,390.18,7611.1,0.2583,NA,NA,-0.025,0.3811,0.064,0.4512,0.0718,3579.1,1282.9,4.9327,0.8314,-368.6,-0.0141,1851.4,0.0709,NA,NA,NA,0.0062,0.05,-228.28,-1.41,26121.2,0.0452,NA,6631.5,1.36,6328.2,17099377,26083.4,-166.3,NA,26083.4,1.25,2.03
"2",2011-01-31,890.3,2.46,1.0434,NA,-2211.4,7555.9,162.3,91.1,0.012451649057584,0.003612943140762,0.012056803292791,16.8227,0.31148169446042,NA,505.5,0,0,23.8,23.8,529.3,0,7225.2,1.8444336660455,0.28410994455586,303.57983193277,13.650481768373,0.28654486038017,NA,-0.005,350.1773,7316.3,0.26990828359295,NA,NA,-0.0207,0.26724137931034,0.053,0.3542,0.085522571765111,3917.3,1096.5,5.6724122207022,0.85012916364829,-555.4,-0.022026658840606,1962.9,0.077846828660831,NA,NA,NA,0.00094388635291038,0.043486192687657,-326.3773,-13.713331946487,25214.9,0.0060756133050826,NA,6668.7,1.26,6219.8,8644336,25431,-415.5,NA,25431,1.3,1.8252419918172
"3",2010-01-31,887.6,2.56,1.0819,NA,-1825.9,8049.9,183.9,103.6,0.01444284897743,0.0040359810043983,0.012869725089753,-39.6999,0.3119511969683,NA,534.2,0,0,12.7,12.7,546.9,0,7069.5,1.591727833566,0.28028768193226,556.65354330709,12.92649478881,0.27540895473546,NA,-0.02,402.6999,7173.1,0.28487310401371,NA,NA,-0.0253,0.34600760456274,0.086,0.2742,0.10224971738779,4441.4,802.2,7.9417850909998,0.88816550724234,-506.7,-0.019739687016685,2280.8,0.088853913849726,NA,NA,NA,0.00049475828914921,0.031251582642165,-389.9999,-30.708655803784,25669.1,0.0028594587292295,NA,6811.4,0.88,6370.9,3521240,25222.3,-520.1,NA,25222.3,1.35,1.5782398239824
"4",2009-01-31,886.1,2.73,1.0745,NA,-1343.2,8326.5,460.9,152,0.020778936719936,0.0057818199799919,0.018254969074641,-27.9351,0.20102373196836,NA,586.2,0,0,-243.4,-243.4,342.8,0,7163.1,1.5859847226835,0.27642988627286,NA,20.89585764294,0.27247207038605,NA,-0.005,-90.1649,7315.1,0.31074280910347,NA,NA,0.0125,0.84313725490196,0.053,0.3048,0.12214015492704,4516.5,1303.4,4.6123216203775,0.82182061762655,-1101.8,-0.041910587197073,1951.1,0.074216506335277,NA,NA,NA,-0.0092585196258554,0.04957910632843,-153.2351,NA,26289.3,-0.053891287501384,NA,7279.1,1.51,6011.7,8338965,25912.9,-785.9,NA,25912.9,1.35,1.5669058584128
"5",2008-01-31,830.2,1.7,0.4581,0.77767094988761,1320.3,11488,687.5,155.8,0.024806152180489,0.0064044592794778,0.013561977715877,-203.021,0.43658589827549,NA,472.5,0,0,185.2,185.2,657.7,0,6124.9,0.85662937062937,0.23008553686876,33.07181425486,9.3126045309412,0.25177581926106,NA,0.01,173.221,6280.7,0.25008704735376,-0.7,NA,-0.0989,0.84135977337111,0.088,0.3365,0.25859157381616,7150,295.2,20.27608401084,0.95299886955276,-181.3,-0.0074526859266324,2153.6,0.088527878718122,NA,0.22358554873892,NA,0.007613002943256,0.01213476495059,11.979,0.064681510452116,24326.8,0.025902097902098,-0.13731727637658,6452.3,0.31,5985.5,7651943,26620.1,-675.7,NA,26620.1,1.25,0.8596868241671
"6",2007-01-31,538.4,1.16,0.2703,0.65089962419433,1169.1,7091,334.5,106.1,0.019738800416729,0.0060601906589672,0.014962628684248,-337.0533,0.68072512023677,84.884328358209,270.3,0,0,296.3,296.3,566.6,0,5269.1,1.265606610141,0.23796319295473,17.782990212622,9.2995058242146,0.30095900660852,0.31,0.02,569.1533,5375.2,0.24581864335073,-0.15,NA,-0.0065,0.42645502645503,0.127,0.4828,0.11765618389508,4163.3,2274.9,1.3628291353466,0.57677853847299,26.8,0.0015307550392113,1273.2,0.072722287907606,0,1.9458557865024,2.7382041405874,0.01692398201934,0.1299371133844,-272.8533,-0.92086824162732,17507.7,0.071169504960008,0.022923616457104,4419.8,2.15,3100.3,32040507,22142.5,-111.8,NA,22142.5,1.15,1.2590059493137
"7",2006-01-31,527.7,1.08,0.2498,0.72983186242855,1606.9,6988.4,287.8,76.1,0.012740239737494,0.0044062300966939,0.010889473985462,-30.8728,0.67253803042434,85.932352941177,249.8,0,0,323,253.9394,572.8,0.21381,5897.1,1.2869301442507,0.33321279036259,18.257275541796,10.295216480447,0.34144519715129,0.18,0.02,246.8122,5973.2,0.24569286245779,0.06,90.666666666667,0.013,0.24778761061947,0.126,0.5722,0.12152996394024,4582.3,2921.7,1.0444261902317,0.51086519788388,34,0.001968617914423,1249.6,0.072352498407735,0,1.8182214201257,4.7740196078431,0.018701870187019,0.16916796942852,7.1272,0.028066498429996,17271,0.055417447569998,0.021158752878213,4376.1,5.44,3051.5,4478000,17697.7,29.8,98.043624161074,17697.7,1.05,1.2822428301563
"8",2005-01-31,520.4,1.13,0.4497,0.91114963403225,NA,5932.6,190.8,162.8,0.031545496822198,0.0096672288069167,0.027441593904865,1.9923,0.50255726039582,15.036585365854,246.7,0,0,449.499,412.5052,696.199,0.0823,4998,1.2715615936498,0.29678629961284,11.119046860531,7.1789822840298,0.29720986655884,0.41,0.03,466.4129,5160.8,0.29223274786771,0.08,43.5,0.0053,0.23252858958069,0.159,0.4707,0.14563597748036,3930.6,1849.5,1.7903757772371,0.64162532940629,123,0.0073142884327204,1396,0.083014200423396,0,NA,0.36674598453302,0.026729797102828,0.10998192240908,-53.9077,-0.13068358839087,16816.4,0.10494713163181,0.38092288634252,3757.1,3.48,3311.3,3409300,16840.4,123,15.036585365854,16840.4,0.9,1.4200649386385
"9",2004-01-31,516.5,1.43,0.6198,0.99761599589849,NA,6246.7,250.7,334.8,0.057804865415494,0.019845409711684,NA,25.7551,0.46143917392707,16.282776349614,264.3,0,0,649.0756,649.0756,913.3756,0,5457.1,1.3697540160643,0.32347187974203,8.4074946950713,5.9746502545218,0.32873304257729,NA,0.03,636.9205,5791.9,0.30156722749612,0.13,28.076923076923,0.0478,0.41383095499451,0.167,0.2865,0.1378647926105,3984,1900.2,2.0480475739396,0.671921131235,116.7,0.007029951085516,1583.5,0.095389267728489,0,NA,NA,0.0391,0.11446712127419,12.1551,0.018726788586137,16600.4,0.16292059236948,12.548387096774,3646.7,3.65,3891.7,1710800,16870.4,205.8,9.2332361516035,16870.4,0.85,1.4847218661882
"10",2003-01-31,515.1,0.7,0.764,NA,NA,6133.5,104.5,365.3,0.055289007280047,0.023118936263124,NA,14.1,0.2019,NA,285.3,0,0,195.2,195.2,480.5,0,6241.8,NA,NA,31.976434426229,12.990218522372,0.39502813130898,NA,0.04,376,6607.1,0.30465476481617,0.14,43.571428571429,0.0416,0.52761457109283,0.157,0.2384,0.14417543001549,2971.5,3158,1.0921785940469,0.52202933208215,-77.3,-0.0048921263978634,1415.2,0.089564518476796,NA,NA,NA,0.012353726686455,0.19986203317532,-180.8,-0.92622950819672,15800.9,0.065690728588255,NA,3496.6,6.1,3449.1,2947149,16117.6,NA,NA,16117.6,0.9,2.1005552751136
