"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,223.4,3.23,0.7957,NA,-19.6,254.7,39.4,121.2,0.1586,0.673,0.4759,-7.23,0.8,79.24,11.8,0,0,19,18.59,30,4e-04,0,642.9,12.18,3.09,34.56,21.15,3.57,0.12,-1.78,764.1,0.2929,NA,0.365,0.4153,NA,0.4908,0.0589,52.8,570.5,0.3394,0.2534,7.2,0.04,-46.5,-0.2582,0,NA,6.6,0.1033,3.17,20.37,1.0957,180.1,0.3521,NA,58,2.63,193.6,2370411,208.1,9.1,62.69,208.1,1.45,4.39
"2",2010-12-31,223.4,2.54,1.9032,NA,-19.6,254.7,39.4,121.2,0.24215784215784,0.6729594669628,0.47585394581861,0,0.19703656998739,NA,11.8,0,0,16.4,16.4,28.2,0,NA,379.3,7.0764925373134,2.106052193226,23.128048780488,13.450354609929,2.106052193226,NA,-11.2,500.5,0.2928936003141,NA,0.3684,0.46666666666667,NA,0.3173,0.058892815076561,53.6,306.1,0.63508657301535,0.38841158841159,-60.4,-0.33536923931149,-45.7,-0.25374791782343,NA,NA,NA,0.09106052193226,1.6996113270405,27.6,1.6829268292683,180.1,0.30597014925373,NA,58,1.31,194.4,1734639,180.1,-60.4,NA,180.1,1.5,2.8632723112128
"3",2009-12-31,221.7,2.71,1.947,0.73101490418737,37.9,200.5,27.5,54.1,0.14147489539749,0.41424196018377,0.26982543640898,0,0.18618387262455,NA,12.1,0,0,-22.8876,-22.8876,-10.7876,0,NA,328.3,3.7822580645161,2.5137825421133,NA,NA,2.5137825421133,NA,-38.2876,382.4,0.48079800498753,NA,-0.315,0.36405529953917,NA,0.2743,0.033416458852868,86.8,279.4,0.36864710093057,0.26935146443515,-40.4,-0.3093415007657,-18.6,-0.14241960183767,NA,7.3720316622691,NA,-0.17524931087289,2.1393568147014,15.4,NA,130.6,-0.26368156682028,-1.065963060686,48.1,1.22,103,1178608,130.6,-40.4,NA,130.6,1.45,2.7139815471966
"4",2008-12-31,212.7,2.61,1.9276,0.66957689724647,49.2,200.9,18.4,69.1,0.18367889420521,0.3775956284153,0.34395221503235,0,0.13280763643909,92.166666666667,9.8,0,0,13.8,13.521,23.6,0.02022,NA,307.1,3.8483709273183,1.6781420765027,22.253623188406,13.012711864407,1.6781420765027,NA,4.921,376.2,0.40617222498756,NA,-0.3204,0.73372781065089,NA,0.253,0.045793927327028,79.8,276.5,0.36057866184449,0.26501860712387,3,0.016393442622951,-16.9,-0.092349726775956,0,5.619918699187,NA,0.075409836065574,1.5109289617486,8.6,0.63604932311039,183,0.16943563909774,0.060975609756098,45.4,1.23,99.7,3455322,183,8.8,31.420454545455,183,1.6,2.5265278710544
"5",2007-12-31,166.7,NA,NA,NA,-13.1,256.6,31,63.7,0.29300827966881,0.30189573459716,0.24824629773967,0,NA,NA,9.6,0,0,-39.8574,-39.8574,-30.2574,0,NA,153.7,3.9511568123393,0.72843601895735,NA,NA,0.72843601895735,NA,-61.2574,217.4,0.29579111457521,-0.13,0.5664,NA,NA,0.4644,0,38.9,101.7,1.1376597836775,0.53219871205152,-54.9,-0.26018957345972,-43.5,-0.20616113744076,NA,NA,NA,-0.18889763033175,0.48199052132701,21.4,NA,211,-1.0246118251928,NA,97.8,0.68,115.7,919328,211,-63,NA,211,1.95,2.1189083820663
"6",2006-12-31,141.8,NA,NA,0.43005952380952,76.6,150.7,5.2,56.8,0.16387766878246,1.276404494382,0.37690776376908,-16.9681,NA,NA,4,0,0,-39.4354,-39.4354,-35.4354,0,NA,289.8,3.7345360824742,2.1904761904762,NA,NA,6.5123595505618,NA,-23.6673,346.6,0.40743198407432,-0.3,3.8301,0.40173913043478,NA,0.5026,0.0033178500331785,77.6,288.8,0.20013850415512,0.1667628390075,-39.9,-0.89662921348315,8.6,0.19325842696629,NA,3.7702349869452,NA,-0.88618764044944,6.4898876404494,-15.7681,NA,44.5,-0.5081875,-0.52088772845953,39.3,1.7,57.8,116100,132.3,-92,NA,132.3,1.45,2.5788690476191
"7",2005-12-31,141.8,NA,NA,0.43005952380952,76.6,150.7,5.2,56.8,0.096108291032149,1.276404494382,0.37690776376908,-1.1402,NA,NA,4,0,0,-39.4354,-39.4354,-35.4354,0,NA,534.2,6.8840206185567,10.599206349206,NA,NA,12.004494382023,NA,-39.4951,591,0.40743198407432,-0.25,3.8301,0.25,NA,0.4201,0.0033178500331785,77.6,533.2,0.10840210052513,0.097800338409475,-39.9,-0.89662921348315,8.6,0.19325842696629,NA,6.9608355091384,NA,-0.88618764044944,11.98202247191,0.0598,NA,44.5,-0.5081875,-0.52088772845953,39.3,3.77,57.8,393500,50.4,-39,NA,50.4,0.75,4.3973214285714
"8",2004-12-31,89.7,2.7,2.091,0.58333333333333,NA,9.4,0.2,0.3,0.00083449235048679,0.038961038961039,0.031914893617021,0.0125,0.25824964131994,NA,0.7,0,0,-5.283,-5.283,-4.583,0,NA,359.2,52.057971014493,46.649350649351,NA,NA,40.818181818182,NA,-4.7955,359.5,0.3936170212766,NA,-0.086,0.58646616541353,NA,0.0919,0.21276595744681,6.9,355.3,0.01182099634112,0.011682892906815,-7.2,-0.81818181818182,-0.1,-0.011363636363636,NA,118.43333333333,NA,-0.60034545454545,40.375,-0.4875,0.092276416608619,8.8,-0.76565797101449,-2.4,7.8,3.8,4.2,208300,7.7,-14,NA,7.7,0.7,49.930555555556
"9",2003-12-31,89.7,2.7,2.091,0.58333333333333,NA,9.4,0.2,0.3,0.0012875536480687,0.034090909090909,NA,0,0.25824964131994,NA,0.7,0,0,-4.583,-4.583,-3.883,0,NA,232.7,33.724637681159,26.443181818182,NA,NA,26.443181818182,NA,-4.083,233,0.3936170212766,NA,-0.086,0.52238805970149,NA,0.0593,0.21276595744681,6.9,228.8,0.018356643356643,0.018025751072961,-7.2,-0.81818181818182,-0.1,-0.011363636363636,NA,76.266666666667,NA,-0.5208,26,-0.5,0.10909789135596,8.8,-0.66420869565217,-2.4,7.8,2.07,4.2,160300,8.8,-7.2,NA,8.8,0.55,32.361111111111
"10",2002-12-31,71.8,2.7,2.091,0.37313432835821,NA,16.2,0.2,1,0.010351966873706,0.10416666666667,NA,-2.7,0.2843,NA,1.2,0,0,-4.848,-4.848,-3.648,0,NA,95.6,NA,NA,NA,NA,9.9583333333333,NA,-3.848,96.6,0.25308641975309,NA,0.0826,0.67567567567568,NA,0.0607,0.17901234567901,12.4,91.6,0.054585152838428,0.05175983436853,-5.3,-0.55208333333333,1.4,0.14583333333333,NA,10.904761904762,NA,-0.505,9.5416666666667,-1,NA,9.6,-0.39096774193548,-0.63095238095238,8.1,1.23,5,221456,8.2,-5.8,NA,8.2,0.45,7.7096774193548
